ID,DOB,Age,M_STATUS,SALARY,EDU_DATA,EMP_DATA,REL_ORIEN,FAV_TV,PREF_CAR,GENDER,FAV_CUIS,FAV_MUSIC,ENDU_LEVEL,FAV_SPORT,FAV_COLR,NEWS_SOURCE,DIST_FRM_COAST,MNTLY_TRAVEL,GEN_MOVIES,FAV_SUBJ,ALCOHOL,FAV_SUPERHERO,Dist_Coast,Class
3359,12/4/1984, 33 ,Married,300k-500k,Post-Graduate,Self-Employed,Agnostic,Friends,Wolkswagen,Male,Lebanese,Heavy Metal,3 to 5,Swimming,Green,New York Times,60-80 KM,2000+ KM,Drama,Chemistry,Vodka,Batman,1409,x
3360,2/11/1970, 48 ,Unmarried,300k-500k,Post-Graduate,Employed,Believer,How I Met your mother,Audi,Female,Indian,Rap,6 to 10,Basketball,Green,New York Times,10-25 KM,250-500 KM,Horror,Chemistry,Non Drinkers,superman,921,y
3361,7/20/1960, 57 ,Married,300k-500k,Uneducated,Unemployed,Agnostic,Narcos,Toyota,Male,Thai,Country,12 to 15,Cricket,Blue,Huffington Post,40-60 KM,250-500 KM,Horror,Economics,Rum,spiderman,691,y
3362,9/1/1976, 41 ,Unmarried,300k-500k,High-School,Self-Employed,Believer,Game of Thrones,Ford,Female,Indian,Rock,18-20,Soccer,purple,Associated Press,60-80 KM,1000-1500 KM,Thriller,Maths,Vodka,Thor,1191,x
3363,2/3/1981, 37 ,Married,0-100K,Graduate,Unemployed,Agnostic,Dexter,Ford,Male,Chinese,Classical,10 to 12,Swimming,Red,CNN,25-40 KM,1000-1500 KM,Historical,Commerce,Beer,Ironman,823,x
3364,2/27/1992, 26 ,Married,500k-700k,Uneducated,Unemployed,Atheist,Prison Break,Daimler-Benz,Male,Chinese,Heavy Metal,3 to 5,Rugby,White,MSN,40-60 KM,1500-2000 KM,Drama,Chemistry,Vodka,spiderman,1311,x
3365,11/2/1990, 27 ,Divorced,300k-500k,Uneducated,Self-Employed,Agnostic,Friends,Daimler-Benz,Male,Mexican,Rap,6 to 10,Swimming,White,MSN,0-10 KM,0-250 KM,Thriller,Biology,Vodka,Thor,1084,y
3366,6/5/1973, 44 ,Married,0-100K,High-School,Employed,Believer,Dexter,Ford,Female,Indian,Rock,18-20,Rugby,Red,Reuters,25-40 KM,500-1000 KM,Thriller,Maths,Beer,Thor,1302,y
3367,1/6/1973, 45 ,Married,0-100K,Post-Graduate,Employed,Agnostic,Big Bang Theory,GM,Male,Italian,Hip-Hop,15-18,Cricket,purple,Associated Press,0-10 KM,1500-2000 KM,Historical,Commerce,Non Drinkers,The hulk,631,x
3368,5/26/1972, 45 ,Unmarried,300k-500k,High-School,Unemployed,Believer,Friends,Toyota,Female,Indian,Rap,6 to 10,Soccer,White,MSN,0-10 KM,0-250 KM,Drama,Chemistry,Vodka,Batman,1456,x
3369,5/15/1967, 50 ,Married,500k-700k,Post-Graduate,Unemployed,Believer,Breaking Bad,BMW,Female,Indian,Rock,18-20,Basketball,Blue,Huffington Post,40-60 KM,0-250 KM,Drama,Physics,Beer,Batman,1386,y
3370,8/17/1980, 37 ,Married,100k-300k,Graduate,Employed,Believer,Breaking Bad,Honda,Male,Italian,Hip-Hop,15-18,Rugby,Red,Reuters,25-40 KM,500-1000 KM,Thriller,Maths,Beer,Thor,412,x
3371,5/7/1971, 46 ,Unmarried,,Uneducated,Self-Employed,Agnostic,Narcos,Toyota,Male,Italian,Hip-Hop,15-18,cycling,Red,CNN,25-40 KM,500-1000 KM,Historical,History,Non Drinkers,The hulk,572,x
3372,6/30/1970, 47 ,Married,500k-700k,Graduate,Employed,Agnostic,Breaking Bad,Toyota,Male,Thai,Country,12 to 15,Cricket,Red,CNN,25-40 KM,250-500 KM,Horror,Physics,Beer,spiderman,703,x
3373,3/12/1995, 22 ,Married,300k-500k,Uneducated,Unemployed,Believer,How I Met your mother,Ford,,Mexican,Light Metal,6 to 10,Rugby,Yellow,BBC,0-10 KM,0-250 KM,Thriller,Biology,Gin,Thor,520,x
3374,9/11/1984, 33 ,Unmarried,0-100K,Graduate,Self-Employed,Believer,Friends,GM,Male,Lebanese,Heavy Metal,3 to 5,Soccer,Green,New York Times,40-60 KM,1500-2000 KM,Historical,Civics,Beer,The hulk,1213,y
3375,8/21/1968, 49 ,Married,500k-700k,High-School,Employed,Believer,Narcos,Daimler-Benz,Male,Lebanese,Classical,12 to 15,Basketball,purple,Associated Press,0-10 KM,1500-2000 KM,Comedy,History,Rum,The hulk,889,y
3376,3/10/1992, 25 ,Married,0-100K,Post-Graduate,Employed,Agnostic,Prison Break,GM,Female,Indian,Rap,6 to 10,Baseball,White,MSN,60-80 KM,2000+ KM,Comedy,Art,Whiskey,The hulk,567,x
3377,1/9/1983, 35 ,Married,0-100K,Post-Graduate,Unemployed,Agnostic,Narcos,Ford,Male,Mexican,Country,12 to 15,Swimming,purple,Associated Press,10-25 KM,2000+ KM,Thriller,Maths,Rum,Thor,154,y
3378,7/27/1995, 22 ,Unmarried,300k-500k,High-School,Employed,Believer,Dexter,Audi,Male,Lebanese,Classical,12 to 15,Soccer,Red,Reuters,60-80 KM,1000-1500 KM,Comedy,Maths,Vodka,Thor,431,x
3379,2/21/1965, 53 ,Unmarried,100k-300k,Graduate,Employed,Agnostic,Friends,Suzuki,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Black,Fox News,10-25 KM,250-500 KM,Horror,Chemistry,Beer,spiderman,1338,x
3380,2/2/1989, 29 ,Unmarried,100k-300k,High-School,Unemployed,Agnostic,Prison Break,Suzuki,Male,Lebanese,Heavy Metal,3 to 5,cycling,Black,Fox News,10-25 KM,0-250 KM,Romantic,English,Whiskey,Ironman,1455,y
3381,8/27/1971, 46 ,Unmarried,300k-500k,Uneducated,Self-Employed,Believer,Narcos,Ford,Male,Thai,Country,12 to 15,Basketball,Red,Reuters,60-80 KM,0-250 KM,Comedy,History,Gin,The hulk,121,y
3382,6/20/1973, 44 ,Unmarried,100k-300k,High-School,Employed,Believer,Breaking Bad,Suzuki,Female,French,Hip-Hop,15-18,Basketball,purple,Associated Press,0-10 KM,1500-2000 KM,Comedy,Maths,Beer,Thor,990,x
3383,8/23/1977, 40 ,Married,100k-300k,Post-Graduate,Unemployed,Believer,How I Met your mother,Suzuki,Female,French,Rap,6 to 10,Basketball,Black,Fox News,10-25 KM,0-250 KM,Action,Biology,Non Drinkers,wonder woman,918,x
3384,9/8/1961, 56 ,Unmarried,0-100K,High-School,Self-Employed,Agnostic,Breaking Bad,GM,Male,Italian,Hip-Hop,15-18,volleyball,purple,Associated Press,10-25 KM,2000+ KM,Comedy,Maths,Beer,Thor,138,y
3385,11/4/1978, 39 ,Married,300k-500k,Graduate,Employed,Believer,Friends,Audi,Male,Chinese,Heavy Metal,3 to 5,Basketball,White,MSN,10-25 KM,0-250 KM,Thriller,Biology,Beer,Thor,205,x
3386,6/18/1978, 39 ,Married,100k-300k,Graduate,Unemployed,Believer,Flash,Suzuki,Male,Thai,Heavy Metal,6 to 10,Rugby,Yellow,BBC,10-25 KM,250-500 KM,Comedy,Art,wine,The hulk,475,y
3387,9/23/1966, 51 ,Unmarried,100k-300k,Uneducated,Employed,Believer,Breaking Bad,Nissan,Male,Mexican,Country,12 to 15,Soccer,purple,Associated Press,10-25 KM,1500-2000 KM,Historical,History,wine,The hulk,244,y
3388,3/24/1980, 37 ,Married,100k-300k,Graduate,Unemployed,Believer,Friends,Suzuki,Female,French,Rap,6 to 10,Basketball,White,MSN,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,superman,1373,x
3389,12/30/1964, 53 ,Unmarried,300k-500k,High-School,Unemployed,Agnostic,sherlock,Daimler-Benz,Female,Indian,Rap,6 to 10,cycling,White,MSN,40-60 KM,2000+ KM,Historical,Civics,Non Drinkers,Ironman,415,y
3390,10/28/1995, 22 ,,300k-500k,Graduate,Self-Employed,Agnostic,Breaking Bad,Audi,Female,Indian,Rock,18-20,cycling,Red,CNN,25-40 KM,250-500 KM,Comedy,History,Beer,Thor,1107,y
3391,4/15/1967, 50 ,Married,100k-300k,Graduate,Employed,Agnostic,Narcos,Ford,Male,Mexican,Hip-Hop,15-18,Cricket,Red,Reuters,60-80 KM,250-500 KM,Drama,Physics,Rum,wonder woman,119,x
3392,7/11/1992, 25 ,Married,300k-500k,Uneducated,Unemployed,Atheist,Friends,Audi,Male,Chinese,Heavy Metal,1 to 3,Rugby,Green,New York Times,10-25 KM,0-250 KM,Horror,Chemistry,Vodka,spiderman,1414,x
3393,12/17/1971, 46 ,Married,300k-500k,Graduate,Employed,Agnostic,Big Bang Theory,Daimler-Benz,Female,Mediterranean,Rock,18-20,Baseball,Red,Huffington Post,40-60 KM,500-1000 KM,Horror,Economics,Non Drinkers,superman,1186,y
3394,8/7/1976, 41 ,Married,300k-500k,Post-Graduate,Self-Employed,Believer,Prison Break,Audi,Male,Mexican,Rap,6 to 10,Rugby,Black,Fox News,25-40 KM,1000-1500 KM,Romantic,English,Whiskey,Ironman,455,x
3395,11/28/1965, 52 ,Married,300k-500k,Uneducated,Employed,Atheist,Friends,Ford,Male,Mexican,Light Metal,6 to 10,Rugby,Black,Fox News,40-60 KM,2000+ KM,Historical,Civics,wine,Ironman,408,y
3396,12/19/1969, 48 ,Unmarried,100k-300k,Graduate,Employed,Believer,Narcos,Honda,Male,Mexican,Hip-Hop,15-18,Soccer,Blue,Huffington Post,40-60 KM,500-1000 KM,Horror,Physics,Gin,spiderman,445,y
3397,6/21/1994, 23 ,Unmarried,500k-700k,High-School,Self-Employed,Believer,Prison Break,Toyota,Male,Thai,Heavy Metal,6 to 10,Soccer,Black,New York Times,10-25 KM,250-500 KM,Drama,Chemistry,Whiskey,Batman,218,x
3398,5/15/1992, 25 ,Married,300k-500k,Post-Graduate,Employed,Atheist,Prison Break,Audi,Male,Lebanese,Heavy Metal,3 to 5,Rugby,Green,New York Times,0-10 KM,0-250 KM,Horror,Chemistry,Whiskey,spiderman,1437,y
3399,1/3/1994, 24 ,Unmarried,100k-300k,Graduate,Unemployed,Agnostic,Breaking Bad,Honda,Male,Lebanese,Classical,12 to 15,volleyball,Red,CNN,25-40 KM,250-500 KM,Comedy,History,Beer,Thor,524,y
3400,6/21/1983, 34 ,Married,300k-500k,Uneducated,Employed,Believer,Narcos,Ford,Male,Mexican,Hip-Hop,15-18,Rugby,Red,Huffington Post,40-60 KM,250-500 KM,Thriller,Maths,Rum,Thor,398,x
3401,11/30/1962, 55 ,Married,100k-300k,Uneducated,Unemployed,Agnostic,Big Bang Theory,Nissan,Female,Indian,Rock,18-20,Swimming,Red,Reuters,60-80 KM,250-500 KM,Thriller,Maths,Non Drinkers,Thor,1151,x
3402,2/15/1995, 23 ,Unmarried,700k-1 Million,Post-Graduate,Employed,Agnostic,Narcos,Audi,Female,French,Rock,18-20,volleyball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Non Drinkers,Ironman,265,x
3403,3/30/1960, 57 ,Divorced,0-100K,Uneducated,Self-Employed,Agnostic,Breaking Bad,Ford,Male,Lebanese,Country,12 to 15,Swimming,Red,Huffington Post,40-60 KM,500-1000 KM,Action,Physics,Beer,wonder woman,447,x
3404,12/18/1988, 29 ,Unmarried,,High-School,Self-Employed,Believer,Friends,Ford,Female,French,Rap,6 to 10,Soccer,Black,Fox News,10-25 KM,250-500 KM,Thriller,Art,Beer,Thor,472,x
3405,9/28/1991, 26 ,Unmarried,0-100K,Post-Graduate,Unemployed,Believer,Prison Break,Ford,Male,Thai,Heavy Metal,6 to 10,Soccer,Pink,BBC,10-25 KM,0-250 KM,Thriller,Biology,Whiskey,Thor,46,y
3406,6/4/1977, 40 ,Married,500k-700k,Graduate,Unemployed,Believer,Narcos,Toyota,Female,Indian,Rock,18-20,Basketball,purple,Associated Press,10-25 KM,1500-2000 KM,Comedy,History,Rum,The hulk,926,y
3407,2/9/1988, 30 ,Married,500k-700k,Graduate,Self-Employed,Atheist,Game of Thrones,Toyota,Male,Chinese,Classical,10 to 12,Baseball,Blue,Huffington Post,40-60 KM,250-500 KM,Action,Physics,Vodka,wonder woman,993,x
3408,5/2/1960, 57 ,Married,100k-300k,Post-Graduate,Unemployed,Agnostic,Friends,Honda,Male,Chinese,Heavy Metal,1 to 3,Cricket,Yellow,BBC,10-25 KM,0-250 KM,Historical,Art,Vodka,The hulk,1075,x
3409,4/16/1981, 36 ,Married,300k-500k,High-School,Self-Employed,Believer,Dexter,Audi,Male,Italian,Hip-Hop,15-18,Rugby,Red,Huffington Post,40-60 KM,0-250 KM,Romantic,Commerce,Vodka,Ironman,774,y
3410,4/24/1985, 32 ,Married,300k-500k,Uneducated,Self-Employed,Believer,Friends,Daimler-Benz,Female,Indian,Rap,6 to 10,Rugby,Black,Fox News,0-10 KM,0-250 KM,Horror,Chemistry,wine,superman,1361,x
3411,4/30/1974, 43 ,Married,500k-700k,High-School,Unemployed,Believer,Prison Break,Toyota,Female,French,Rap,6 to 10,Rugby,Yellow,BBC,0-10 KM,0-250 KM,Action,Biology,Vodka,wonder woman,62,y
3412,11/29/1976, 41 ,Married,300k-500k,High-School,Unemployed,Atheist,Narcos,Daimler-Benz,Male,Mexican,Hip-Hop,12 to 15,Rugby,Blue,Huffington Post,40-60 KM,0-250 KM,Horror,Economics,Rum,spiderman,1287,y
3413,7/15/1987, 30 ,Divorced,100k-300k,Post-Graduate,Self-Employed,Agnostic,Narcos,Suzuki,Male,Mexican,Hip-Hop,15-18,Swimming,Blue,CNN,25-40 KM,500-1000 KM,Thriller,Maths,Non Drinkers,Thor,1019,x
3414,9/7/1986, 31 ,Unmarried,300k-500k,Post-Graduate,Employed,Believer,Narcos,Audi,Male,Mexican,Hip-Hop,15-18,Soccer,Red,CNN,25-40 KM,1000-1500 KM,Horror,Economics,Rum,superman,1428,x
3415,5/6/1989, 28 ,Married,300k-500k,Uneducated,Employed,Atheist,How I Met your mother,Toyota,Male,Thai,Heavy Metal,6 to 10,Rugby,Green,New York Times,10-25 KM,250-500 KM,Drama,Chemistry,Non Drinkers,Batman,1066,x
3416,7/24/1967, 50 ,Married,500k-700k,High-School,Employed,Atheist,Flash,Toyota,Female,French,Rap,6 to 10,Baseball,White,Fox News,10-25 KM,250-500 KM,Drama,Chemistry,Rum,spiderman,1461,y
3417,6/27/1979, 38 ,Divorced,300k-500k,Uneducated,Employed,Agnostic,Friends,Wolkswagen,Male,Italian,Rap,6 to 10,Swimming,Green,BBC,10-25 KM,0-250 KM,Horror,Chemistry,Beer,spiderman,1002,y
3418,7/3/1995, 22 ,Married,300k-500k,Post-Graduate,Unemployed,Believer,Breaking Bad,Daimler-Benz,Female,French,Hip-Hop,15-18,Rugby,Blue,CNN,25-40 KM,0-250 KM,Comedy,Maths,Beer,Thor,1164,y
3419,11/7/1987, 30 ,Unmarried,100k-300k,Graduate,Self-Employed,Believer,Prison Break,Suzuki,Male,Mexican,Rap,6 to 10,Soccer,White,MSN,10-25 KM,0-250 KM,Historical,Art,Vodka,The hulk,1177,x
3420,7/1/1983, 34 ,Unmarried,300k-500k,High-School,Unemployed,Believer,Prison Break,Daimler-Benz,Female,French,Rap,6 to 10,Soccer,Yellow,BBC,0-10 KM,0-250 KM,Romantic,English,Whiskey,Ironman,1249,y
3421,5/17/1974, 43 ,Married,100k-300k,Post-Graduate,Unemployed,Agnostic,Friends,Ford,Male,Chinese,Heavy Metal,1 to 3,Baseball,White,Fox News,0-10 KM,0-250 KM,Drama,Chemistry,Vodka,Batman,442,y
3422,2/23/1983, 35 ,Unmarried,100k-300k,Graduate,Unemployed,Agnostic,Friends,Suzuki,Female,Korean,Rap,6 to 10,volleyball,Black,New York Times,10-25 KM,250-500 KM,Romantic,English,Vodka,Ironman,697,y
3423,9/27/1975, 42 ,Married,100k-300k,High-School,Unemployed,Atheist,Friends,Suzuki,Male,Lebanese,Heavy Metal,3 to 5,Baseball,Yellow,BBC,10-25 KM,250-500 KM,Historical,Civics,Vodka,The hulk,1445,y
3424,8/3/1970, 47 ,Married,0-100K,Graduate,Employed,Agnostic,Breaking Bad,GM,Male,Mexican,Hip-Hop,15-18,Cricket,purple,Associated Press,10-25 KM,2000+ KM,Historical,Commerce,Beer,The hulk,1252,y
3425,12/18/1980, 37 ,Married,100k-300k,Uneducated,Unemployed,Agnostic,Dexter,Honda,Female,Indian,Rock,18-20,Swimming,Red,Huffington Post,40-60 KM,1000-1500 KM,Thriller,Maths,Vodka,Thor,780,x
3426,8/12/1993, 24 ,Married,300k-500k,Post-Graduate,Employed,Believer,Friends,Audi,Male,Lebanese,Heavy Metal,3 to 5,Rugby,Green,BBC,0-10 KM,0-250 KM,Action,Biology,Beer,Thor,1341,x
3427,1/3/1979, 39 ,Unmarried,300k-500k,Uneducated,Self-Employed,Believer,How I Met your mother,Toyota,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Black,Fox News,40-60 KM,1500-2000 KM,Romantic,Civics,Non Drinkers,Ironman,1189,y
3428,12/21/1971, 46 ,Married,300k-500k,High-School,Unemployed,Believer,Narcos,Audi,Male,Mexican,Hip-Hop,15-18,Basketball,Red,Reuters,25-40 KM,250-500 KM,Horror,Economics,Rum,spiderman,760,y
3429,1/13/1961, 57 ,Married,100k-300k,Uneducated,Unemployed,Believer,Breaking Bad,Nissan,Male,Lebanese,Country,12 to 15,Rugby,Red,Reuters,25-40 KM,0-250 KM,Historical,Commerce,Beer,The hulk,447,x
3430,4/5/1963, 54 ,Married,0-100K,High-School,Unemployed,Believer,Breaking Bad,GM,Male,Lebanese,Country,12 to 15,Rugby,Red,CNN,25-40 KM,250-500 KM,Historical,History,Beer,The hulk,881,x
3431,1/20/1963, 55 ,Unmarried,0-100K,High-School,Employed,Agnostic,Friends,Ford,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Green,New York Times,0-10 KM,0-250 KM,Romantic,English,Beer,Ironman,849,x
3432,9/21/1964, 53 ,Married,0-100K,High-School,Self-Employed,Agnostic,How I Met your mother,Ford,Male,Chinese,Heavy Metal,1 to 3,Baseball,Black,Fox News,10-25 KM,250-500 KM,Comedy,Art,Non Drinkers,The hulk,1029,y
3433,9/5/1964, 53 ,Married,100k-300k,Uneducated,Self-Employed,Believer,sherlock,Ford,Female,Italian,Rap,6 to 10,Rugby,Yellow,BBC,10-25 KM,,Drama,Chemistry,Non Drinkers,spiderman,286,y
3434,10/23/1971, 46 ,Unmarried,300k-500k,Uneducated,Employed,Believer,Flash,Daimler-Benz,Male,Chinese,Heavy Metal,1 to 3,Soccer,Green,New York Times,10-25 KM,0-250 KM,Historical,Art,Rum,The hulk,1396,y
3435,12/18/1968, 49 ,Divorced,0-100K,Graduate,Unemployed,Agnostic,Breaking Bad,Ford,Male,Thai,Country,12 to 15,Swimming,purple,Associated Press,10-25 KM,1500-2000 KM,Comedy,History,Beer,Thor,1169,y
3436,3/20/1964, 53 ,Divorced,300k-500k,High-School,Employed,Agnostic,sherlock,Daimler-Benz,Male,Lebanese,Heavy Metal,3 to 5,Swimming,White,Fox News,10-25 KM,0-250 KM,Historical,Art,Non Drinkers,The hulk,295,x
3437,3/5/1984, 33 ,Unmarried,1M-2Million,Uneducated,Self-Employed,Agnostic,Friends,Bently,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Green,New York Times,10-25 KM,250-500 KM,Comedy,Art,Beer,Thor,268,y
3438,7/30/1991, 26 ,Unmarried,300k-500k,High-School,Unemployed,Agnostic,Friends,Wolkswagen,Male,Lebanese,Heavy Metal,3 to 5,volleyball,White,MSN,10-25 KM,250-500 KM,Thriller,Biology,Beer,Thor,499,y
3439,2/6/1965, 53 ,Married,0-100K,Post-Graduate,Unemployed,Believer,Prison Break,GM,Female,Italian,Rap,6 to 10,Rugby,Yellow,BBC,10-25 KM,250-500 KM,Drama,Chemistry,Whiskey,Batman,923,y
3440,10/14/1995, 22 ,Married,300k-500k,Uneducated,Employed,Believer,Narcos,Audi,Male,Mexican,Country,12 to 15,Basketball,Blue,Huffington Post,40-60 KM,1000-1500 KM,Horror,Economics,Gin,spiderman,1459,y
3441,9/10/1993, 24 ,Married,100k-300k,High-School,Unemployed,Believer,Big Bang Theory,Suzuki,Female,French,Rock,15-18,Rugby,Red,CNN,25-40 KM,250-500 KM,Comedy,History,Non Drinkers,The hulk,322,x
3442,5/24/1961, 56 ,Married,0-100K,Uneducated,Employed,Believer,Friends,Ford,Female,Mediterranean,Rap,6 to 10,Rugby,White,MSN,10-25 KM,250-500 KM,Historical,Art,Beer,The hulk,1465,x
3443,3/11/1980, 37 ,Unmarried,100k-300k,Post-Graduate,Employed,Believer,Friends,Suzuki,Female,French,Rap,6 to 10,Basketball,Yellow,BBC,0-10 KM,0-250 KM,Horror,Chemistry,Vodka,superman,1063,y
3444,8/20/1991, 26 ,Married,100k-300k,Graduate,Unemployed,Agnostic,Friends,Suzuki,Female,Italian,Rap,6 to 10,Baseball,Black,Fox News,0-10 KM,0-250 KM,Historical,Civics,Vodka,Ironman,545,y
3445,3/24/1990, 27 ,Married,300k-500k,Graduate,Employed,Atheist,Big Bang Theory,Ford,Female,Mediterranean,Rock,20+,Baseball,Red,CNN,25-40 KM,250-500 KM,Action,Maths,Non Drinkers,Thor,453,y
3446,10/2/1972, 45 ,Married,0-100K,Graduate,Unemployed,Agnostic,Friends,GM,Male,Lebanese,Heavy Metal,3 to 5,Swimming,White,Fox News,0-10 KM,0-250 KM,Comedy,Art,Beer,The hulk,648,x
3447,5/3/1982, 35 ,Unmarried,300k-500k,Post-Graduate,Employed,Agnostic,Game of Thrones,Daimler-Benz,Female,French,Hip-Hop,15-18,volleyball,purple,Associated Press,0-10 KM,1500-2000 KM,Horror,Physics,Vodka,spiderman,109,y
3448,4/30/1976, 41 ,,100k-300k,Post-Graduate,Employed,Believer,Breaking Bad,Suzuki,Female,Italian,Hip-Hop,15-18,Basketball,Red,CNN,25-40 KM,500-1000 KM,Drama,Physics,Beer,Batman,1332,x
3449,5/17/1964, 53 ,Unmarried,300k-500k,Post-Graduate,Self-Employed,Believer,Prison Break,Daimler-Benz,Male,Mexican,Rap,6 to 10,Soccer,Black,New York Times,10-25 KM,250-500 KM,Romantic,English,Whiskey,Ironman,562,x
3450,10/11/1990, 27 ,Unmarried,0-100K,Post-Graduate,Employed,Believer,Breaking Bad,GM,Male,Thai,Country,12 to 15,Soccer,Red,Reuters,60-80 KM,1000-1500 KM,Drama,Physics,Beer,Batman,316,y
3451,4/6/1964, 53 ,Married,500k-700k,High-School,Employed,Agnostic,Flash,Toyota,Female,Mediterranean,Rap,6 to 10,Baseball,Black,New York Times,60-80 KM,2000+ KM,Action,Biology,Rum,wonder woman,1345,x
3452,12/7/1975, 42 ,Married,100k-300k,Post-Graduate,Self-Employed,Agnostic,Friends,Suzuki,Male,Chinese,Heavy Metal,1 to 3,Swimming,Black,Fox News,10-25 KM,250-500 KM,Comedy,Art,wine,Thor,228,y
3453,5/16/1973, 44 ,Married,100k-300k,High-School,Unemployed,Believer,Breaking Bad,Nissan,Female,Indian,Rock,18-20,Basketball,Blue,Huffington Post,40-60 KM,250-500 KM,Thriller,Maths,wine,Thor,765,y
3454,5/8/1972, 45 ,Unmarried,500k-700k,Graduate,Unemployed,Agnostic,How I Met your mother,Toyota,Male,Chinese,Heavy Metal,3 to 5,volleyball,White,MSN,0-10 KM,0-250 KM,Comedy,Art,Non Drinkers,The hulk,1022,x
3455,1/25/1985, 33 ,Married,300k-500k,Uneducated,Employed,Atheist,Breaking Bad,Daimler-Benz,Male,Lebanese,Classical,12 to 15,Baseball,Red,Reuters,60-80 KM,1000-1500 KM,Drama,Physics,Beer,Batman,1486,y
3456,3/22/1993, 24 ,Married,100k-300k,Graduate,Self-Employed,Agnostic,Prison Break,Nissan,Male,Lebanese,Heavy Metal,3 to 5,Baseball,Green,New York Times,10-25 KM,250-500 KM,Action,Biology,Whiskey,wonder woman,69,x
