Country Name,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate ,Income Tax Rate ,Corporate Tax Rate ,Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population,GDP ,GDP Growth Rate ,5 Year GDP Growth Rate ,GDP per Capita,Unemployment ,Inflation ,FDI Inflow,Public Debt
Bosnia and Herzegovina,Europe,83,37,62,40,38,30,84,46,97,50,67,83,83,65,60,1,10,10,37,42,4,45,3,3,12724,26,1,425,41
Botswana,SubSaharan Africa,36,3,70,58,46,52,83,66,95,69,68,79,84,65,70,1,25,22,25,34,2,39,2,4,17828,17,3,401,16
Brazil,Americas,150,27,52,57,52,28,71,55,6,58,52,76,69,50,50,8,28,34,32,39,208,3240,1,-1,15603,13,3,62713,84
Brunei Darussalam,AsiaPacific,63,14,65,64,56,44,91,60,20,80,91,77,84,65,50,1,0,19,24,37,0,34,1,-1,78196,7,0,-46,3
Bulgaria,Europe,37,19,69,63,42,35,90,64,99,63,68,88,86,70,60,2,10,10,28,35,7,153,4,3,21687,6,1,1071,24
Burkina Faso,SubSaharan Africa,96,9,59,49,43,37,82,80,62,52,52,86,65,65,40,7,28,28,16,26,19,36,6,5,1889,6,0,486,38
Burma,AsiaPacific,139,35,54,35,18,31,87,85,78,53,66,70,71,30,20,5,20,30,7,22,53,329,7,7,6244,1,5,4341,35
Burundi,SubSaharan Africa,162,39,49,21,31,26,74,83,23,50,68,62,68,50,30,6,35,35,12,24,11,8,0,1,735,2,17,0,57
Cambodia,AsiaPacific,105,22,58,37,28,17,90,86,89,30,63,79,65,60,50,10,20,20,15,22,16,64,7,7,4012,0,3,2784,35
Cameroon,SubSaharan Africa,145,29,52,43,31,26,74,88,58,44,48,84,53,30,50,16,35,33,16,20,24,89,3,5,3660,4,1,673,34
Canada,Americas,8,1,78,87,69,85,77,51,83,82,74,77,87,80,80,2,33,15,32,40,37,1769,3,2,48265,6,2,24244,90
Cabo Verde,SubSaharan Africa,73,4,63,44,49,44,76,71,60,65,56,84,68,80,60,11,35,24,24,31,1,4,4,2,6944,10,1,109,126
Central African Republic,SubSaharan Africa,161,38,49,20,30,23,65,94,94,24,40,72,51,45,30,15,50,30,9,14,5,3,4,-5,677,6,4,17,53
Chad,SubSaharan Africa,159,36,50,27,25,23,46,92,85,28,43,82,47,60,40,16,60,45,5,16,12,29,-3,1,2344,6,-1,335,53
Chile,Americas,18,3,75,69,56,62,77,81,89,77,65,85,89,85,70,1,35,25,20,25,18,451,2,2,24537,7,2,6730,24
China,AsiaPacific,100,20,58,50,75,49,70,70,76,56,64,72,73,25,20,4,45,25,18,32,1390,23159,7,7,16660,5,2,136320,48
Colombia,Americas,49,8,67,59,34,34,74,75,79,71,79,76,76,80,70,7,33,33,20,29,49,714,2,3,14485,9,4,14518,49
Comoros,SubSaharan Africa,124,20,55,37,30,24,64,73,92,57,60,83,70,45,30,5,30,50,15,30,1,1,3,2,1588,4,1,9,28
"Congo, Democratic Republic of the Congo",SubSaharan Africa,157,34,50,25,31,26,74,94,97,53,42,49,63,30,20,11,30,40,11,14,87,69,3,6,790,4,42,1340,16
"Congo, Republic of",SubSaharan Africa,176,46,40,33,30,25,60,41,0,38,36,83,57,45,30,12,45,34,30,45,4,29,-5,1,6642,11,1,1159,119
Costa Rica,Americas,61,11,65,58,54,55,79,88,43,67,55,83,81,70,50,2,25,30,24,20,5,84,3,3,16877,8,2,3007,49
Côte d'Ivoire,SubSaharan Africa,78,5,62,41,48,38,78,84,74,61,53,74,74,75,50,8,36,25,18,23,25,97,8,9,3883,3,1,675,46
Croatia,Europe,86,38,61,66,43,39,66,33,85,61,44,79,86,75,60,2,40,18,38,47,4,101,3,2,24424,11,1,2104,78
Cuba,Americas,178,31,28,32,10,38,49,0,16,20,20,66,64,10,10,8,50,30,42,64,12,148,1,2,12920,3,6,,48
Cyprus,Europe,44,22,68,73,48,44,75,55,80,77,60,84,86,75,60,2,35,13,34,39,1,32,4,0,37023,11,1,6343,99
Czech Republic,Europe,23,13,74,75,48,52,83,52,98,72,78,82,86,80,80,2,15,19,34,40,11,376,4,3,35512,3,2,7412,35
Denmark,Europe,14,6,77,86,78,86,42,14,97,91,86,84,86,90,80,2,56,24,46,53,6,287,2,2,49883,6,1,-3115,36
Djibouti,SubSaharan Africa,169,43,47,30,18,28,76,27,18,55,60,73,50,80,50,17,30,25,29,49,1,4,7,6,3559,6,1,165,31
Dominica,Americas,72,14,64,49,64,55,72,54,85,71,60,86,68,70,30,8,35,30,26,39,0,1,-4,0,11102,,1,19,88
Dominican Republic,Americas,89,19,61,51,18,23,85,90,90,52,58,80,76,70,40,5,25,27,14,18,10,172,5,6,16944,6,3,3570,38
Ecuador,Americas,170,29,47,36,20,25,77,56,32,54,48,74,66,35,40,7,35,25,21,39,17,193,3,2,11482,4,0,606,45
Egypt,Middle East and North Africa,144,11,53,37,48,29,85,68,0,66,52,62,72,60,50,7,25,23,18,33,95,1201,4,4,12671,12,24,7392,103
El Salvador,Americas,84,17,62,38,29,23,78,86,82,57,53,79,81,75,60,2,30,30,20,21,6,57,2,2,8948,5,1,792,59
Equatorial Guinea,SubSaharan Africa,174,44,41,30,18,16,71,68,16,38,33,84,49,40,30,16,35,35,20,33,1,30,-4,-6,36017,7,1,304,43
Eritrea,SubSaharan Africa,177,47,39,36,18,20,81,74,0,18,70,61,69,0,20,5,30,30,8,30,6,9,5,3,1581,6,9,56,131
Estonia,Europe,15,7,77,82,76,73,80,51,100,75,57,80,86,90,70,2,20,20,35,40,1,42,5,3,31750,6,4,784,9
Eswatini,SubSaharan Africa,132,23,55,42,43,35,75,66,18,59,68,74,88,50,40,1,33,28,26,34,1,11,0,2,9884,26,6,-137,29
Ethiopia,SubSaharan Africa,137,26,54,33,41,35,77,90,83,49,58,61,61,35,20,12,35,30,12,18,93,200,11,10,2161,5,10,3586,56
Fiji,AsiaPacific,81,18,62,67,43,23,81,72,82,63,73,74,63,55,50,11,29,20,26,31,1,9,4,4,9777,6,3,299,47
Finland,Europe,20,11,75,90,81,93,67,7,86,89,50,85,86,85,80,2,31,20,44,56,6,244,3,1,44333,9,1,1328,61
France,Europe,71,35,64,83,66,68,48,4,65,81,45,79,81,75,70,2,45,33,45,57,65,2836,2,1,43761,9,1,49795,97
Gabon,SubSaharan Africa,118,17,56,28,31,36,76,87,82,52,53,80,51,60,40,17,35,30,17,21,2,37,1,3,19254,20,3,1498,61
Gambia,SubSaharan Africa,146,30,52,40,43,41,74,71,0,54,67,62,62,65,50,14,35,32,18,31,2,4,4,3,1713,10,8,88,123
Georgia,Europe,16,8,76,66,55,59,87,74,94,86,77,76,89,80,70,1,20,15,26,30,4,40,5,4,10747,12,6,1862,45
Germany,Europe,24,14,74,80,75,81,61,42,92,83,53,78,86,80,70,2,48,16,38,44,83,4171,3,2,50425,4,2,34726,64
Ghana,SubSaharan Africa,109,13,58,49,44,36,79,82,24,57,60,66,63,70,60,11,35,25,17,25,28,134,8,6,4729,2,12,3255,72
Greece,Europe,106,43,58,52,50,38,59,23,79,74,53,79,81,55,50,2,42,29,39,51,11,299,1,0,27737,22,1,4046,182
Guatemala,Americas,77,16,63,40,32,26,79,96,96,54,49,77,82,70,50,1,31,31,13,12,17,138,3,4,8145,3,4,1147,24
Guinea,SubSaharan Africa,120,19,56,35,33,26,69,90,87,55,55,66,63,50,40,11,40,35,15,18,13,27,7,5,2041,5,9,577,40
Guinea-Bissau,SubSaharan Africa,135,25,54,33,43,25,89,87,81,36,61,78,56,30,30,12,20,25,10,21,2,3,6,4,1845,6,1,17,42
Guyana,Americas,113,23,57,42,43,33,67,69,78,59,62,77,67,55,30,7,33,40,24,32,1,6,2,4,8161,12,2,212,51
Haiti,Americas,143,25,53,10,25,20,80,88,96,36,63,67,72,45,30,7,30,30,15,20,11,20,1,2,1815,14,15,375,31
Honduras,Americas,93,20,60,43,31,25,83,78,96,57,32,73,79,65,60,3,25,25,22,27,8,46,5,4,5562,5,4,1186,44
Hong Kong,AsiaPacific,1,1,90,93,75,84,93,90,100,96,89,86,95,90,90,0,15,17,14,18,7,455,4,3,61393,3,2,104333,0
Hungary,Europe,64,31,65,61,45,35,79,32,85,61,65,82,86,80,70,2,15,19,39,48,10,289,4,3,29474,4,2,2492,70
Iceland,Europe,11,4,77,87,64,84,73,44,97,88,64,82,87,85,70,2,32,20,36,43,0,18,4,4,51842,3,2,-5,41
India,AsiaPacific,129,31,55,57,62,48,79,77,15,57,42,72,72,40,40,6,31,32,7,28,1317,9459,7,7,7183,4,4,39916,70
Indonesia,AsiaPacific,56,11,66,52,54,40,84,91,88,69,49,77,80,45,60,3,30,25,10,17,262,3243,5,5,12377,4,4,23063,29
Iran,Middle East and North Africa,155,13,51,34,41,35,81,90,90,62,51,60,55,5,10,15,35,25,8,19,81,1645,4,4,20200,13,10,5019,41
Ireland,Europe,6,2,81,86,68,78,76,77,89,83,75,87,86,90,70,2,41,13,23,27,5,357,8,10,75538,6,0,28975,69
Israel,Middle East and North Africa,27,2,73,80,73,68,62,52,85,71,65,86,84,75,70,3,48,23,31,40,9,317,3,4,36340,4,0,18954,61
Italy,Europe,80,36,62,72,50,44,56,27,71,72,51,84,86,85,50,2,43,28,43,50,61,2311,2,0,38140,11,1,17077,132
Jamaica,Americas,39,5,69,61,49,45,80,76,80,78,74,83,68,80,50,11,25,25,27,28,3,26,1,1,9163,13,4,888,104
Japan,AsiaPacific,30,8,72,84,69,78,68,55,56,81,79,86,80,70,60,3,41,24,31,39,127,5429,2,1,42832,3,1,10430,236
Jordan,Middle East and North Africa,53,4,67,58,53,50,91,73,61,62,53,85,81,70,60,4,14,20,16,30,7,89,2,3,12494,15,3,1665,96
Kazakhstan,AsiaPacific,59,12,65,59,56,40,93,84,41,74,86,71,80,50,50,3,10,20,13,23,18,478,4,3,26252,5,7,4634,21
Kenya,SubSaharan Africa,130,22,55,54,47,32,80,78,14,56,63,73,60,55,50,12,30,30,16,27,47,163,5,6,3491,12,8,672,56
Kiribati,AsiaPacific,168,41,47,44,34,35,73,0,99,42,51,81,53,25,30,16,35,35,16,118,0,0,3,4,1976,,2,1,26
"Korea, South",AsiaPacific,29,7,72,79,58,51,64,69,97,91,57,82,80,70,70,5,46,28,26,32,52,2029,3,3,39434,4,2,17053,40
Kosovo,Europe,51,26,67,57,54,45,93,78,96,74,65,78,71,65,30,7,10,10,24,27,2,20,4,3,10515,,2,4,21
Kuwait,Middle East and North Africa,90,8,61,53,43,35,98,17,99,57,62,71,79,55,60,3,0,15,2,53,4,292,-3,0,66163,2,2,301,21
Kyrgyz Republic,AsiaPacific,79,17,62,50,28,27,94,54,78,73,80,74,79,60,50,3,10,10,20,39,6,23,5,5,3667,7,3,94,59
Laos,AsiaPacific,110,24,57,39,43,34,87,85,67,60,60,79,82,35,20,2,24,24,13,22,7,49,7,7,7366,1,1,813,63
Latvia,Europe,35,18,70,67,48,36,77,57,97,78,73,81,86,85,60,2,31,20,30,38,2,54,5,3,27644,9,3,721,35
Lebanon,Middle East and North Africa,154,12,51,40,27,18,92,76,0,48,47,78,79,60,50,3,20,15,14,29,5,88,1,2,19439,7,5,2628,153
Lesotho,SubSaharan Africa,142,28,53,42,46,31,59,33,64,53,59,75,81,55,40,2,35,25,47,47,2,7,3,3,3581,27,6,135,35
Liberia,SubSaharan Africa,160,37,50,27,39,24,83,62,69,51,38,69,60,55,20,12,25,25,22,36,5,6,3,2,1354,2,12,248,34
Lithuania,Europe,21,12,74,74,61,48,86,65,97,75,64,85,86,80,70,2,15,15,30,34,3,91,4,3,32299,7,4,595,37
Luxembourg,Europe,17,9,76,83,72,86,65,47,99,69,46,83,86,95,80,2,42,18,37,42,1,63,4,4,106374,6,2,6623,23
Macau,AsiaPacific,34,9,71,60,60,33,77,90,100,60,50,77,90,85,70,0,12,39,25,18,1,72,9,-1,111629,2,1,1997,0
Macedonia,Europe,33,17,71,65,61,45,92,70,83,80,72,79,82,65,60,4,10,10,25,32,2,31,0,3,14914,22,1,256,39
Madagascar,SubSaharan Africa,114,15,57,33,24,14,91,92,86,47,45,72,69,55,50,8,20,20,10,17,26,40,4,3,1551,2,8,389,37
Malawi,SubSaharan Africa,153,32,51,36,40,25,80,70,19,42,64,66,75,50,50,5,30,30,15,32,19,22,4,4,1167,6,12,277,59
Malaysia,AsiaPacific,22,6,74,84,68,55,86,83,82,84,74,79,82,60,50,4,25,25,14,24,32,931,6,5,29041,3,4,9543,54
Maldives,AsiaPacific,141,37,53,44,36,34,96,61,11,78,71,81,63,35,30,11,0,0,21,36,0,7,5,5,19151,5,3,518,68
Mali,SubSaharan Africa,103,12,58,34,33,30,69,85,84,54,52,82,70,65,40,8,40,35,18,22,19,41,5,5,2170,8,2,266,36
Malta,Europe,41,20,69,70,50,50,64,56,95,67,61,78,86,85,60,2,35,35,34,38,1,19,7,7,41945,4,1,3185,53
Mauritania,SubSaharan Africa,119,18,56,28,31,31,78,74,81,62,52,81,63,50,40,9,30,25,26,29,4,17,3,4,4444,10,2,330,91
Mauritius,SubSaharan Africa,25,1,73,70,62,40,92,80,74,80,61,79,88,80,70,1,15,15,18,26,1,28,4,4,21640,7,4,293,60
Mexico,Americas,66,12,65,59,35,26,76,78,83,68,59,76,81,75,60,4,35,30,17,27,124,2458,2,3,19903,3,6,29695,54
Micronesia,AsiaPacific,149,38,52,8,27,37,93,0,99,57,72,86,81,35,30,2,10,21,13,59,0,0,2,1,3393,,1,,25
Moldova,Europe,97,40,59,55,30,25,85,59,92,67,39,74,78,55,50,4,18,12,32,37,4,20,4,4,5661,5,7,214,38
Mongolia,AsiaPacific,126,29,55,48,24,30,89,63,6,66,75,78,76,50,60,5,10,25,21,35,3,40,5,6,12979,7,5,1494,91
Montenegro,Europe,92,39,61,55,52,40,85,33,23,73,73,82,85,75,50,3,9,9,36,47,1,11,4,3,17736,16,2,546,68
Morocco,Middle East and North Africa,75,6,63,57,47,39,72,73,67,70,33,84,77,65,70,4,38,30,21,30,35,299,4,3,8567,9,1,2651,64
Mozambique,SubSaharan Africa,163,40,49,34,35,28,76,67,17,57,42,65,78,35,50,4,32,32,20,33,30,37,3,6,1244,25,15,2293,102
Namibia,SubSaharan Africa,99,10,59,56,55,50,67,49,16,66,85,74,83,65,40,1,37,34,29,41,2,27,-1,4,11312,23,6,416,46
Nepal,AsiaPacific,136,34,54,39,35,26,84,84,99,62,48,69,60,10,30,12,25,25,19,23,29,79,8,4,2679,3,5,198,27
Netherlands,Europe,13,5,77,88,75,89,52,43,93,81,60,84,86,90,80,2,52,25,39,44,17,916,3,2,53635,5,1,57957,57
New Zealand,AsiaPacific,3,3,84,95,84,97,71,50,99,91,87,88,92,80,80,1,33,28,32,41,5,189,3,3,38934,5,2,3572,26
Nicaragua,Americas,107,21,58,33,19,20,77,79,94,56,56,73,76,60,50,2,30,30,23,26,6,36,5,5,5849,4,4,897,34
Niger,SubSaharan Africa,151,31,52,37,31,34,77,76,22,56,48,77,66,55,40,10,35,30,14,29,19,22,5,5,1164,0,2,334,47
Nigeria,SubSaharan Africa,111,14,57,37,34,21,85,97,68,51,83,65,62,45,40,11,24,30,5,11,189,1119,1,3,5929,7,17,3503,23
Norway,Europe,26,15,73,86,81,92,57,25,97,89,54,75,83,75,60,3,48,23,38,50,5,380,2,2,71831,4,2,-8297,37
Oman,Middle East and North Africa,88,7,61,58,52,54,98,33,16,75,57,78,87,65,60,2,0,12,9,47,4,187,0,3,45157,3,2,1867,44
Pakistan,AsiaPacific,131,32,55,42,40,31,81,88,49,56,42,73,65,55,40,10,30,30,12,20,197,1057,5,4,5358,4,4,2806,67
Panama,Americas,50,9,67,60,30,34,85,85,91,74,43,79,79,75,70,5,25,25,16,22,4,104,5,6,25351,5,1,5319,38
Papua New Guinea,AsiaPacific,101,21,58,37,49,37,72,89,75,62,73,70,81,25,30,2,42,30,13,19,8,30,3,6,3675,3,5,-201,33
Paraguay,Americas,85,18,62,40,30,26,96,79,96,62,29,73,77,75,60,4,10,10,13,27,7,68,4,6,9826,5,4,356,26
Peru,Americas,45,7,68,56,34,32,81,86,89,68,64,84,86,75,60,2,30,28,16,22,32,424,3,4,13334,4,3,6770,26
Philippines,AsiaPacific,70,15,64,49,36,31,77,89,97,61,58,70,78,60,60,3,35,30,14,19,105,876,7,7,8315,2,3,9524,38
Poland,Europe,46,23,68,62,44,50,75,49,86,65,64,82,86,80,70,2,32,19,34,41,38,1121,5,3,29521,5,2,6434,51
Portugal,Europe,62,30,65,72,64,60,60,36,70,80,44,83,86,70,60,2,48,23,34,46,10,313,3,1,30417,9,2,6946,126
Qatar,Middle East and North Africa,28,3,73,65,60,77,100,57,94,71,66,78,83,60,60,3,0,0,6,38,3,341,2,3,124529,0,0,986,54
Romania,Europe,42,21,69,67,52,40,90,69,89,63,65,83,86,70,50,2,10,16,26,32,20,482,7,5,24508,5,1,5160,37
Russia,Europe,98,41,59,52,45,37,89,62,87,78,53,65,78,30,30,4,13,20,22,35,144,4008,2,0,27834,5,4,25284,17
Rwanda,SubSaharan Africa,32,2,71,72,83,68,80,79,86,56,82,76,70,60,40,7,30,30,15,26,12,25,6,7,2080,1,5,366,41
Saint Lucia,Americas,38,4,69,66,64,50,76,79,81,76,69,84,73,65,40,6,30,30,24,26,0,3,3,2,14450,21,0,92,71
Saint Vincent and the Grenadines,Americas,55,10,66,37,64,51,71,74,85,77,74,82,67,70,40,9,33,33,27,29,0,1,1,1,11491,18,2,87,81
Samoa,AsiaPacific,82,19,62,54,31,38,80,62,94,77,78,84,64,55,30,11,27,27,24,36,0,1,2,2,5740,8,1,9,49
São Tomé and Príncipe,SubSaharan Africa,134,24,54,37,27,36,87,67,62,65,43,71,64,60,30,10,20,25,16,33,0,1,4,4,3180,14,6,41,83
Saudi Arabia,Middle East and North Africa,91,9,61,55,63,50,100,58,19,72,63,78,76,45,50,5,3,3,3,38,32,1774,-1,2,54777,6,-1,1421,17
Senegal,SubSaharan Africa,117,16,56,48,40,40,71,73,60,53,39,78,72,60,40,9,40,30,20,30,16,43,7,6,2727,5,1,532,61
Serbia,Europe,69,34,64,50,45,37,82,45,90,73,67,80,77,70,50,7,10,15,38,43,7,106,2,1,15000,14,3,2867,62
Seychelles,SubSaharan Africa,87,6,61,58,38,39,76,60,92,63,63,80,81,55,30,4,15,33,33,36,0,3,4,5,28779,,3,192,63
Sierra Leone,SubSaharan Africa,167,42,48,36,35,26,87,84,13,45,29,65,69,60,20,10,15,30,12,23,7,12,4,3,1553,5,18,560,58
Singapore,AsiaPacific,2,2,89,97,92,95,90,91,80,91,91,85,95,85,80,0,22,17,14,18,6,527,4,4,93906,2,1,62006,111
Slovakia,Europe,65,32,65,69,37,38,79,46,87,61,53,79,86,75,70,2,25,21,33,42,5,179,3,3,33025,8,1,2277,50
Slovenia,Europe,58,29,66,76,47,54,58,38,83,79,61,84,86,70,50,2,50,17,37,45,2,71,5,3,34407,7,1,702,75
Solomon Islands,AsiaPacific,133,33,55,50,52,34,66,37,89,69,72,86,57,15,30,14,40,30,31,46,1,1,3,3,2157,2,0,37,10
South Africa,SubSaharan Africa,102,11,58,59,39,40,62,68,63,64,59,75,76,45,50,5,45,28,31,33,57,766,1,2,13545,27,5,1325,53
Spain,Europe,57,28,66,73,51,52,62,46,51,67,58,88,86,85,70,2,45,25,34,42,46,1774,3,2,38286,17,2,19086,98
Sri Lanka,AsiaPacific,115,25,56,45,39,29,85,88,30,75,59,70,76,40,40,4,24,28,12,20,21,275,3,4,12811,4,7,1375,79
Sudan,SubSaharan Africa,166,41,48,28,22,26,86,97,76,52,59,57,45,5,20,18,10,35,7,11,41,187,3,3,4586,13,32,1065,126
Suriname,Americas,165,28,48,49,22,36,71,77,10,48,74,56,65,40,30,10,38,36,13,28,1,9,0,-1,14606,8,22,-87,72
Sweden,Europe,19,10,75,90,84,88,43,27,97,88,54,82,86,85,80,2,57,22,44,49,10,521,2,3,51475,7,2,15396,41
Switzerland,Europe,4,1,82,85,82,88,71,65,96,75,73,85,87,85,90,1,40,24,28,34,8,517,1,2,61422,5,1,40986,43
Taiwan ,AsiaPacific,10,5,77,85,70,69,75,91,92,93,61,84,87,60,60,2,45,20,9,18,24,1186,3,2,50294,4,1,3255,35
Tajikistan,AsiaPacific,122,28,56,48,52,36,92,65,60,67,49,69,74,25,30,6,13,15,21,34,9,28,7,7,3212,10,7,141,48
Tanzania,SubSaharan Africa,94,7,60,35,41,33,81,90,85,47,66,70,68,55,50,9,30,30,12,18,50,162,6,7,3240,2,5,1180,38
Thailand,AsiaPacific,43,10,68,54,46,36,81,86,97,83,64,75,83,55,60,4,35,20,16,22,69,1234,4,3,17856,1,1,7635,42
Timor-Leste,AsiaPacific,172,42,44,30,13,32,96,1,20,61,59,80,75,45,20,3,10,10,13,58,1,7,-1,3,5444,3,1,7,0
Togo,SubSaharan Africa,158,35,50,36,30,28,68,77,25,50,47,79,69,65,30,10,45,27,22,28,8,13,4,6,1659,2,-1,146,79
Tonga,AsiaPacific,108,23,58,59,27,38,86,41,93,75,70,69,74,40,20,6,20,25,21,44,0,1,3,2,5608,1,8,14,48
Trinidad and Tobago,Americas,112,22,57,52,41,33,82,62,17,68,76,75,68,60,50,8,25,25,23,36,1,43,-3,-1,31367,5,2,179,41
Tunisia,Middle East and North Africa,125,10,55,49,43,37,74,74,38,77,50,76,71,45,30,9,35,30,21,29,12,135,2,2,11755,15,5,880,71
Turkey,Europe,68,33,65,56,50,41,76,65,92,66,49,70,80,70,60,3,35,22,26,34,81,2173,7,6,26893,11,11,10864,29
Turkmenistan,AsiaPacific,164,40,48,32,30,20,96,92,92,30,20,73,76,10,10,2,10,8,16,16,6,104,7,8,18126,3,8,2314,29
Uganda,SubSaharan Africa,95,8,60,42,39,25,73,89,69,46,83,80,75,55,40,7,40,30,13,19,38,89,5,4,2354,2,6,700,39
Ukraine,Europe,147,44,52,44,32,30,82,47,83,66,47,59,75,35,30,3,20,18,33,42,42,369,3,-2,8713,10,14,2202,76
United Arab Emirates,Middle East and North Africa,9,1,78,82,87,79,99,69,89,80,81,81,84,40,60,3,0,0,9,32,10,687,1,3,67741,2,2,10354,20
United Kingdom,Europe,7,3,79,92,86,84,65,48,69,93,74,81,86,90,80,2,45,20,33,42,66,2914,2,2,44118,4,3,15090,87
United States,Americas,12,2,77,79,79,77,75,57,53,84,89,77,87,85,80,2,37,21,26,38,326,19391,2,2,59501,4,2,275381,108
Uruguay,Americas,40,6,69,68,59,69,77,68,70,74,72,73,79,85,30,6,30,25,27,33,4,78,3,3,22371,8,6,-125,66
Uzbekistan,AsiaPacific,140,36,53,50,34,25,91,67,99,73,59,59,63,10,10,9,22,8,18,33,32,223,5,7,6929,7,13,96,25
Vanuatu,AsiaPacific,116,26,56,66,36,52,97,54,15,52,59,75,64,65,40,8,0,0,16,39,0,1,4,2,2739,5,3,25,48
Venezuela,Americas,179,32,26,8,13,8,75,58,18,34,28,0,60,0,10,10,34,34,15,37,31,381,-14,-8,12114,8,1088,-68,35
Vietnam,AsiaPacific,128,30,55,50,40,34,80,74,41,64,63,69,79,30,40,3,35,22,18,29,94,647,7,6,6913,2,4,14100,58
Zambia,SubSaharan Africa,138,27,54,45,36,32,72,80,12,71,46,70,73,55,50,6,35,35,18,26,17,69,4,4,3996,8,7,1091,62
Zimbabwe,SubSaharan Africa,175,45,40,30,25,16,62,75,24,33,43,72,70,25,10,5,52,25,22,29,15,34,3,3,2283,5,1,289,78
