week,arrest,fin,age,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,yes,24,no,no,no,no,yes,no,no,no
52,0,no,39,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,21,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,yes,yes,yes,yes,no
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,no,25,no,yes,yes,yes,yes,yes,yes,yes
24,1,yes,21,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,no,no,no,no,no
52,0,yes,19,no,no,no,no,no,no,no,no
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,yes,24,no,no,no,no,yes,yes,yes,yes
2,1,no,44,no,no,NA,NA,NA,NA,NA,NA
26,1,no,32,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,23,no,no,no,no,no,yes,yes,yes
49,1,yes,19,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,no,no
21,1,no,27,no,no,no,yes,yes,yes,yes,yes
48,1,no,19,no,no,no,no,no,no,no,no
52,0,yes,21,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,20,no,no,no,no,no,no,no,no
52,0,no,25,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,no,no
52,0,yes,23,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,20,no,no,no,no,no,no,no,no
52,0,yes,30,no,no,no,no,no,no,no,no
52,0,no,25,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,22,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,24,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,18,no,yes,yes,yes,yes,yes,yes,yes
8,1,yes,40,no,no,no,no,no,no,no,no
52,0,no,22,no,no,no,no,no,no,no,no
52,0,yes,23,no,no,no,no,no,no,no,no
49,1,no,21,no,no,no,no,no,no,no,no
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,yes,24,no,no,no,no,no,yes,yes,yes
52,0,no,38,no,no,no,no,no,no,no,no
52,0,no,26,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,29,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,21,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,no,22,no,no,no,no,no,no,no,no
8,1,no,23,no,no,no,no,no,no,no,no
52,0,no,27,no,no,no,no,no,no,no,no
52,0,yes,18,no,no,no,no,no,no,no,no
13,1,no,23,no,no,no,no,no,yes,yes,yes
52,0,yes,24,no,no,no,no,yes,yes,yes,yes
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,yes,20,no,yes,yes,yes,yes,no,no,no
52,0,yes,27,yes,yes,yes,yes,yes,yes,yes,no
8,1,yes,20,no,no,yes,yes,no,no,no,no
52,0,yes,29,yes,no,no,yes,yes,yes,yes,no
33,1,no,19,no,no,no,no,no,no,no,yes
52,0,no,20,no,no,no,yes,yes,yes,yes,no
52,0,yes,18,no,no,no,no,yes,yes,yes,yes
11,1,yes,19,no,no,no,no,no,no,no,no
52,0,yes,24,no,no,no,yes,yes,yes,yes,yes
52,0,no,28,no,no,no,yes,yes,yes,yes,yes
52,0,yes,26,no,no,no,no,no,no,no,no
52,0,yes,17,yes,yes,no,no,no,no,no,no
52,0,no,21,no,no,no,no,no,no,no,no
37,1,no,34,no,no,no,no,no,no,yes,yes
52,0,yes,26,no,no,no,no,no,no,no,no
52,0,yes,43,no,no,no,no,no,no,yes,yes
52,0,no,20,no,no,yes,yes,yes,yes,no,no
44,1,no,20,no,no,no,no,no,no,yes,yes
52,0,no,32,no,no,yes,yes,yes,yes,yes,yes
52,1,no,25,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,yes,31,no,no,no,no,no,no,no,no
52,0,yes,42,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,32,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,no,no,no,yes,yes
52,0,no,20,no,yes,yes,yes,yes,no,no,no
52,0,yes,36,no,no,no,no,no,no,no,no
52,0,yes,34,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,28,no,yes,yes,yes,yes,no,no,no
52,0,yes,21,no,no,no,yes,yes,yes,yes,yes
52,0,no,18,no,no,yes,yes,yes,yes,no,no
52,0,yes,20,yes,yes,yes,yes,yes,yes,no,yes
52,0,no,17,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,44,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,30,no,no,no,no,no,no,no,no
52,0,yes,22,no,no,no,no,no,yes,yes,no
9,1,yes,30,no,no,no,no,no,no,no,no
17,1,no,23,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,no,no,no,no,no
52,0,no,19,no,no,yes,yes,yes,yes,yes,yes
52,0,yes,21,no,no,no,no,no,no,no,yes
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,yes,19,yes,yes,yes,yes,yes,yes,no,no
52,0,yes,21,no,no,no,no,no,no,no,no
16,1,no,38,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,yes,39,yes,yes,yes,yes,yes,yes,yes,yes
3,1,no,30,no,no,no,NA,NA,NA,NA,NA
52,0,no,37,no,no,no,yes,yes,yes,yes,yes
52,0,yes,23,no,no,no,no,no,no,no,no
52,0,no,21,no,no,no,no,no,no,no,no
52,0,yes,31,no,no,no,yes,yes,yes,yes,yes
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,no,31,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,24,yes,no,no,no,no,no,no,yes
52,0,yes,24,no,no,no,yes,yes,yes,yes,yes
52,0,yes,21,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,22,no,no,no,no,no,no,yes,yes
45,1,no,20,no,no,no,no,no,no,no,no
52,0,yes,21,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,24,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,25,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,19,no,no,no,no,no,yes,yes,yes
52,0,no,20,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,no,no
28,1,no,24,no,no,no,no,no,yes,yes,yes
52,0,yes,18,no,no,no,no,no,no,no,no
16,1,yes,28,no,no,no,no,no,no,no,no
15,1,yes,19,no,yes,yes,yes,no,no,no,no
52,0,no,19,no,no,no,yes,yes,yes,yes,no
52,0,no,25,no,no,no,no,no,no,no,yes
52,0,yes,19,no,no,no,no,no,no,no,no
52,0,yes,25,no,no,no,no,no,no,no,no
14,1,no,24,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,yes,yes,yes,yes,yes,yes
52,0,yes,30,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,29,no,no,yes,yes,yes,yes,yes,yes
52,0,no,28,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,36,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,23,no,no,no,no,no,no,no,no
52,0,yes,23,no,no,no,no,no,no,no,no
52,0,no,24,no,no,no,no,no,no,no,no
52,0,no,29,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,26,no,no,no,no,no,no,no,no
52,0,no,39,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,20,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,23,no,no,no,no,yes,yes,yes,yes
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,yes,21,yes,no,no,no,yes,no,no,yes
7,1,yes,20,no,no,no,no,no,no,no,NA
52,0,yes,20,no,no,no,no,no,no,no,no
52,0,yes,27,no,no,yes,yes,no,no,no,no
43,1,no,18,no,yes,yes,yes,yes,yes,yes,yes
46,1,yes,25,no,no,no,no,no,no,no,no
40,1,yes,20,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,20,no,no,no,no,no,no,no,no
14,1,no,20,no,yes,yes,yes,yes,yes,no,no
52,0,no,24,no,no,no,no,no,no,yes,yes
52,0,yes,23,no,no,no,yes,yes,yes,yes,yes
8,1,no,28,no,no,no,no,no,no,no,no
52,0,no,21,no,no,no,no,no,no,no,no
52,0,no,25,no,no,no,no,no,no,no,no
52,0,no,24,no,no,no,no,no,no,no,no
52,0,no,29,no,no,no,no,no,no,yes,no
52,0,no,22,no,yes,yes,yes,yes,yes,yes,yes
25,1,no,28,no,no,no,no,no,no,no,no
52,0,no,19,no,no,no,yes,yes,yes,yes,yes
52,0,no,20,no,no,no,no,no,no,no,no
17,1,no,20,no,no,no,no,no,no,no,no
37,1,yes,22,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,yes,yes
52,0,yes,21,no,no,no,no,yes,yes,yes,yes
52,0,yes,21,no,yes,yes,yes,yes,yes,yes,yes
32,1,no,19,no,yes,yes,yes,yes,no,no,no
52,0,no,26,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,23,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,22,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,24,no,no,no,no,no,no,yes,yes
52,0,yes,40,no,no,no,no,no,no,no,no
52,0,yes,32,no,no,no,no,no,no,no,no
52,0,no,38,no,no,yes,yes,yes,yes,yes,yes
52,0,no,26,no,no,yes,yes,yes,yes,yes,yes
12,1,yes,27,no,no,yes,no,no,yes,no,no
52,0,no,29,no,no,no,no,no,no,no,no
18,1,no,20,no,no,no,no,yes,yes,no,no
52,0,no,22,no,no,no,no,no,yes,yes,no
52,0,no,22,yes,yes,no,no,no,no,no,no
14,1,yes,19,no,yes,no,yes,no,no,yes,yes
52,0,no,22,no,no,yes,yes,yes,yes,yes,yes
52,0,no,19,no,no,no,no,no,yes,yes,yes
52,0,yes,32,no,no,no,no,yes,yes,yes,yes
52,0,yes,25,no,no,no,no,no,yes,yes,yes
38,1,no,21,no,no,no,no,no,no,no,no
52,0,yes,36,no,yes,yes,yes,yes,yes,yes,yes
24,1,no,40,no,no,no,no,no,no,no,no
20,1,yes,20,no,yes,yes,yes,yes,yes,yes,yes
32,1,yes,19,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,18,no,no,no,no,no,no,no,no
52,0,yes,28,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,yes,25,no,no,no,no,no,no,no,no
52,0,yes,28,no,no,yes,yes,no,yes,no,no
52,0,yes,25,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,yes,yes,no,no,no
52,0,yes,24,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,24,no,no,no,no,no,yes,yes,yes
52,0,yes,36,no,no,no,no,no,no,no,no
52,0,yes,34,no,no,no,yes,yes,yes,yes,no
31,1,no,19,no,no,no,no,no,no,no,no
20,1,yes,23,no,yes,yes,no,no,no,yes,yes
40,1,no,19,no,no,no,no,no,no,no,yes
52,0,yes,40,no,yes,yes,yes,yes,no,no,yes
52,0,yes,31,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,23,yes,yes,yes,yes,yes,yes,yes,no
52,0,no,42,no,yes,yes,yes,yes,yes,yes,yes
42,1,yes,26,no,yes,yes,yes,yes,yes,yes,no
52,0,no,20,no,no,no,no,no,no,no,no
26,1,no,27,no,no,no,no,no,no,yes,yes
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,no,25,no,no,no,no,yes,yes,yes,yes
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,yes,yes,yes,yes,yes,yes
52,0,yes,20,no,yes,yes,yes,yes,yes,yes,yes
47,1,no,22,no,yes,yes,yes,yes,yes,no,no
52,0,no,18,no,no,no,no,yes,yes,yes,no
52,0,no,20,no,no,no,no,no,no,no,no
40,1,no,20,no,no,no,no,no,no,no,no
52,0,no,22,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,30,no,yes,yes,no,no,yes,yes,yes
52,0,no,36,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,25,yes,yes,yes,yes,yes,yes,yes,yes
21,1,no,29,no,no,yes,yes,yes,yes,yes,yes
52,0,no,19,yes,yes,yes,yes,yes,yes,no,no
52,0,yes,24,no,no,no,no,no,no,yes,yes
52,0,yes,21,no,no,no,no,no,no,yes,no
52,0,yes,35,no,no,no,yes,yes,yes,yes,yes
52,0,yes,19,no,no,no,no,no,no,no,no
1,1,no,20,no,NA,NA,NA,NA,NA,NA,NA
43,1,no,22,no,no,no,no,no,no,no,no
24,1,no,23,yes,yes,yes,yes,yes,yes,yes,yes
11,1,no,19,no,no,no,no,no,no,no,no
52,0,no,18,no,no,no,no,no,no,no,no
52,0,yes,38,no,no,no,yes,yes,yes,yes,yes
52,0,yes,18,no,no,no,no,no,no,no,no
52,0,no,22,no,yes,yes,yes,yes,yes,yes,yes
33,1,no,21,no,no,no,yes,yes,yes,yes,yes
52,0,no,21,yes,yes,yes,yes,yes,yes,yes,yes
46,1,yes,21,no,no,no,no,no,no,no,no
36,1,yes,17,no,no,no,yes,yes,yes,yes,yes
52,0,yes,22,no,no,no,no,no,no,no,no
52,0,yes,23,no,no,no,no,no,no,no,no
18,1,yes,19,no,no,no,no,no,no,no,no
52,0,yes,21,no,yes,yes,yes,yes,yes,yes,no
52,0,yes,35,yes,yes,yes,yes,yes,yes,yes,yes
50,1,no,23,no,no,no,no,no,no,no,no
52,0,yes,22,no,no,no,no,no,no,no,no
34,1,yes,25,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,no,yes,yes,no,no
35,1,yes,19,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,no,no
52,0,yes,41,no,no,yes,yes,yes,yes,yes,yes
39,1,no,23,no,no,no,no,no,no,no,no
9,1,yes,26,no,no,no,no,no,no,yes,yes
52,0,no,26,no,no,no,no,no,no,no,no
52,0,yes,38,no,no,no,no,no,no,no,no
52,0,no,27,no,no,no,no,no,no,no,no
34,1,yes,19,no,no,yes,yes,no,no,no,yes
52,0,no,25,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,30,no,no,no,no,no,no,yes,yes
52,0,yes,42,no,no,no,no,no,no,no,no
44,1,no,20,no,no,no,no,no,no,no,no
52,0,yes,23,no,no,no,yes,yes,yes,yes,yes
52,0,no,21,yes,yes,yes,yes,yes,yes,yes,yes
35,1,yes,20,yes,yes,yes,yes,yes,no,no,no
30,1,no,17,no,no,no,no,yes,yes,yes,yes
39,1,yes,26,no,yes,yes,no,no,yes,yes,yes
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,no,37,yes,yes,yes,yes,yes,no,no,no
52,0,no,28,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,33,yes,yes,yes,yes,yes,yes,yes,yes
19,1,yes,22,no,no,no,no,no,no,no,no
52,0,no,25,no,no,no,no,no,no,no,yes
43,1,no,20,no,no,no,no,no,no,no,no
52,0,no,20,yes,yes,no,no,no,no,no,no
48,1,yes,24,no,no,no,no,no,no,no,no
37,1,yes,26,no,no,no,no,no,no,no,no
20,1,yes,26,no,no,no,no,no,no,no,no
52,0,no,25,no,no,yes,yes,yes,yes,yes,yes
52,0,no,26,no,no,no,no,no,no,no,no
36,1,yes,23,no,no,no,no,no,no,no,no
52,0,yes,28,no,no,no,yes,yes,yes,yes,yes
52,0,no,27,no,no,no,no,no,no,no,no
52,0,yes,23,no,yes,yes,yes,no,no,no,no
52,0,no,17,no,no,yes,yes,yes,yes,no,no
52,0,no,20,no,no,yes,no,no,no,no,no
52,0,yes,20,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,no,no,no,no,no
30,1,yes,22,no,no,no,no,no,no,no,no
52,0,no,31,no,no,no,no,yes,yes,yes,yes
52,0,no,43,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,29,no,no,no,no,no,no,no,no
52,0,yes,21,no,no,no,no,no,no,no,no
52,0,no,24,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,30,no,no,no,no,no,no,no,no
52,0,no,22,no,no,no,no,no,no,no,no
52,0,yes,26,no,no,no,no,no,yes,yes,yes
42,1,yes,20,no,no,no,no,no,no,no,no
52,0,no,23,no,no,no,no,no,yes,yes,yes
52,0,no,25,no,no,no,no,no,no,no,no
52,0,yes,40,no,no,no,no,no,no,no,yes
52,0,yes,30,no,no,yes,yes,yes,yes,no,no
26,1,no,22,no,no,no,no,no,no,no,no
40,1,no,18,no,no,yes,yes,yes,yes,yes,yes
52,0,no,18,no,no,no,no,no,no,no,no
52,0,no,24,no,yes,yes,yes,yes,yes,yes,yes
52,0,yes,25,no,no,no,no,no,no,no,no
35,1,yes,19,no,no,yes,yes,yes,yes,yes,no
52,0,no,24,yes,yes,yes,yes,yes,yes,yes,yes
46,1,no,24,no,yes,yes,yes,yes,yes,yes,yes
52,0,no,18,no,no,no,no,no,no,no,no
49,1,yes,18,no,no,no,no,no,no,no,no
52,0,no,23,yes,yes,yes,yes,yes,yes,yes,yes
52,0,no,20,no,no,no,no,no,no,no,no
49,1,yes,18,no,no,no,no,no,no,no,no
52,0,no,23,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,no,no,no,no,no
52,0,no,23,no,no,no,no,no,no,no,no
52,0,no,23,no,no,no,yes,yes,yes,yes,yes
52,0,no,23,no,no,no,no,no,yes,yes,yes
35,1,no,20,no,no,no,no,no,no,no,no
52,0,yes,26,no,no,no,no,no,no,yes,no
52,0,yes,30,yes,yes,yes,yes,yes,yes,yes,yes
52,0,yes,36,yes,yes,yes,yes,no,no,no,no
52,0,yes,43,no,no,no,no,no,no,no,no
27,1,no,20,no,no,no,no,no,no,no,no
52,0,yes,24,no,no,no,no,no,no,no,no
52,0,no,22,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,no,no,no,no,no,no
52,1,no,21,no,no,no,no,no,no,no,no
45,1,yes,18,no,no,no,no,no,no,no,no
4,1,no,18,no,no,no,no,NA,NA,NA,NA
52,1,no,33,yes,yes,yes,yes,yes,yes,yes,yes
36,1,yes,19,no,no,no,no,no,no,no,no
52,0,yes,21,no,no,no,no,no,no,yes,yes
52,0,yes,21,no,yes,no,no,no,no,no,no
8,1,yes,21,no,no,no,yes,yes,yes,yes,yes
15,1,yes,22,no,no,no,no,no,no,no,no
52,0,no,18,no,no,no,no,no,no,no,no
19,1,no,18,no,no,no,no,no,no,no,no
52,0,no,24,no,yes,yes,yes,yes,yes,yes,yes
12,1,yes,22,no,no,no,no,yes,yes,no,no
52,0,yes,31,no,no,no,no,no,no,no,no
52,0,no,20,no,no,no,no,no,no,no,no
52,0,yes,20,no,no,yes,yes,yes,no,no,no
52,0,no,29,yes,yes,yes,yes,yes,no,no,yes
52,0,yes,24,yes,yes,yes,yes,yes,yes,no,no
