"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged","usd_pledged_real","usd_goal_real","date_diff"
"373451",972943399,"Visit New Zealand!","Web","Journalism","EUR","2015-06-11",10000,"2015-05-12 15:06:50",0,0,0,"DE",0,0,11219.94,29.3702546296296
"325648",728613930,"ToutWat l'annuaire local de Waterloo","Web","Technology","EUR","2017-07-07",25000,"2017-06-07 09:44:06",0,0,0,"BE",0,0,28530.02,29.594375
"342005",812164959,"FAYVRZ will help you get your life done!","Apps","Technology","USD","2015-06-28",10000,"2015-05-29 20:59:01",0,0,0,"US",0,0,10000,29.1256828703704
"152131",1772936713,"JunksOut: Share Great Junk","Apps","Technology","USD","2015-05-09",3500,"2015-04-09 19:03:45",1,0,1,"US",1,1,3500,29.2057291666667
"356126",883988135,"Paired Point-empowering a new generation of connections.","Apps","Technology","GBP","2017-02-08",37000,"2017-01-09 17:19:01",0,0,0,"GB",0,0,46109.94,29.2784606481481
"271307",450268797,"Improved PostgreSQL support in Django","Web","Technology","GBP","2014-03-14",2500,"2014-02-10 18:19:49",14411.31,1,334,"GB",23648.67,23915.22,4148.69,31.1945717592593
"373579",973621440,"Membus Tour: creating the world's first video dictionary","Apps","Technology","GBP","2015-12-17",50000,"2015-11-17 16:14:17",72408.11,1,1300,"GB",110146.51,107975.11,74560.1,29.3234143518519
"239658",288791409,"Building a global community designers: www.manmadelove.com","Web","Technology","AUD","2014-08-08",15000,"2014-07-09 16:00:58",0,0,0,"AU",0,0,13927.58,29.332662037037
"76120",1387548863,"SitRep - Accountable Independence for Single People","Web","Technology","USD","2014-12-12",22800,"2014-11-12 23:36:16",280,0,6,"US",280,280,22800,29.0164814814815
"212491",2082946949,"Boss Network Interactive Site","Web","Journalism","AUD","2015-02-23",4000,"2015-01-24 00:00:32",0,0,0,"AU",0,0,3131.36,29.9996296296296
"122688",162303658,"Record fullhd the screen of your phone for ios/android/wp","Apps","Technology","EUR","2015-09-10",2600,"2015-08-11 18:45:13",7.2,0,7,"ES",7.9,8.11,2929.68,29.218599537037
"217454",210773511,"Southeast Eats","Web","Journalism","USD","2017-04-27",600,"2017-03-28 22:00:20",1,0,1,"US",0,1,600,29.0831018518519
"147587",1749960730,"#Rehash Entertainment","Web","Journalism","GBP","2015-05-11",500,"2015-04-11 21:26:08",0,0,0,"GB",0,0,785.47,29.1068518518519
"78014",1396759907,"Forget-Me-Not (FMN): A Smart Photo That Keeps Memories Alive","Apps","Technology","CAD","2015-03-11",25000,"2015-02-10 00:36:27",1632,0,21,"CA",1302.84,1281.61,19632.48,28.9330208333333
"272224",455048556,"FIRST Site EVER Comparing How Major News is Reported!","Web","Technology","USD","2017-02-10",25000,"2017-01-11 01:12:01",5,0,1,"US",0,5,25000,29.9499884259259
"363292",921112190,"GarbageGrab.com - Crowd Sourced On Demand Waste Management","Apps","Technology","USD","2015-06-04",10000,"2015-05-05 18:23:54",1,0,1,"US",1,1,10000,29.2334027777778
"251977",351515941,"MYARKIT - SAVED MY LIFE","Web","Technology","USD","2017-06-28",30000,"2017-05-29 09:02:18",1075,0,3,"US",0,1075,30000,29.6234027777778
"200103",201904192,"Your Own Mobile App For Apple iPhone & Google Android","Apps","Technology","USD","2014-07-24",2000,"2014-06-24 01:14:56",2039,1,40,"US",2039,2039,2000,29.947962962963
"350987",858076697,"Groopylife school news social networking","Apps","Technology","USD","2017-08-11",10000,"2017-07-12 05:18:17",1,0,1,"US",1,1,10000,29.7789699074074
"219624",2118633700,"StorySnap: Your voice, their stories... in a snap!","Apps","Technology","CHF","2016-01-10",32500,"2015-12-10 00:11:19",25868,0,173,"CH",25886.2,25780.35,32389.87,30.9921412037037
"286307",526484311,"Internet Protocol Cybernetic Organism","Web","Technology","USD","2014-12-18",20000,"2014-11-18 02:14:35",5,0,1,"US",5,5,20000,29.9065393518519
"324271",721625607,"SmartBikeTrainer Web Application","Apps","Technology","USD","2015-03-25",50000,"2015-02-23 16:18:54",25,0,1,"US",25,25,50000,29.2785416666667
"138991",1706011855,"The Elbow Drop","Web","Journalism","USD","2014-09-14",5000,"2014-08-15 23:08:31",46,0,4,"US",46,46,5000,29.0357523148148
"39939",1203126830,"HygieneApp - bereits mit ersten Kunden - auf der Zielgeraden","Apps","Technology","EUR","2017-02-17",7000,"2017-01-17 22:35:44",7162,1,14,"DE",134.81,7627.51,7454.98,30.0585185185185
"157743",1802383058,"Dickey Picks - An App to Support Gun Research Legislation","Apps","Technology","USD","2016-07-24",35000,"2016-06-24 20:06:30",1938,0,34,"US",1783,1938,35000,29.1621527777778
"76275",1388325400,"Valentino Rossi 46 FanPage","Web","Journalism","EUR","2016-03-04",5000,"2016-02-03 21:47:15",0,0,0,"IT",0,0,5484.98,29.0921875
"362650",917788438,"Www.Jot.Academy - Help grow the FREE Education Tool For ALL!","Apps","Technology","USD","2017-02-05",50000,"2017-01-06 17:37:48",50,0,1,"US",50,50,50000,29.2654166666667
"259148",387897520,"SCK Radio","Apps","Technology","USD","2015-08-21",7000,"2015-07-22 15:24:16",8150.82,1,78,"US",8150.82,8150.82,7000,29.3581481481481
"340833",806102070,"DeepLove","Apps","Technology","EUR","2016-04-15",55000,"2016-03-16 20:01:05",1,0,1,"ES",1.11,1.13,62062.04,29.1659143518519
"283032",51022712,"Childproof My Home","Apps","Technology","AUD","2014-09-27",3500,"2014-08-28 23:24:59",309,0,7,"AU",287.78,270.44,3063.19,29.0243171296296
"306645",631659635,"The Gun Rundown Project","Web","Journalism","USD","2014-12-05",10000,"2014-11-05 03:57:51",10,0,1,"US",10,10,10000,29.8348263888889
"326746",734246115,"THEYLOVE","Apps","Technology","USD","2017-11-05",9000,"2017-10-06 13:20:43",10,0,1,"US",0,10,9000,29.4439467592593
"349650",851438774,"The Lyme Times - My Journey to Find a Cure for Lyme Disease","Web","Journalism","USD","2014-08-25",5000,"2014-07-26 17:46:06",15,0,2,"US",15,15,5000,29.2596527777778
"293729",564980978,"Goaleo, the sport social hub","Web","Technology","EUR","2015-06-26",50000,"2015-05-27 08:19:23",51400,1,76,"FR",56284.05,57578.13,56009.86,29.6532060185185
"159172",180948160,"Breathe  - One Community","Web","Journalism","USD","2014-12-09",11111,"2014-11-09 20:48:07",2285,0,28,"US",2285,2285,11111,29.1332523148148
"315166",675263763,"HereToMeet.com","Web","Technology","USD","2015-04-22",4000,"2015-03-23 18:53:04",0,0,0,"US",0,0,4000,29.2131481481481
"355198",879414971,"Send Friends HARIBOS","Web","Technology","GBP","2015-05-06",4500,"2015-04-06 19:23:10",20,0,1,"GB",29.84,30.83,6936.1,29.1922453703704
"325350",727047349,"American Heritage-Revitalize the Leading Magazine of History","Web","Journalism","USD","2016-09-19",50000,"2016-08-20 23:56:45",945,0,25,"US",327,945,50000,29.0022569444444
"27033",1137394407,"PARKRADAR | Find parking and earn money","Apps","Technology","EUR","2017-06-08",25000,"2017-05-09 17:09:28",183,0,13,"IT",1.1,204.52,27940.14,29.2850925925926
"175297",1891574335,"Rhomda","Apps","Technology","EUR","2016-02-19",50000,"2016-01-20 13:13:18",90,0,3,"IT",98.04,99.86,55479.73,29.4490972222222
"94872",1482189512,"Roomswap's Nationwide Mobile Platform!!","Web","Technology","USD","2015-09-03",5000,"2015-08-04 18:43:57",5410,1,73,"US",5410,5410,5000,29.2194791666667
"36745",118639913,"Life Hacks Learning Centre - An Educational Revolution","Web","Technology","GBP","2015-10-15",15000,"2015-09-15 22:38:56",0,0,0,"GB",0,0,23164.59,29.0562962962963
"206114",2050017520,"5 Minute Modeling","Apps","Technology","USD","2016-01-14",54000,"2015-12-15 17:50:15",500,0,1,"US",500,500,54000,29.2567708333333
"57586",1293086018,"Homeostasis","Apps","Technology","USD","2015-06-21",55000,"2015-05-22 17:56:35",675,0,15,"US",675,675,55000,29.2523726851852
"271941",453584747,"MYstory (The world's first social biography tool)","Apps","Technology","USD","2015-09-08",30000,"2015-08-09 22:30:33",0,0,0,"US",0,0,30000,29.0621180555556
"185087",1942449175,"fitnessforfree.ch - Die Fitness Website","Web","Technology","CHF","2017-04-15",3000,"2017-03-16 12:44:40",1,0,1,"CH",0,1,3005.05,29.4689814814815
"115096",1584537184,"Fund Bubble Blast","Apps","Technology","CAD","2014-08-08",1000,"2014-07-09 18:10:27",15,0,2,"CA",14.05,13.74,916.09,29.2427430555556
"203569",2036728911,"Social Media For The Geek In You","Web","Technology","USD","2016-04-28",17500,"2016-03-29 23:27:15",21,0,3,"US",21,21,17500,29.0227430555556
"374370",977776404,"TheWrestlingMark.com","Web","Journalism","USD","2014-12-08",1750,"2014-11-08 00:10:45",7,0,3,"US",7,7,1750,29.9925347222222
"344192",823080755,"eYes on Apps","Apps","Technology","USD","2015-04-22",2500,"2015-03-23 21:56:34",75,0,3,"US",75,75,2500,29.0857175925926
"110612",1562060094,"Domino.fm: Discover Music Again","Apps","Technology","USD","2014-09-06",21000,"2014-08-07 18:36:58",21120,1,101,"US",21120,21120,21000,29.2243287037037
"147020",1747135681,"LATCH: Live and Relive the Appalachian Trail","Apps","Technology","USD","2016-09-15",25000,"2016-08-16 18:35:20",5611,0,138,"US",245,5611,25000,29.225462962963
"281558",502353276,"Realestate DIY","Web","Technology","AUD","2015-05-20",500,"2015-04-20 23:14:26",0,0,0,"AU",0,0,394.14,29.0316435185185
"152089",1772695459,"SaveOhno.org - Gamified Platform For Climate Change Activism","Web","Technology","USD","2015-01-01",7500,"2014-12-02 06:00:23",7781,1,76,"US",7781,7781,7500,29.7497337962963
"160426",1815959667,"S.W.I.G. (See Where It Goes)","Apps","Technology","USD","2015-08-04",18000,"2015-07-07 01:28:43",150,0,2,"US",150,150,18000,27.9383912037037
"72012",1366576030,"Slushbox- The social network for car geeks","Apps","Technology","USD","2016-12-28",1000,"2016-11-28 19:33:05",83,0,6,"US",0,83,1000,29.1853587962963
"375152",981920250,"Avelar News","Web","Journalism","CAD","2016-10-13",1500,"2016-09-13 05:15:14",0,0,0,"CA",0,0,1139.3,29.781087962963
"112282",1570411449,"HipHardware Revival Project","Web","Journalism","CAD","2014-10-29",9500,"2014-09-29 23:08:28",0,0,0,"CA",0,0,8426.47,29.035787037037
"51168",1260576741,"Under A Roof - A Housing Evolution","Apps","Technology","AUD","2015-06-15",50000,"2015-05-16 13:41:23",0,0,0,"AU",0,0,38717.67,29.4295949074074
"5615",102881321,"H-TEN Subscription 2016","Web","Journalism","CAD","2016-01-02",1500,"2015-12-03 13:36:29",1500,1,12,"CA",1122.17,1063.38,1063.38,29.4329976851852
"238434",28243741,"Learn to make Takeaway Websites: Online Food Ordering System","Web","Technology","EUR","2017-09-16",1000,"2017-08-17 23:33:20",140,0,5,"DE",123.27,167.45,1196.1,29.0185185185185
"133204",1676091760,"RR-informatique","Web","Technology","EUR","2017-04-08",40000,"2017-03-09 19:01:48",105,0,2,"FR",5.28,111.62,42520.17,29.1654166666667
"63483",1322868580,"My Zen App","Apps","Technology","USD","2016-03-24",5000,"2016-02-23 05:14:45",1,0,1,"US",1,1,5000,29.7397569444444
"16374",1082848811,"ikickyou.com","Web","Technology","USD","2017-04-26",15000,"2017-03-27 15:55:31",26,0,4,"US",41,26,15000,29.3364467592593
"36078",1183090101,"The Travel Academy: Uniting Education and Travel","Web","Journalism","CAD","2016-09-07",3000,"2016-08-08 08:26:01",1,0,1,"CA",0,0.77,2315.35,29.648599537037
"154323",1784594770,"T20 Cricket Manager","Web","Technology","AUD","2015-10-24",15000,"2015-09-24 01:18:15",1,0,1,"AU",0.71,0.71,10631.51,29.9456597222222
"143142",1727252756,"Concurrent Magazine","Web","Journalism","CAD","2014-08-08",1500,"2014-07-09 18:11:48",160,0,3,"CA",149.86,146.57,1374.13,29.2418055555556
"19422",1098525492,"Who is calling me?","Apps","Technology","EUR","2016-02-26",5000,"2016-01-27 14:28:04",11,0,3,"IT",11.93,12.11,5502.97,29.3971759259259
"22809",1115763778,"Kindr - Finding Friends for Parents and Kids","Web","Technology","USD","2016-06-18",10000,"2016-05-19 11:43:42",50,0,2,"US",50,50,10000,29.5113194444444
"242411",302850457,"UpDownUpDown Gaming","Web","Journalism","USD","2016-07-21",6000,"2016-06-21 03:27:47",20,0,1,"US",0,20,6000,29.8557060185185
"80410",1408874651,"CookIN Today","Apps","Technology","USD","2015-11-14",25000,"2015-10-16 23:09:09",95,0,3,"US",95,95,25000,28.0769791666667
"115836",1588122551,"Bring Pointa.TV to market","Apps","Technology","USD","2015-03-22",25000,"2015-02-19 23:16:31",1370,0,38,"US",1370,1370,25000,29.9885300925926
"331300",757796615,"GetEdgeucated - Free Online Tutoring","Web","Technology","USD","2014-08-28",500,"2014-07-29 16:32:16",76,0,2,"US",76,76,500,29.3109259259259
"109948",155861755,"Designer upload app- where creative minds come together","Apps","Technology","GBP","2016-04-13",10000,"2016-03-14 16:39:58",1,0,1,"GB",1.43,1.42,14180.37,29.3055787037037
"291279",552254776,"Phonics App Update","Apps","Technology","AUD","2014-09-18",3500,"2014-08-19 11:35:29",0,0,0,"AU",0,0,3140.99,29.517025462963
"164613",1837724091,"Podium: The Future of Employment","Apps","Technology","USD","2015-10-09",30000,"2015-09-09 23:27:14",3758.47,0,48,"US",3758.47,3758.47,30000,29.0227546296296
"167323",1851073650,"Circle of Life - Your job is to SURVIVE.","Apps","Technology","USD","2016-08-21",7000,"2016-07-20 20:43:19",101,0,2,"US",0,101,7000,31.1365856481481
"350291",854578033,"Learning Platform Seniors 10 / LeerPlatform Senioren 10","Web","Technology","EUR","2015-10-18",20000,"2015-09-18 16:26:08",25,0,1,"NL",28.27,27.71,22168.03,29.3151851851852
"261333",39920808,"Clarity - Social Network","Apps","Technology","USD","2016-01-29",10000,"2015-12-30 16:01:08",0,0,0,"US",0,0,10000,29.3325462962963
"344098",822633653,"99 Monkeys","Apps","Technology","AUD","2015-08-31",15000,"2015-08-03 01:18:03",13,0,4,"AU",9.5,9.08,10475.59,27.9457986111111
"295125",572183399,"Jobberfly - Online Speed Business Networking","Web","Technology","USD","2014-10-19",8000,"2014-09-19 18:41:32",200,0,6,"US",200,200,8000,29.2211574074074
"98387",1499423362,"Authorized DEVO Synthesizer and Robot Maker App , DEVOBOTS","Apps","Technology","USD","2012-09-18",15000,"2012-08-21 03:17:36",15681,1,170,"US",15681,15681,15000,27.8627777777778
"101369",1515055496,"Pebble - Ok Pebble now","Apps","Technology","GBP","2015-04-26",300,"2015-03-26 23:37:25",51,0,5,"GB",75.83,78.71,462.98,30.0156828703704
"89481",1454564553,"App for Travel + Share = Earn money to discover the world","Apps","Technology","CAD","2017-06-02",19000,"2017-05-03 06:18:09",120,0,3,"CA",0,88.74,14050.14,29.7373958333333
"342576",815101257,"Help needed for ""NightOwl"" the nightlife App","Apps","Technology","USD","2014-09-12",40000,"2014-08-13 01:35:59",6,0,1,"US",6,6,40000,29.9333449074074
"228294",230675153,"My Motors","Web","Technology","AUD","2015-04-30",15000,"2015-03-31 12:22:19",0,0,0,"AU",0,0,11879.31,29.4845023148148
"50207",1255745928,"Fitness App that allows interaction with a Real trainer","Apps","Technology","CAD","2017-02-22",5000,"2017-01-23 18:55:41",0,0,0,"CA",0,0,3814.17,29.2113310185185
"193199",1983051720,"Math Is Life Inc","Apps","Technology","USD","2015-04-22",15000,"2015-03-23 22:54:51",0,0,0,"US",0,0,15000,29.0452430555556
"195883",1997456568,"Majorbeef.com","Web","Journalism","USD","2016-09-22",1000,"2016-08-23 02:12:52",1,0,1,"US",0,1,1000,29.9077314814815
"135296",1687010929,"Koreanbap.com","Web","Technology","USD","2015-02-14",5000,"2015-01-15 02:14:18",550,0,3,"US",550,550,5000,29.9067361111111
"89145",1453064798,"FatCat Market","Web","Technology","USD","2016-12-01",14000,"2016-11-01 17:56:06",1,0,1,"US",1,1,14000,29.294375
