"GRE.Score","CGPA","Chance.of.Admit"
324,1.4064,0.7
325,1.4016,0.75
313,1.3888,0.71
312,1.352,0.72
314,1.3072,0.73
327,1.4624,0.83
308,1.3344,0.77
306,1.3152,0.72
299,1.2576,0.54
294,1.2224,0.49
312,1.2816,0.52
315,1.272,0.58
322,1.4336,0.78
329,1.512,0.89
320,1.3792,0.7
308,1.3584,0.66
304,1.3968,0.67
311,1.3824,0.68
317,1.4576,0.8
312,1.4064,0.81
321,1.424,0.8
340,1.5456,0.94
331,1.4816,0.93
336,1.4704,0.92
324,1.4528,0.89
314,1.4432,0.82
313,1.44,0.79
307,1.224,0.58
300,1.2592,0.56
302,1.2752,0.56
312,1.3088,0.64
316,1.3312,0.61
317,1.3712,0.68
310,1.3872,0.76
320,1.4576,0.86
330,1.4784,0.9
305,1.384,0.71
309,1.28,0.62
319,1.4016,0.66
322,1.352,0.65
323,1.368,0.73
313,1.3488,0.62
321,1.408,0.74
323,1.456,0.79
325,1.44,0.8
312,1.3648,0.69
308,1.376,0.7
320,1.3984,0.76
328,1.4688,0.84
311,1.44,0.78
301,1.2864,0.67
305,1.3008,0.66
308,1.2912,0.65
298,1.2576,0.54
300,1.2816,0.58
324,1.408,0.79
327,1.3904,0.8
317,1.36,0.75
323,1.3504,0.73
314,1.3232,0.72
305,1.3088,0.62
315,1.3328,0.67
326,1.4624,0.81
299,1.2832,0.63
295,1.2576,0.69
324,1.4032,0.8
297,1.2624,0.43
327,1.3856,0.8
311,1.2992,0.73
308,1.3136,0.75
319,1.3664,0.71
312,1.384,0.73
325,1.4576,0.83
319,1.4064,0.72
332,1.5152,0.94
323,1.3984,0.81
324,1.3856,0.81
312,1.3536,0.75
326,1.4016,0.79
308,1.3184,0.58
305,1.3008,0.59
295,1.1744,0.47
316,1.1888,0.49
304,1.2224,0.47
299,1.1744,0.42
302,1.16,0.57
313,1.2864,0.62
318,1.3232,0.74
325,1.3872,0.73
303,1.2896,0.64
300,1.3072,0.63
297,1.2272,0.59
317,1.2992,0.73
327,1.4032,0.79
301,1.2624,0.68
314,1.2224,0.7
321,1.3504,0.81
322,1.3824,0.85
334,1.5264,0.93
338,1.4768,0.91
306,1.3376,0.69
313,1.424,0.77
330,1.4672,0.86
320,1.3344,0.74
311,1.1936,0.57
298,1.2608,0.51
301,1.2848,0.67
310,1.3184,0.72
324,1.4752,0.89
336,1.5392,0.95
321,1.3664,0.79
315,1.224,0.39
304,1.2256,0.38
297,1.1888,0.34
290,1.2096,0.47
303,1.224,0.56
311,1.3488,0.71
322,1.4144,0.78
319,1.3872,0.73
324,1.464,0.82
300,1.3216,0.62
340,1.5584,0.96
335,1.5712,0.96
302,1.2736,0.46
307,1.296,0.53
296,1.248,0.49
320,1.3504,0.76
314,1.3184,0.64
318,1.384,0.71
326,1.4592,0.84
317,1.4016,0.77
329,1.4768,0.89
324,1.4464,0.82
325,1.4576,0.84
330,1.512,0.91
312,1.4048,0.67
333,1.5456,0.95
