gender,test_preparation_course,math_score,reading_score,writing_score
male,none,57,43,47
male,none,88,73,78
female,none,22,39,33
male,none,88,84,75
male,none,73,68,66
female,completed,68,75,81
male,completed,100,100,93
male,completed,62,67,69
male,none,77,67,68
female,completed,59,70,66
male,none,54,49,47
male,none,62,67,61
female,completed,70,89,88
female,completed,66,74,78
male,none,60,60,60
female,completed,61,86,87
male,none,66,62,64
male,completed,82,78,74
female,completed,75,88,85
male,none,49,53,52
male,none,52,53,49
female,none,81,92,91
female,completed,96,100,100
male,completed,53,51,51
female,completed,58,76,78
female,completed,68,83,78
female,completed,67,75,70
male,completed,72,73,74
male,none,94,88,78
female,none,79,86,81
female,none,63,67,70
female,completed,43,51,54
female,completed,81,91,87
female,completed,46,54,58
female,completed,71,77,77
female,completed,52,70,62
female,completed,97,100,100
male,completed,62,68,75
female,none,46,64,66
female,none,50,50,47
female,none,65,69,70
male,completed,45,52,49
male,completed,65,67,65
male,none,80,76,65
male,completed,62,66,68
male,none,48,52,45
female,none,77,88,87
female,none,66,65,69
male,completed,76,83,79
female,none,62,64,66
male,completed,77,62,62
female,completed,69,84,85
male,none,61,55,52
male,completed,59,69,65
male,none,55,56,51
female,none,45,53,55
female,none,78,79,76
female,completed,67,84,86
female,none,65,81,77
male,none,69,77,69
female,none,57,69,68
male,none,59,41,42
male,completed,74,71,78
male,none,82,62,62
male,completed,81,80,76
female,none,74,81,76
female,none,58,61,66
male,completed,80,79,79
male,none,35,28,27
female,none,42,62,60
male,completed,60,51,56
male,completed,87,91,81
male,completed,84,83,75
female,completed,83,86,88
female,none,34,42,39
male,none,66,77,70
male,completed,61,56,56
female,completed,56,68,74
male,none,87,85,73
female,none,55,65,62
male,none,86,80,75
female,completed,52,66,73
female,none,45,56,54
female,none,72,72,71
male,none,57,50,54
male,none,68,72,64
female,completed,88,95,94
male,none,76,64,66
male,none,46,43,42
female,none,67,86,83
male,none,92,87,78
male,completed,83,82,84
male,none,80,75,77
male,none,63,66,67
female,completed,64,60,74
male,none,54,52,51
male,none,84,80,80
male,completed,73,68,66
female,none,80,83,83
female,none,56,52,55
male,none,59,51,43
male,none,75,74,69
male,none,85,76,71
male,none,89,76,74
female,completed,58,70,68
female,none,65,64,62
male,none,68,60,53
male,completed,47,49,49
female,none,71,83,83
female,completed,60,70,70
male,none,80,80,72
male,none,54,52,52
female,none,62,73,70
female,none,64,73,68
male,completed,78,77,77
female,none,70,75,78
female,completed,65,81,81
female,completed,64,79,77
male,completed,79,79,78
female,none,44,50,51
female,none,99,93,90
male,none,76,73,68
male,none,59,42,41
female,none,63,75,81
female,none,69,72,77
female,completed,88,92,95
female,none,71,76,70
male,none,69,63,61
male,none,58,49,42
female,none,47,53,58
female,none,65,70,71
male,completed,88,85,76
male,none,83,78,73
female,completed,85,92,93
female,completed,59,63,75
female,none,65,86,80
male,none,73,56,57
male,none,53,52,42
male,none,45,48,46
female,none,73,79,84
female,completed,70,78,78
female,none,37,46,46
male,completed,81,82,82
male,completed,97,82,88
female,none,67,89,82
male,none,88,75,76
male,completed,77,76,77
male,none,76,70,68
male,none,86,73,70
male,completed,63,60,57
female,none,65,73,75
male,completed,78,77,80
male,none,67,62,60
male,completed,46,41,43
male,completed,71,74,68
male,completed,40,46,50
male,none,90,87,75
male,completed,81,78,81
male,none,56,54,52
female,completed,67,84,81
male,none,80,76,64
female,completed,74,75,83
male,none,69,67,69
male,completed,99,87,81
male,none,51,52,44
female,none,53,71,67
female,none,49,57,52
female,none,73,76,80
male,none,66,60,57
male,completed,67,61,68
female,completed,68,67,69
female,completed,59,64,75
male,none,71,66,65
female,completed,77,82,91
male,none,83,72,78
male,none,63,71,69
female,none,56,65,63
female,completed,67,79,84
female,none,75,86,79
female,none,71,81,80
female,none,43,53,53
female,none,41,46,43
female,none,82,90,94
male,none,61,61,62
male,none,28,23,19
male,completed,82,75,77
female,none,41,55,51
male,none,71,60,61
male,none,47,37,35
male,completed,62,56,53
male,none,90,78,81
female,none,83,93,95
female,none,61,68,66
male,completed,76,70,69
male,none,49,51,43
female,none,24,38,27
female,completed,35,55,60
male,none,58,61,52
female,none,61,73,63
female,completed,69,76,74
male,completed,67,72,67
male,none,79,73,67
female,none,72,80,75
male,none,62,61,57
female,completed,77,94,95
male,none,75,74,66
male,none,87,74,76
female,none,52,65,69
male,none,66,57,52
female,completed,63,78,80
female,none,46,58,57
female,none,59,71,70
female,none,61,72,70
male,none,63,61,61
female,completed,42,66,69
male,none,59,62,61
female,none,80,90,89
female,none,58,62,59
male,completed,85,84,78
female,none,52,58,58
female,none,27,34,32
male,none,59,60,58
male,completed,49,58,60
male,completed,69,58,53
male,none,61,66,61
female,none,44,64,58
female,none,73,84,85
male,none,84,77,71
female,completed,45,73,70
male,none,74,74,72
female,completed,82,97,96
female,none,59,70,73
male,none,46,43,41
female,none,80,90,82
female,completed,85,95,100
female,none,71,83,77
male,none,66,64,62
female,none,80,86,83
male,completed,87,100,95
male,none,79,81,71
female,none,38,49,45
female,none,38,43,43
female,none,67,76,75
female,none,64,73,70
female,none,57,78,67
female,none,62,64,64
male,none,73,70,75
male,completed,73,67,59
female,none,77,68,77
male,none,76,67,67
male,completed,57,54,56
female,completed,65,74,77
male,none,48,45,41
female,none,50,67,63
female,none,85,89,95
male,none,74,63,57
male,none,60,59,54
female,completed,59,54,67
male,none,53,43,43
female,none,49,65,55
female,completed,88,99,100
female,none,54,59,62
female,none,63,73,68
male,completed,65,65,63
female,none,82,80,77
female,completed,52,57,56
male,completed,87,84,85
female,completed,70,71,74
male,completed,84,83,78
male,none,71,66,60
male,completed,63,67,67
female,completed,51,72,79
male,none,84,73,69
male,completed,71,74,68
male,none,74,73,67
male,none,68,59,62
male,completed,57,56,54
female,completed,82,93,93
female,completed,57,58,64
female,completed,47,58,67
female,completed,59,85,80
male,none,41,39,34
female,none,62,67,62
male,none,86,83,86
male,none,69,71,65
male,none,65,59,53
male,none,68,63,54
male,none,64,66,59
female,none,61,72,70
male,none,61,56,55
female,none,47,59,50
male,none,73,66,66
male,completed,50,48,53
male,none,75,68,64
male,none,75,66,73
male,none,70,56,51
male,completed,89,88,82
female,completed,67,81,79
female,none,78,81,80
female,none,59,73,69
female,none,73,83,76
male,none,79,82,73
female,completed,67,74,77
male,none,69,66,60
male,completed,86,81,80
male,none,47,46,42
male,none,81,73,72
female,completed,64,85,85
female,none,100,92,97
female,none,65,77,74
male,none,65,58,49
female,none,53,61,62
male,none,37,56,47
female,none,79,89,89
male,none,53,54,48
female,none,100,100,100
male,completed,72,65,68
male,none,53,58,55
male,none,54,54,45
female,none,71,70,76
female,none,77,90,91
male,completed,75,58,62
female,none,84,87,91
female,none,26,31,38
male,completed,72,67,65
female,completed,77,88,85
male,none,91,74,76
female,completed,83,85,90
female,none,63,69,74
female,completed,68,86,84
female,none,59,67,61
female,completed,90,90,91
female,completed,71,76,83
male,completed,76,62,66
male,none,80,68,72
female,none,55,64,70
male,none,76,71,67
male,completed,73,71,68
female,none,52,59,56
male,none,68,68,61
male,none,59,52,46
female,none,49,52,54
male,none,70,74,71
male,none,61,47,56
female,none,60,75,74
male,completed,64,53,57
male,completed,79,82,82
female,none,65,85,76
female,none,64,64,70
female,none,83,83,90
female,none,81,88,90
female,none,54,64,68
male,completed,68,64,66
female,none,54,48,52
female,completed,59,78,76
female,none,66,69,68
male,none,76,71,72
female,none,74,79,82
female,completed,94,87,92
male,none,63,61,54
female,completed,95,89,92
female,none,40,59,54
female,none,82,82,80
male,none,68,70,66
male,none,55,59,54
male,none,79,78,77
female,none,86,92,87
male,none,76,71,73
male,none,64,50,43
male,none,62,49,52
female,completed,54,61,62
female,completed,77,97,94
female,completed,76,87,85
female,none,74,89,84
female,completed,66,74,73
female,completed,66,78,78
female,completed,67,78,79
male,none,71,49,52
female,none,91,86,84
male,none,69,58,57
male,none,54,59,50
male,completed,53,52,49
male,none,68,60,59
male,completed,56,61,60
female,none,36,53,43
female,none,29,41,47
female,none,62,74,70
female,completed,68,67,73
female,none,47,54,53
male,completed,62,61,58
female,completed,79,88,94
male,completed,73,69,68
female,completed,66,83,83
male,completed,51,60,58
female,none,51,66,62
male,completed,85,66,71
male,completed,97,92,86
male,completed,75,69,68
male,completed,79,82,80
female,none,81,77,79
female,none,82,95,89
female,none,64,63,66
male,completed,78,83,80
female,completed,92,100,97
male,completed,72,67,64
female,none,62,67,64
male,none,79,72,69
male,none,79,76,65
male,completed,87,90,88
female,none,40,48,50
male,none,77,62,64
male,none,53,45,40
female,none,32,39,33
female,completed,55,72,79
male,none,61,67,66
female,none,53,70,70
male,none,73,66,62
female,completed,74,75,79
female,none,63,74,74
male,completed,96,90,92
female,completed,63,80,80
male,none,48,51,46
male,none,48,43,45
female,completed,92,100,100
female,completed,61,71,78
male,none,63,48,47
male,none,68,68,67
male,completed,71,75,70
male,none,91,96,92
female,none,53,62,56
female,completed,50,66,64
female,none,74,81,71
male,completed,40,55,53
male,completed,61,51,52
female,none,81,91,89
female,completed,48,56,58
female,none,53,61,68
female,none,81,97,96
female,none,77,79,80
female,none,63,73,78
female,completed,73,75,80
female,none,69,77,77
female,none,65,76,76
female,none,55,73,73
female,none,44,63,62
female,none,54,64,65
female,none,48,66,65
male,none,58,57,54
male,none,71,62,50
male,none,68,68,64
female,none,74,76,73
female,completed,92,100,99
female,completed,56,79,72
male,none,30,24,15
male,none,53,54,48
female,none,69,77,73
female,none,65,82,81
female,none,54,60,63
female,none,29,29,30
female,none,76,78,80
male,none,60,57,51
male,completed,84,89,90
male,none,75,72,62
female,none,85,84,82
female,none,40,58,54
female,none,61,64,62
female,none,58,63,65
male,completed,69,60,63
female,none,58,59,66
male,completed,94,90,91
female,none,65,77,74
female,none,82,93,93
female,none,60,68,72
female,none,37,45,38
male,none,88,78,83
male,none,95,81,84
male,completed,65,73,68
female,none,35,61,54
male,none,62,63,56
male,completed,58,51,52
male,completed,100,96,86
female,none,61,58,62
male,completed,100,97,99
male,completed,69,70,63
male,none,61,48,46
male,none,49,57,46
female,completed,44,51,55
male,none,67,64,70
male,none,79,60,65
female,completed,66,74,81
female,none,75,88,85
male,none,84,84,80
male,none,71,74,64
female,completed,67,80,81
female,completed,80,92,88
male,none,86,76,74
female,none,76,74,73
male,none,41,52,51
female,completed,74,88,90
female,none,72,81,79
female,completed,74,79,80
male,none,70,65,60
female,completed,65,81,81
female,none,59,70,65
female,none,64,62,68
female,none,50,53,55
female,completed,69,79,81
male,completed,51,56,53
female,completed,68,80,76
female,completed,85,86,98
female,completed,65,70,74
female,none,73,79,79
female,none,62,67,67
male,none,77,67,64
male,none,69,66,61
female,none,43,60,58
male,none,90,87,85
male,none,74,77,73
male,none,73,66,63
female,none,55,71,69
female,none,65,69,67
male,none,80,63,63
female,completed,50,60,60
female,completed,63,73,71
female,none,77,85,87
male,none,73,74,61
male,completed,81,72,77
female,none,66,76,68
male,none,52,57,50
female,none,69,78,76
female,completed,65,84,84
female,completed,69,77,78
female,completed,50,64,66
female,completed,73,78,76
female,completed,70,82,76
male,none,81,75,78
male,none,63,61,60
female,none,67,72,74
male,none,60,68,60
male,none,62,55,54
female,completed,29,40,44
male,completed,62,66,68
female,completed,94,99,100
male,completed,85,75,68
male,none,77,78,73
male,none,53,58,44
male,none,93,90,83
female,none,49,53,53
female,none,73,76,78
female,completed,66,74,81
female,none,77,77,73
female,none,49,63,56
female,none,79,89,86
female,completed,75,82,90
female,none,59,72,70
female,completed,57,78,79
male,none,66,66,59
female,completed,79,81,82
female,none,57,67,72
male,completed,87,84,87
female,none,63,64,67
female,completed,59,63,64
male,none,62,72,65
male,none,46,34,36
male,none,66,59,52
male,none,89,87,79
female,completed,42,61,58
male,completed,93,84,90
female,completed,80,85,85
female,none,98,100,99
male,none,81,81,84
female,completed,60,70,74
female,completed,76,94,87
male,completed,73,78,72
female,completed,96,96,99
female,none,76,76,74
male,completed,91,73,80
female,none,62,72,70
male,completed,55,59,59
female,completed,74,90,88
male,none,50,48,42
male,none,47,43,41
male,completed,81,74,71
female,completed,65,75,77
male,completed,68,51,57
female,none,73,92,84
male,none,53,39,37
female,completed,68,77,80
male,none,55,46,43
female,completed,87,89,94
male,none,55,47,44
female,none,53,58,57
male,none,67,57,59
male,none,92,79,84
female,completed,53,66,73
male,none,81,71,73
male,none,61,60,55
male,none,80,73,72
female,none,37,57,56
female,none,81,84,82
female,completed,59,73,72
male,none,55,55,47
male,none,72,79,74
male,none,69,75,71
male,none,69,64,68
female,none,50,60,59
male,completed,87,84,86
male,completed,71,69,68
male,none,68,72,65
male,completed,79,77,75
female,completed,77,90,85
male,none,58,55,53
female,none,84,95,92
male,none,55,58,52
male,completed,70,68,72
female,completed,52,59,65
male,completed,69,77,77
female,none,53,72,64
female,none,48,58,54
male,completed,78,81,86
female,none,62,62,63
male,none,60,63,59
female,none,74,72,72
female,completed,58,75,77
male,completed,76,62,60
female,none,68,71,75
male,none,58,60,57
male,none,52,48,49
male,none,75,73,74
female,completed,52,67,72
female,none,62,78,79
male,none,66,65,60
female,none,49,58,55
female,none,66,72,70
female,none,35,44,43
female,completed,72,79,82
male,completed,94,85,82
female,none,46,56,57
female,none,77,90,84
female,completed,76,85,82
female,completed,52,59,62
male,completed,91,81,79
female,completed,32,51,44
female,none,72,79,77
female,none,19,38,32
male,none,68,65,61
female,none,52,65,61
female,none,48,62,60
female,none,60,66,70
male,none,66,74,69
male,completed,89,84,77
female,none,42,52,51
female,completed,57,68,73
male,none,70,70,70
female,none,70,84,81
male,none,69,60,54
female,none,52,55,57
male,completed,67,73,68
male,completed,76,80,73
female,none,87,94,95
female,none,82,85,87
female,none,73,76,78
male,none,75,81,74
female,none,64,74,75
female,none,41,45,40
male,none,90,75,69
male,none,59,54,51
male,none,51,31,36
male,none,45,47,49
female,completed,54,64,67
male,completed,87,84,76
female,none,72,80,83
male,completed,94,86,87
female,none,45,59,64
male,completed,61,70,76
female,none,60,72,68
female,none,77,91,88
female,completed,85,90,92
female,none,78,90,93
male,completed,49,52,51
female,none,71,87,82
female,none,48,58,52
male,none,62,67,58
female,completed,56,68,70
female,none,65,69,76
female,completed,69,86,81
male,none,68,54,53
female,none,61,60,57
female,completed,74,86,89
male,none,64,60,58
female,completed,77,82,89
male,none,58,50,45
female,completed,60,64,74
male,none,73,64,57
female,completed,75,82,79
male,completed,58,57,53
female,none,66,77,73
female,none,39,52,46
male,none,64,58,51
female,completed,23,44,36
male,completed,74,77,76
female,completed,40,65,64
male,none,90,85,84
male,completed,91,85,85
male,none,64,54,50
female,none,59,72,68
male,none,80,75,69
male,none,71,67,67
female,none,61,68,63
female,none,87,85,93
male,none,82,67,61
male,none,62,64,55
female,none,97,97,96
male,none,75,68,65
female,none,65,79,81
male,completed,52,49,46
male,none,87,73,72
female,none,53,62,53
female,none,81,86,87
male,completed,39,42,38
female,completed,71,71,80
male,none,97,93,91
male,completed,82,82,88
male,none,59,53,52
male,none,61,42,41
male,completed,78,74,72
male,none,49,51,51
male,none,59,58,47
female,completed,70,72,76
male,completed,82,84,78
male,none,90,90,82
female,none,43,62,61
male,none,80,64,66
male,none,81,82,84
male,none,57,61,54
female,none,59,72,80
female,none,64,76,74
male,completed,63,64,66
female,completed,71,70,70
female,none,64,73,71
male,none,55,46,44
female,none,51,51,54
female,completed,62,76,80
female,completed,93,100,95
male,none,54,72,59
female,none,69,65,74
male,none,44,51,48
female,completed,86,85,91
female,none,85,92,85
female,none,50,67,73
male,completed,88,74,75
female,none,59,62,69
female,none,32,34,38
male,none,36,29,27
female,completed,63,78,79
male,completed,67,54,63
female,completed,65,78,82
male,none,85,84,89
female,none,73,78,74
female,completed,34,48,41
female,completed,93,100,100
female,none,67,84,84
male,none,88,77,77
male,none,57,48,51
female,completed,79,84,91
female,none,67,75,72
male,completed,70,64,70
male,none,50,42,48
female,none,69,84,82
female,completed,52,61,66
female,completed,47,62,66
female,none,46,61,55
female,none,68,70,66
male,completed,100,100,100
female,none,44,61,52
female,completed,57,77,80
male,completed,91,96,91
male,none,69,70,67
female,none,35,53,46
male,none,72,66,66
female,none,54,65,65
male,none,74,70,69
male,completed,74,64,60
male,none,64,56,52
female,completed,65,61,71
male,completed,46,43,44
female,none,48,56,51
male,completed,67,74,70
male,none,62,57,62
male,completed,61,71,73
male,completed,70,75,74
male,completed,98,87,90
male,none,70,63,58
male,none,67,57,53
female,none,57,58,57
male,completed,85,81,85
male,completed,77,68,69
male,completed,72,66,72
female,none,78,91,96
male,none,81,66,64
male,completed,61,62,61
female,none,58,68,61
female,none,54,61,58
male,none,82,82,80
female,none,49,58,60
male,completed,49,50,52
female,completed,57,75,73
male,none,94,73,71
female,completed,75,77,83
female,none,74,74,72
male,completed,58,52,54
female,none,62,69,69
male,none,72,57,62
male,none,84,87,81
female,none,92,100,100
female,none,45,63,59
male,none,75,81,71
female,none,56,58,64
female,none,48,54,53
female,none,100,100,100
female,completed,65,76,75
male,none,72,57,58
female,none,62,70,72
male,completed,66,68,64
male,none,63,63,60
female,none,68,76,67
female,none,75,84,80
female,none,89,100,100
male,completed,78,72,69
female,completed,53,50,60
female,none,49,65,61
female,none,54,63,67
female,completed,64,82,77
male,completed,60,62,60
male,none,62,65,58
male,completed,55,41,48
female,none,91,95,94
female,none,8,24,23
male,none,81,78,78
male,completed,79,85,86
female,completed,78,87,91
female,none,74,75,82
male,none,57,51,54
female,none,40,59,51
male,completed,81,75,76
female,none,44,45,45
female,completed,67,86,83
male,completed,86,81,75
female,completed,65,82,78
female,none,55,76,76
female,none,62,72,74
male,none,63,63,62
female,completed,88,99,95
male,none,62,55,55
female,completed,59,71,65
female,completed,68,78,77
female,none,77,86,86
