"","main_category","state","status"
"293","Fashion","failed",0
"294","Food","failed",0
"295","Music","failed",0
"296","Crafts","successful",1
"297","Film & Video","successful",1
"299","Fashion","failed",0
"300","Film & Video","successful",1
"301","Film & Video","failed",0
"302","Art","successful",1
"304","Publishing","failed",0
"305","Journalism","successful",1
"306","Games","successful",1
"307","Food","failed",0
"309","Fashion","failed",0
"310","Film & Video","failed",0
"312","Design","successful",1
"313","Theater","successful",1
"314","Photography","failed",0
"315","Design","failed",0
"316","Art","successful",1
"317","Food","successful",1
"318","Film & Video","failed",0
"319","Games","successful",1
"320","Games","successful",1
"321","Fashion","successful",1
"322","Publishing","failed",0
"323","Music","failed",0
"324","Food","failed",0
"325","Photography","failed",0
"326","Food","successful",1
"328","Art","failed",0
"330","Film & Video","successful",1
"331","Technology","successful",1
"332","Art","successful",1
"333","Publishing","failed",0
"334","Art","failed",0
"335","Fashion","failed",0
"336","Music","failed",0
"337","Photography","successful",1
"338","Film & Video","successful",1
"339","Fashion","failed",0
"340","Design","failed",0
"341","Publishing","failed",0
"342","Food","successful",1
"344","Film & Video","failed",0
"345","Comics","failed",0
"346","Technology","failed",0
"347","Fashion","failed",0
"348","Design","successful",1
"349","Film & Video","successful",1
"350","Technology","failed",0
"351","Dance","failed",0
"352","Music","successful",1
"353","Food","failed",0
"354","Music","successful",1
"355","Film & Video","successful",1
"357","Music","failed",0
"358","Music","failed",0
"359","Music","failed",0
"360","Film & Video","failed",0
"361","Design","successful",1
"362","Music","failed",0
"363","Art","failed",0
"364","Fashion","successful",1
"365","Technology","failed",0
"366","Technology","successful",1
"367","Design","failed",0
"368","Technology","failed",0
"369","Film & Video","failed",0
"370","Photography","successful",1
"371","Comics","failed",0
"372","Film & Video","successful",1
"373","Games","failed",0
"374","Music","failed",0
"376","Games","successful",1
"377","Technology","failed",0
"378","Film & Video","successful",1
"379","Food","successful",1
"380","Publishing","failed",0
"381","Film & Video","successful",1
"382","Art","successful",1
"383","Publishing","failed",0
"384","Art","successful",1
"385","Film & Video","failed",0
"386","Film & Video","failed",0
"388","Games","successful",1
"389","Music","successful",1
"390","Film & Video","successful",1
"391","Publishing","failed",0
"392","Music","successful",1
"393","Film & Video","failed",0
"394","Film & Video","successful",1
"395","Film & Video","failed",0
"396","Music","failed",0
"397","Comics","failed",0
"399","Journalism","failed",0
"401","Dance","successful",1
"402","Photography","successful",1
"403","Film & Video","successful",1
"404","Food","failed",0
"406","Film & Video","successful",1
"407","Music","successful",1
"408","Technology","failed",0
"409","Comics","failed",0
"410","Design","failed",0
"411","Design","successful",1
"412","Publishing","failed",0
"413","Art","failed",0
"414","Fashion","failed",0
"415","Fashion","failed",0
"416","Film & Video","failed",0
"417","Fashion","successful",1
"418","Art","failed",0
"419","Comics","successful",1
"420","Publishing","failed",0
"421","Film & Video","failed",0
"422","Film & Video","failed",0
"423","Film & Video","successful",1
"424","Film & Video","failed",0
"425","Food","successful",1
"426","Publishing","failed",0
"427","Design","failed",0
"428","Publishing","failed",0
"429","Film & Video","successful",1
"430","Technology","successful",1
"432","Design","successful",1
"434","Photography","failed",0
"435","Art","failed",0
"436","Art","successful",1
"437","Design","failed",0
"438","Design","failed",0
"439","Publishing","failed",0
"440","Art","failed",0
"441","Comics","successful",1
"442","Food","successful",1
"443","Fashion","failed",0
"444","Art","successful",1
"445","Music","failed",0
"446","Theater","failed",0
"447","Art","failed",0
"448","Journalism","successful",1
"449","Music","successful",1
"450","Film & Video","failed",0
"451","Music","successful",1
"452","Music","failed",0
"453","Publishing","successful",1
"454","Publishing","failed",0
"455","Games","failed",0
"456","Technology","failed",0
"457","Publishing","failed",0
"458","Design","successful",1
"461","Technology","failed",0
"462","Art","failed",0
"463","Film & Video","failed",0
"464","Games","failed",0
"465","Art","failed",0
"466","Art","successful",1
"467","Technology","failed",0
"468","Film & Video","failed",0
"469","Art","failed",0
"471","Dance","successful",1
"472","Crafts","successful",1
"474","Film & Video","successful",1
"475","Music","failed",0
"476","Games","successful",1
"477","Publishing","successful",1
"478","Music","successful",1
"479","Design","failed",0
"480","Publishing","failed",0
"482","Comics","successful",1
"483","Art","successful",1
"484","Art","failed",0
"485","Film & Video","successful",1
"486","Film & Video","failed",0
"487","Fashion","failed",0
"488","Games","failed",0
"489","Art","successful",1
"490","Film & Video","successful",1
"491","Games","failed",0
"492","Food","failed",0
"493","Film & Video","successful",1
"496","Games","successful",1
"497","Film & Video","failed",0
"498","Film & Video","failed",0
"500","Publishing","successful",1
"501","Food","failed",0
"502","Crafts","failed",0
"503","Music","successful",1
"504","Food","failed",0
"505","Theater","failed",0
"506","Music","successful",1
"507","Film & Video","failed",0
"508","Food","successful",1
"510","Film & Video","successful",1
"511","Technology","successful",1
"512","Film & Video","failed",0
"513","Games","successful",1
"514","Crafts","successful",1
"515","Technology","failed",0
"516","Film & Video","successful",1
"517","Technology","successful",1
"518","Music","successful",1
"520","Games","failed",0
"521","Film & Video","successful",1
"522","Art","failed",0
"523","Technology","failed",0
"524","Publishing","failed",0
"525","Music","successful",1
"526","Technology","failed",0
"527","Crafts","failed",0
"528","Film & Video","failed",0
"529","Design","failed",0
"530","Music","failed",0
"531","Film & Video","failed",0
"533","Music","successful",1
"534","Comics","successful",1
"535","Design","failed",0
"536","Theater","successful",1
"537","Games","failed",0
"540","Technology","successful",1
"541","Art","successful",1
"542","Music","successful",1
"543","Design","failed",0
"544","Art","failed",0
"546","Design","successful",1
"547","Design","successful",1
