city,direction,dist,depth
kutahya,south_west,0.6,4.9
van,south_west,0.6,5
van,south_west,0.6,5
van,south_west,0.6,5
adiyaman,south_west,0.6,12.9
balikesir,south_east,0.6,80
sivas,south_east,0.6,50
kars,south_east,0.6,15
cankiri,south_east,0.6,40
hakkari,south_east,0.6,50
kutahya,south_east,0.6,33
usak,south_east,0.6,5
balikesir,south_east,0.6,3
balikesir,south_east,0.6,4
kutahya,south_east,0.6,10
