gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,associate's degree,standard,none,63,67,70
female,group C,bachelor's degree,free/reduced,completed,43,51,54
female,group C,master's degree,standard,completed,81,91,87
female,group B,high school,free/reduced,completed,46,54,58
female,group C,associate's degree,standard,completed,71,77,77
female,group B,master's degree,free/reduced,completed,52,70,62
female,group D,some high school,standard,completed,97,100,100
male,group C,master's degree,free/reduced,completed,62,68,75
female,group C,some college,free/reduced,none,46,64,66
female,group E,high school,standard,none,50,50,47
female,group D,associate's degree,standard,none,65,69,70
male,group C,some high school,free/reduced,completed,45,52,49
male,group C,associate's degree,free/reduced,completed,65,67,65
male,group E,high school,standard,none,80,76,65
male,group D,some high school,standard,completed,62,66,68
male,group B,some high school,free/reduced,none,48,52,45
female,group C,bachelor's degree,standard,none,77,88,87
female,group E,associate's degree,standard,none,66,65,69
male,group D,some college,standard,completed,76,83,79
female,group B,some high school,standard,none,62,64,66
male,group D,some college,standard,completed,77,62,62
female,group C,master's degree,standard,completed,69,84,85
male,group D,associate's degree,standard,none,61,55,52
male,group C,some high school,free/reduced,completed,59,69,65
male,group E,high school,free/reduced,none,55,56,51
female,group B,some college,free/reduced,none,45,53,55
female,group B,bachelor's degree,free/reduced,none,78,79,76
female,group C,associate's degree,standard,completed,67,84,86
female,group D,some college,free/reduced,none,65,81,77
male,group C,associate's degree,standard,none,69,77,69
female,group B,associate's degree,standard,none,57,69,68
male,group C,some college,standard,none,59,41,42
male,group D,some high school,standard,completed,74,71,78
male,group E,bachelor's degree,standard,none,82,62,62
male,group E,high school,standard,completed,81,80,76
female,group B,some college,free/reduced,none,74,81,76
female,group B,some college,free/reduced,none,58,61,66
male,group D,some high school,free/reduced,completed,80,79,79
male,group C,some college,free/reduced,none,35,28,27
female,group C,high school,free/reduced,none,42,62,60
male,group C,associate's degree,free/reduced,completed,60,51,56
male,group E,high school,standard,completed,87,91,81
male,group B,some high school,standard,completed,84,83,75
female,group E,associate's degree,free/reduced,completed,83,86,88
female,group C,high school,free/reduced,none,34,42,39
male,group B,high school,free/reduced,none,66,77,70
male,group B,some high school,standard,completed,61,56,56
female,group D,high school,standard,completed,56,68,74
male,group B,associate's degree,standard,none,87,85,73
female,group C,some high school,free/reduced,none,55,65,62
male,group D,some high school,standard,none,86,80,75
female,group B,associate's degree,standard,completed,52,66,73
female,group E,master's degree,free/reduced,none,45,56,54
female,group C,some college,standard,none,72,72,71
male,group D,high school,standard,none,57,50,54
male,group A,some high school,free/reduced,none,68,72,64
female,group C,some college,standard,completed,88,95,94
male,group D,some college,standard,none,76,64,66
male,group C,associate's degree,standard,none,46,43,42
female,group B,bachelor's degree,standard,none,67,86,83
male,group E,some high school,standard,none,92,87,78
male,group C,bachelor's degree,standard,completed,83,82,84
male,group D,associate's degree,standard,none,80,75,77
male,group D,bachelor's degree,free/reduced,none,63,66,67
female,group D,some high school,standard,completed,64,60,74
male,group B,some college,standard,none,54,52,51
male,group C,associate's degree,standard,none,84,80,80
male,group D,high school,free/reduced,completed,73,68,66
female,group E,bachelor's degree,standard,none,80,83,83
female,group D,high school,standard,none,56,52,55
male,group E,some college,standard,none,59,51,43
male,group D,some high school,standard,none,75,74,69
male,group C,associate's degree,standard,none,85,76,71
male,group E,associate's degree,standard,none,89,76,74
female,group B,high school,standard,completed,58,70,68
female,group B,high school,standard,none,65,64,62
male,group C,high school,standard,none,68,60,53
male,group A,some high school,standard,completed,47,49,49
female,group D,some college,free/reduced,none,71,83,83
female,group B,some high school,standard,completed,60,70,70
male,group D,master's degree,standard,none,80,80,72
male,group D,high school,standard,none,54,52,52
female,group E,some college,standard,none,62,73,70
female,group C,associate's degree,free/reduced,none,64,73,68
male,group C,associate's degree,standard,completed,78,77,77
female,group B,some college,standard,none,70,75,78
female,group C,master's degree,free/reduced,completed,65,81,81
female,group C,some high school,free/reduced,completed,64,79,77
male,group C,some college,standard,completed,79,79,78
female,group C,some high school,free/reduced,none,44,50,51
female,group E,high school,standard,none,99,93,90
male,group D,high school,standard,none,76,73,68
male,group D,some high school,free/reduced,none,59,42,41
female,group C,bachelor's degree,standard,none,63,75,81
female,group D,high school,standard,none,69,72,77
female,group D,associate's degree,standard,completed,88,92,95
female,group E,some college,free/reduced,none,71,76,70
male,group C,bachelor's degree,standard,none,69,63,61
male,group C,some college,standard,none,58,49,42
female,group D,associate's degree,free/reduced,none,47,53,58
female,group D,some college,standard,none,65,70,71
male,group B,some college,standard,completed,88,85,76
male,group C,bachelor's degree,standard,none,83,78,73
female,group C,some high school,standard,completed,85,92,93
female,group E,high school,standard,completed,59,63,75
female,group C,some high school,free/reduced,none,65,86,80
male,group B,bachelor's degree,free/reduced,none,73,56,57
male,group D,high school,standard,none,53,52,42
male,group D,high school,standard,none,45,48,46
female,group D,bachelor's degree,free/reduced,none,73,79,84
female,group D,some college,free/reduced,completed,70,78,78
female,group B,some high school,standard,none,37,46,46
male,group B,associate's degree,standard,completed,81,82,82
male,group E,associate's degree,standard,completed,97,82,88
female,group B,some high school,standard,none,67,89,82
male,group B,bachelor's degree,free/reduced,none,88,75,76
male,group E,some high school,standard,completed,77,76,77
male,group C,associate's degree,standard,none,76,70,68
male,group D,some high school,standard,none,86,73,70
male,group C,some high school,standard,completed,63,60,57
female,group E,bachelor's degree,standard,none,65,73,75
male,group D,high school,free/reduced,completed,78,77,80
male,group B,associate's degree,free/reduced,none,67,62,60
male,group A,some high school,standard,completed,46,41,43
male,group E,associate's degree,standard,completed,71,74,68
male,group C,high school,free/reduced,completed,40,46,50
male,group D,associate's degree,free/reduced,none,90,87,75
male,group A,some college,free/reduced,completed,81,78,81
male,group D,some high school,free/reduced,none,56,54,52
female,group C,associate's degree,standard,completed,67,84,81
male,group B,associate's degree,standard,none,80,76,64
female,group C,associate's degree,standard,completed,74,75,83
male,group A,some college,standard,none,69,67,69
male,group E,some college,standard,completed,99,87,81
male,group C,some high school,standard,none,51,52,44
female,group B,associate's degree,free/reduced,none,53,71,67
female,group D,high school,free/reduced,none,49,57,52
female,group B,associate's degree,standard,none,73,76,80
male,group B,bachelor's degree,standard,none,66,60,57
male,group D,bachelor's degree,standard,completed,67,61,68
female,group C,associate's degree,free/reduced,completed,68,67,69
female,group C,bachelor's degree,standard,completed,59,64,75
male,group C,high school,standard,none,71,66,65
female,group D,master's degree,standard,completed,77,82,91
male,group C,associate's degree,standard,none,83,72,78
male,group B,bachelor's degree,standard,none,63,71,69
female,group D,associate's degree,free/reduced,none,56,65,63
female,group C,high school,free/reduced,completed,67,79,84
female,group E,high school,standard,none,75,86,79
female,group C,some college,standard,none,71,81,80
female,group C,some high school,free/reduced,none,43,53,53
female,group C,high school,free/reduced,none,41,46,43
female,group C,some college,standard,none,82,90,94
male,group C,some college,standard,none,61,61,62
male,group A,some college,free/reduced,none,28,23,19
male,group C,associate's degree,standard,completed,82,75,77
female,group B,some high school,standard,none,41,55,51
male,group C,high school,standard,none,71,60,61
male,group C,associate's degree,standard,none,47,37,35
male,group E,associate's degree,standard,completed,62,56,53
male,group B,associate's degree,standard,none,90,78,81
female,group C,bachelor's degree,standard,none,83,93,95
female,group B,some college,free/reduced,none,61,68,66
male,group D,some high school,standard,completed,76,70,69
male,group C,associate's degree,standard,none,49,51,43
female,group B,some high school,free/reduced,none,24,38,27
female,group D,some high school,free/reduced,completed,35,55,60
male,group C,high school,free/reduced,none,58,61,52
female,group C,high school,standard,none,61,73,63
female,group B,high school,standard,completed,69,76,74
male,group D,associate's degree,standard,completed,67,72,67
male,group D,some college,standard,none,79,73,67
female,group C,high school,standard,none,72,80,75
male,group B,some college,standard,none,62,61,57
female,group C,bachelor's degree,standard,completed,77,94,95
male,group D,high school,free/reduced,none,75,74,66
male,group E,associate's degree,standard,none,87,74,76
female,group B,bachelor's degree,standard,none,52,65,69
male,group E,some college,standard,none,66,57,52
female,group C,some college,standard,completed,63,78,80
female,group C,associate's degree,standard,none,46,58,57
female,group C,some college,standard,none,59,71,70
female,group B,bachelor's degree,standard,none,61,72,70
male,group A,associate's degree,standard,none,63,61,61
female,group C,some college,free/reduced,completed,42,66,69
male,group D,some college,free/reduced,none,59,62,61
female,group D,some college,standard,none,80,90,89
female,group B,high school,standard,none,58,62,59
male,group B,some high school,standard,completed,85,84,78
female,group C,some college,standard,none,52,58,58
female,group D,some high school,free/reduced,none,27,34,32
male,group C,some college,standard,none,59,60,58
male,group A,bachelor's degree,free/reduced,completed,49,58,60
male,group C,high school,standard,completed,69,58,53
male,group C,bachelor's degree,free/reduced,none,61,66,61
female,group A,some high school,free/reduced,none,44,64,58
female,group D,some high school,standard,none,73,84,85
male,group E,some college,standard,none,84,77,71
female,group C,some college,free/reduced,completed,45,73,70
male,group D,some high school,standard,none,74,74,72
female,group D,some college,standard,completed,82,97,96
female,group D,bachelor's degree,standard,none,59,70,73
male,group E,associate's degree,free/reduced,none,46,43,41
female,group D,some high school,standard,none,80,90,82
female,group D,master's degree,free/reduced,completed,85,95,100
female,group A,some high school,standard,none,71,83,77
male,group A,bachelor's degree,standard,none,66,64,62
female,group B,associate's degree,standard,none,80,86,83
male,group C,associate's degree,standard,completed,87,100,95
male,group C,master's degree,free/reduced,none,79,81,71
female,group E,some high school,free/reduced,none,38,49,45
female,group A,some high school,free/reduced,none,38,43,43
female,group E,some college,standard,none,67,76,75
female,group E,bachelor's degree,standard,none,64,73,70
female,group C,associate's degree,free/reduced,none,57,78,67
female,group D,high school,standard,none,62,64,64
male,group D,master's degree,standard,none,73,70,75
male,group E,some high school,free/reduced,completed,73,67,59
female,group D,some college,standard,none,77,68,77
male,group E,some college,standard,none,76,67,67
male,group C,associate's degree,standard,completed,57,54,56
female,group C,some high school,standard,completed,65,74,77
male,group A,high school,free/reduced,none,48,45,41
female,group B,high school,free/reduced,none,50,67,63
female,group C,associate's degree,standard,none,85,89,95
male,group B,some high school,standard,none,74,63,57
male,group D,some high school,standard,none,60,59,54
female,group C,some high school,standard,completed,59,54,67
male,group A,some college,standard,none,53,43,43
female,group A,some college,free/reduced,none,49,65,55
female,group D,high school,standard,completed,88,99,100
female,group C,high school,standard,none,54,59,62
female,group C,some high school,standard,none,63,73,68
male,group B,associate's degree,standard,completed,65,65,63
female,group B,associate's degree,standard,none,82,80,77
female,group D,high school,free/reduced,completed,52,57,56
male,group D,associate's degree,standard,completed,87,84,85
female,group D,master's degree,standard,completed,70,71,74
male,group E,some college,standard,completed,84,83,78
male,group D,associate's degree,standard,none,71,66,60
male,group B,some high school,standard,completed,63,67,67
female,group C,bachelor's degree,free/reduced,completed,51,72,79
male,group E,high school,standard,none,84,73,69
male,group C,bachelor's degree,standard,completed,71,74,68
male,group C,associate's degree,standard,none,74,73,67
male,group D,some college,standard,none,68,59,62
male,group E,high school,free/reduced,completed,57,56,54
female,group C,associate's degree,free/reduced,completed,82,93,93
female,group D,high school,standard,completed,57,58,64
female,group D,master's degree,free/reduced,completed,47,58,67
female,group A,some high school,standard,completed,59,85,80
male,group B,some college,free/reduced,none,41,39,34
female,group C,some college,free/reduced,none,62,67,62
male,group C,bachelor's degree,standard,none,86,83,86
male,group C,some high school,free/reduced,none,69,71,65
male,group A,some high school,free/reduced,none,65,59,53
male,group C,some high school,free/reduced,none,68,63,54
male,group C,associate's degree,free/reduced,none,64,66,59
female,group C,high school,standard,none,61,72,70
male,group C,high school,standard,none,61,56,55
female,group A,some high school,free/reduced,none,47,59,50
male,group C,some high school,standard,none,73,66,66
male,group C,some college,free/reduced,completed,50,48,53
male,group D,associate's degree,standard,none,75,68,64
male,group D,associate's degree,free/reduced,none,75,66,73
male,group C,high school,standard,none,70,56,51
male,group D,some high school,standard,completed,89,88,82
female,group C,some college,standard,completed,67,81,79
female,group D,high school,standard,none,78,81,80
female,group A,some high school,free/reduced,none,59,73,69
female,group B,associate's degree,standard,none,73,83,76
male,group A,some high school,free/reduced,none,79,82,73
female,group C,some high school,standard,completed,67,74,77
male,group D,some college,free/reduced,none,69,66,60
male,group C,high school,standard,completed,86,81,80
male,group B,high school,standard,none,47,46,42
male,group B,associate's degree,standard,none,81,73,72
female,group C,some college,free/reduced,completed,64,85,85
female,group E,some college,standard,none,100,92,97
female,group C,associate's degree,free/reduced,none,65,77,74
male,group C,some college,free/reduced,none,65,58,49
female,group C,associate's degree,free/reduced,none,53,61,62
male,group C,bachelor's degree,free/reduced,none,37,56,47
female,group D,bachelor's degree,standard,none,79,89,89
male,group D,associate's degree,free/reduced,none,53,54,48
female,group E,bachelor's degree,standard,none,100,100,100
male,group B,high school,standard,completed,72,65,68
male,group C,bachelor's degree,free/reduced,none,53,58,55
male,group B,some college,free/reduced,none,54,54,45
female,group E,some college,standard,none,71,70,76
female,group C,some college,free/reduced,none,77,90,91
male,group A,bachelor's degree,standard,completed,75,58,62
female,group C,some college,standard,none,84,87,91
female,group D,associate's degree,free/reduced,none,26,31,38
male,group A,high school,free/reduced,completed,72,67,65
female,group A,high school,free/reduced,completed,77,88,85
male,group C,some college,standard,none,91,74,76
female,group C,associate's degree,standard,completed,83,85,90
female,group C,high school,standard,none,63,69,74
female,group C,associate's degree,standard,completed,68,86,84
female,group D,some high school,standard,none,59,67,61
female,group B,associate's degree,standard,completed,90,90,91
female,group D,bachelor's degree,standard,completed,71,76,83
male,group E,bachelor's degree,standard,completed,76,62,66
male,group D,associate's degree,standard,none,80,68,72
female,group D,master's degree,standard,none,55,64,70
male,group E,associate's degree,standard,none,76,71,67
male,group B,high school,standard,completed,73,71,68
female,group D,associate's degree,free/reduced,none,52,59,56
male,group C,some college,free/reduced,none,68,68,61
male,group A,high school,standard,none,59,52,46
female,group B,associate's degree,standard,none,49,52,54
male,group C,high school,standard,none,70,74,71
male,group D,some college,free/reduced,none,61,47,56
female,group C,associate's degree,free/reduced,none,60,75,74
male,group B,some high school,standard,completed,64,53,57
male,group A,associate's degree,free/reduced,completed,79,82,82
female,group A,associate's degree,free/reduced,none,65,85,76
female,group C,associate's degree,standard,none,64,64,70
female,group C,some college,standard,none,83,83,90
female,group C,bachelor's degree,standard,none,81,88,90
female,group B,high school,standard,none,54,64,68
male,group D,high school,standard,completed,68,64,66
female,group C,some college,standard,none,54,48,52
female,group D,some college,free/reduced,completed,59,78,76
female,group B,some high school,standard,none,66,69,68
