Year,Race,Sex,AverageLifeExpectancy ,AgeAdjustedDeathRate
1964,All Races,Both Sexes,70.2,1303.8
1963,All Races,Both Sexes,69.9,1346.3
1962,All Races,Both Sexes,70.1,1323.6
1961,All Races,Both Sexes,70.2,1298.8
1960,All Races,Both Sexes,69.7,1339.2
1959,All Races,Both Sexes,69.9,1317.3
1958,All Races,Both Sexes,69.6,1343.4
1957,All Races,Both Sexes,69.5,1356.7
1956,All Races,Both Sexes,69.7,1333.7
1955,All Races,Both Sexes,69.6,1332.3
1954,All Races,Both Sexes,69.6,1314.8
1953,All Races,Both Sexes,68.8,1385.6
1952,All Races,Both Sexes,68.6,1394.6
1951,All Races,Both Sexes,68.4,1423.5
1950,All Races,Both Sexes,68.2,1446
1949,All Races,Both Sexes,68,1457.3
1948,All Races,Both Sexes,67.2,1501.7
1947,All Races,Both Sexes,66.8,1532
1946,All Races,Both Sexes,66.7,1529.7
1945,All Races,Both Sexes,65.9,1575.4
1944,All Races,Both Sexes,65.2,1618.5
1943,All Races,Both Sexes,63.3,1702.4
1942,All Races,Both Sexes,66.2,1635.8
1941,All Races,Both Sexes,64.8,1694.6
1940,All Races,Both Sexes,62.9,1785
1939,All Races,Both Sexes,63.7,1766.9
1938,All Races,Both Sexes,63.5,1764.3
1937,All Races,Both Sexes,60,1882.6
1936,All Races,Both Sexes,58.5,1963.7
1935,All Races,Both Sexes,61.7,1860.1
1934,All Races,Both Sexes,61.1,1888.2
1933,All Races,Both Sexes,63.3,1850.1
1932,All Races,Both Sexes,62.1,1897.1
1931,All Races,Both Sexes,61.1,1895.1
1930,All Races,Both Sexes,59.7,1943.8
1929,All Races,Both Sexes,57.1,2081.2
1928,All Races,Both Sexes,56.8,2124.6
1927,All Races,Both Sexes,60.4,1989.5
1926,All Races,Both Sexes,56.7,2146.2
1925,All Races,Both Sexes,59,2068.7
1924,All Races,Both Sexes,59.7,2038
1923,All Races,Both Sexes,57.2,2141.4
1922,All Races,Both Sexes,59.6,2049.5
1921,All Races,Both Sexes,60.8,1958.2
1920,All Races,Both Sexes,54.1,2147.1
1919,All Races,Both Sexes,54.7,2057.2
1918,All Races,Both Sexes,39.1,2541.6
1917,All Races,Both Sexes,50.9,2275.9
1916,All Races,Both Sexes,51.7,2266.6
1915,All Races,Both Sexes,54.5,2174.8
1914,All Races,Both Sexes,54.2,2149.3
1913,All Races,Both Sexes,52.5,2206.5
1912,All Races,Both Sexes,53.5,2211.7
1911,All Races,Both Sexes,52.6,2245.4
1910,All Races,Both Sexes,50,2317.2
1909,All Races,Both Sexes,52.1,2249.2
1908,All Races,Both Sexes,51.1,2298.9
1907,All Races,Both Sexes,47.6,2494.4
1906,All Races,Both Sexes,48.7,2399
1905,All Races,Both Sexes,48.7,2423.7
1904,All Races,Both Sexes,47.6,2502.5
1903,All Races,Both Sexes,50.5,2379
1902,All Races,Both Sexes,51.5,2301.3
1901,All Races,Both Sexes,49.1,2473.1
1900,All Races,Both Sexes,47.3,2518
2014,All Races,Female,81.3,616.7
2013,All Races,Female,81.2,623.5
2012,All Races,Female,81.2,624.7
2011,All Races,Female,81.1,632.4
2010,All Races,Female,81,634.9
2009,All Races,Female,80.9,636.8
2008,All Races,Female,80.6,660
2007,All Races,Female,80.6,658.1
2006,All Races,Female,80.3,672.2
2005,All Races,Female,80.1,692.3
2004,All Races,Female,80.1,690.5
2003,All Races,Female,79.7,715.2
2002,All Races,Female,79.6,723.6
2001,All Races,Female,79.5,725.6
2000,All Races,Female,79.7,731.4
1999,All Races,Female,79.4,734
1998,All Races,Female,79.5,724.2
1997,All Races,Female,79.4,725.3
1996,All Races,Female,79.1,732.7
1995,All Races,Female,78.9,739.2
1994,All Races,Female,79,738.3
1993,All Races,Female,78.8,745.6
1992,All Races,Female,79.1,725.3
1991,All Races,Female,78.9,737.9
1990,All Races,Female,78.8,750.3
1989,All Races,Female,78.5,761.3
1988,All Races,Female,78.3,780.5
1987,All Races,Female,78.3,773.8
1986,All Races,Female,78.2,778.5
1985,All Races,Female,78.2,784.2
1984,All Races,Female,78.2,779.4
1983,All Races,Female,78.1,783.3
1982,All Races,Female,78.1,776.4
1981,All Races,Female,77.8,792.7
1980,All Races,Female,77.4,817.7
1979,All Races,Female,77.8,789.9
1978,All Races,Female,77.3,816.4
1977,All Races,Female,77.2,820.7
1976,All Races,Female,76.8,849.4
1975,All Races,Female,76.6,855.1
1974,All Races,Female,75.9,907.5
1973,All Races,Female,75.3,947.8
1972,All Races,Female,75.1,958.7
1971,All Races,Female,75,960.6
1970,All Races,Female,74.7,971.4
1969,All Races,Female,74.4,1013.4
1968,All Races,Female,74.1,1043.5
1967,All Races,Female,74.3,1020.5
1966,All Races,Female,73.9,1055.3
1965,All Races,Female,73.8,1056.1
1964,All Races,Female,73.7,1061.5
1963,All Races,Female,73.4,1098.5
1962,All Races,Female,73.5,1087.1
1961,All Races,Female,73.6,1068.5
1960,All Races,Female,73.1,1105.3
1959,All Races,Female,73.2,1093.5
1958,All Races,Female,72.9,1120.9
1957,All Races,Female,72.7,1134.5
1956,All Races,Female,72.9,1117.5
1955,All Races,Female,72.8,1121.9
1954,All Races,Female,72.8,1109.7
1953,All Races,Female,72,1172.6
1952,All Races,Female,71.6,1186.7
1951,All Races,Female,71.4,1213.4
1950,All Races,Female,71.1,1236
1949,All Races,Female,70.7,1252.6
1948,All Races,Female,69.9,1296.4
1947,All Races,Female,69.7,1332.5
1946,All Races,Female,69.4,1342.8
1945,All Races,Female,67.9,1376.8
1944,All Races,Female,66.8,1428.4
1943,All Races,Female,64.4,1507.8
1942,All Races,Female,67.9,1444.7
1941,All Races,Female,66.8,1502.4
1940,All Races,Female,65.2,1599.4
1939,All Races,Female,65.4,1599.8
1938,All Races,Female,65.3,1599.1
1937,All Races,Female,62.4,1695.1
1936,All Races,Female,60.6,1780.6
1935,All Races,Female,63.9,1690.6
1934,All Races,Female,63.3,1720.7
1933,All Races,Female,65.1,1699.1
1932,All Races,Female,63.5,1758.4
1931,All Races,Female,63.1,1743.6
1930,All Races,Female,61.6,1798.3
1929,All Races,Female,58.7,1940.9
1928,All Races,Female,58.3,1990.5
1927,All Races,Female,62.1,1863.8
1926,All Races,Female,58,2028
1925,All Races,Female,60.6,1957.1
1924,All Races,Female,61.5,1927.2
1923,All Races,Female,58.5,2050.5
1922,All Races,Female,61,1965.1
1921,All Races,Female,61.8,1890.4
1920,All Races,Female,54.6,2081.3
1919,All Races,Female,56,1973.1
1918,All Races,Female,42.2,2342.8
1917,All Races,Female,54,2119.9
1916,All Races,Female,54.3,2123.3
1915,All Races,Female,56.8,2044.3
1914,All Races,Female,56.8,2009
1913,All Races,Female,55,2058.1
1912,All Races,Female,55.9,2067.2
1911,All Races,Female,54.4,2112.1
1910,All Races,Female,51.8,2171.3
1909,All Races,Female,53.8,2111.5
1908,All Races,Female,52.8,2162.3
1907,All Races,Female,49.9,2327.3
1906,All Races,Female,50.8,2244.6
1905,All Races,Female,50.2,2287.7
1904,All Races,Female,49.1,2358.8
1903,All Races,Female,52,2250.6
1902,All Races,Female,53.4,2162.8
1901,All Races,Female,50.6,2350.5
1900,All Races,Female,48.3,2410.4
2014,All Races,Male,76.5,855.1
2013,All Races,Male,76.4,863.6
2012,All Races,Male,76.4,865.1
2011,All Races,Male,76.3,875.3
2010,All Races,Male,76.2,887.1
2009,All Races,Male,76,890.9
2008,All Races,Male,75.6,918.8
2007,All Races,Male,75.5,922.9
2006,All Races,Male,75.2,943.4
2005,All Races,Male,75,971.9
2004,All Races,Male,75,973.3
2003,All Races,Male,74.5,1010.3
2002,All Races,Male,74.4,1030.6
2001,All Races,Male,74.3,1035.3
2000,All Races,Male,74.3,1053.8
1999,All Races,Male,73.9,1067
1998,All Races,Male,73.8,1068.9
1997,All Races,Male,73.6,1087.7
1996,All Races,Male,73.1,1115.2
1995,All Races,Male,72.5,1143.6
1994,All Races,Male,72.4,1155.1
1993,All Races,Male,72.2,1177
1992,All Races,Male,72.3,1158
1991,All Races,Male,72,1180.2
1990,All Races,Male,71.8,1202
1989,All Races,Male,71.7,1214.2
1988,All Races,Male,71.4,1250
1987,All Races,Male,71.4,1245.7
1986,All Races,Male,71.2,1261.5
1985,All Races,Male,71.1,1277.6
1984,All Races,Male,71.1,1271
1983,All Races,Male,71,1284.4
1982,All Races,Male,70.8,1279.9
1981,All Races,Male,70.4,1308.2
1980,All Races,Male,70,1347.6
1979,All Races,Male,70,1316.2
1978,All Races,Male,69.6,1358.1
1977,All Races,Male,69.5,1369.3
1976,All Races,Male,69.1,1404.3
1975,All Races,Male,68.8,1417.4
1974,All Races,Male,68.2,1478.5
1973,All Races,Male,67.6,1537.5
1972,All Races,Male,67.4,1551.1
1971,All Races,Male,67.4,1542.5
1970,All Races,Male,67.1,1542.1
1969,All Races,Male,66.8,1601.4
1968,All Races,Male,66.6,1635.2
1967,All Races,Male,67,1591.8
1966,All Races,Male,66.7,1624.2
1965,All Races,Male,66.8,1614.3
1964,All Races,Male,66.8,1597
1963,All Races,Male,66.6,1644
1962,All Races,Male,66.9,1604.4
1961,All Races,Male,67.1,1567.6
1960,All Races,Male,66.6,1609
1959,All Races,Male,66.8,1573.4
1958,All Races,Male,66.6,1596.3
1957,All Races,Male,66.4,1606.7
1956,All Races,Male,66.7,1575.5
1955,All Races,Male,66.7,1565.2
1954,All Races,Male,66.7,1540.7
1953,All Races,Male,66,1619
1952,All Races,Male,65.8,1620.8
1951,All Races,Male,65.6,1651.7
1950,All Races,Male,65.6,1674.2
1949,All Races,Male,65.2,1676.7
1948,All Races,Male,64.6,1720.5
1947,All Races,Male,64.4,1743
1946,All Races,Male,64.4,1727.6
1945,All Races,Male,63.6,1791.6
1944,All Races,Male,63.6,1821.6
1943,All Races,Male,62.4,1907.7
1942,All Races,Male,64.7,1835.1
1941,All Races,Male,63.1,1894.3
1940,All Races,Male,60.8,1976
1939,All Races,Male,62.1,1937.2
1938,All Races,Male,61.9,1932.4
1937,All Races,Male,58,2072.8
1936,All Races,Male,56.6,2148.5
1935,All Races,Male,59.9,2031.2
1934,All Races,Male,59.3,2056.7
1933,All Races,Male,61.7,2002
1932,All Races,Male,61,2036.4
1931,All Races,Male,59.4,2047.4
1930,All Races,Male,58.1,2088.8
1929,All Races,Male,55.8,2219.7
1928,All Races,Male,55.6,2256.3
1927,All Races,Male,59,2113.8
1926,All Races,Male,55.5,2262.2
1925,All Races,Male,57.6,2178
1924,All Races,Male,58.1,2146.9
1923,All Races,Male,56.1,2229.5
1922,All Races,Male,58.4,2131.8
1921,All Races,Male,60,2025
1920,All Races,Male,53.6,2213.2
1919,All Races,Male,53.5,2141.5
1918,All Races,Male,36.6,2740.5
1917,All Races,Male,48.4,2427.8
1916,All Races,Male,49.6,2406.2
1915,All Races,Male,52.5,2302.6
1914,All Races,Male,52,2286.1
1913,All Races,Male,50.3,2351.2
1912,All Races,Male,51.5,2352.8
1911,All Races,Male,50.9,2374.5
1910,All Races,Male,48.4,2459.9
1909,All Races,Male,50.5,2385.7
1908,All Races,Male,49.5,2433.4
1907,All Races,Male,45.6,2660.3
1906,All Races,Male,46.9,2553.6
1905,All Races,Male,47.3,2565.5
1904,All Races,Male,46.2,2652.9
1903,All Races,Male,49.1,2513.5
1902,All Races,Male,49.8,2447.9
1901,All Races,Male,47.6,2600.5
1900,All Races,Male,46.3,2630.8
2014,Black,Both Sexes,75.6,849.3
2013,Black,Both Sexes,75.5,860.8
2012,Black,Both Sexes,75.5,864.8
2011,Black,Both Sexes,75.3,877.1
2010,Black,Both Sexes,75.1,898.2
2009,Black,Both Sexes,74.7,912.8
2008,Black,Both Sexes,74.3,947.6
2007,Black,Both Sexes,73.8,972
2006,Black,Both Sexes,73.4,997.9
2005,Black,Both Sexes,73,1035.1
2004,Black,Both Sexes,72.9,1043.8
2003,Black,Both Sexes,72.4,1080.5
2002,Black,Both Sexes,72.2,1097.3
2001,Black,Both Sexes,72,1106.2
2000,Black,Both Sexes,71.8,1121.4
1999,Black,Both Sexes,71.4,1135.7
1998,Black,Both Sexes,71.3,1127.1
1997,Black,Both Sexes,71.1,1139.2
1996,Black,Both Sexes,70.2,1177.6
1995,Black,Both Sexes,69.6,1213.6
1994,Black,Both Sexes,69.5,1216.2
1993,Black,Both Sexes,69.2,1240.2
1992,Black,Both Sexes,69.6,1205.3
1991,Black,Both Sexes,69.3,1233.6
1990,Black,Both Sexes,69.1,1248.5
1989,Black,Both Sexes,68.8,1273.5
1988,Black,Both Sexes,68.9,1281.9
1987,Black,Both Sexes,69.1,1260.9
1986,Black,Both Sexes,69.1,1264.6
1985,Black,Both Sexes,69.3,1259.1
1984,Black,Both Sexes,69.5,1234.5
1983,Black,Both Sexes,69.4,1239.8
1982,Black,Both Sexes,69.4,1220.1
1981,Black,Both Sexes,68.9,1256.5
1980,Black,Both Sexes,68.1,1312.9
1979,Black,Both Sexes,68.5,1238.5
1978,Black,Both Sexes,68.1,1267.7
1977,Black,Both Sexes,67.7,1286
1976,Black,Both Sexes,67.2,1311.2
1975,Black,Both Sexes,66.8,1327.5
1974,Black,Both Sexes,66,1397.7
1973,Black,Both Sexes,65,1473.3
1972,Black,Both Sexes,64.7,1486.3
1971,Black,Both Sexes,64.6,1481.3
1970,Black,Both Sexes,64.1,1518.1
1969,Black,Both Sexes,64.5,1570.4
1968,Black,Both Sexes,64.1,1615.6
1967,Black,Both Sexes,64.9,1466.9
1966,Black,Both Sexes,64.2,1529.7
1965,Black,Both Sexes,64.3,1508.9
1964,Black,Both Sexes,64.2,1507.1
1963,Black,Both Sexes,63.7,1581.5
1962,Black,Both Sexes,64.2,1532
1961,Black,Both Sexes,64.5,1492.2
1960,Black,Both Sexes,63.6,1549
1959,Black,Both Sexes,63.9,1504.4
1958,Black,Both Sexes,63.4,1552.1
1957,Black,Both Sexes,63,1571.7
1956,Black,Both Sexes,63.6,1519.2
1955,Black,Both Sexes,63.7,1510.2
1954,Black,Both Sexes,63.4,1514.8
1953,Black,Both Sexes,62,1641.2
1952,Black,Both Sexes,61.4,1671.3
1951,Black,Both Sexes,61.2,1698.2
1950,Black,Both Sexes,60.8,1757.6
1949,Black,Both Sexes,60.6,1739.9
1948,Black,Both Sexes,60,1766.9
1947,Black,Both Sexes,59.7,1749.7
1946,Black,Both Sexes,59.1,1711.7
1945,Black,Both Sexes,57.7,1808.8
1944,Black,Both Sexes,56.6,1904.5
1943,Black,Both Sexes,55.6,2006.9
1942,Black,Both Sexes,56.6,1988.9
1941,Black,Both Sexes,53.8,2142.8
1940,Black,Both Sexes,53.1,2254.1
1939,Black,Both Sexes,54.5,2157
1938,Black,Both Sexes,52.9,2217.2
1937,Black,Both Sexes,50.3,2374
1936,Black,Both Sexes,49,2496.6
1935,Black,Both Sexes,53.1,2316
1934,Black,Both Sexes,51.8,2386.5
1933,Black,Both Sexes,54.7,2307.9
1932,Black,Both Sexes,53.7,2397.3
1931,Black,Both Sexes,50.4,2516
1930,Black,Both Sexes,48.1,2682.9
1929,Black,Both Sexes,46.7,2832.6
1928,Black,Both Sexes,46.3,2835.5
1927,Black,Both Sexes,48.2,2676.2
1926,Black,Both Sexes,44.6,2906
1925,Black,Both Sexes,45.7,2858.7
1924,Black,Both Sexes,46.6,2806.5
1923,Black,Both Sexes,48.3,2717.8
1922,Black,Both Sexes,52.4,2507.8
1921,Black,Both Sexes,51.5,2459.8
1920,Black,Both Sexes,45.3,2743.3
1919,Black,Both Sexes,44.5,2648.5
1918,Black,Both Sexes,31.1,3411.9
1917,Black,Both Sexes,38.8,3069.6
1916,Black,Both Sexes,41.3,2940.3
1915,Black,Both Sexes,38.9,3021.8
1914,Black,Both Sexes,38.9,2914.6
1913,Black,Both Sexes,38.4,2906.6
1912,Black,Both Sexes,37.9,2959.2
1911,Black,Both Sexes,36.4,3000.6
1910,Black,Both Sexes,35.6,2983.5
1909,Black,Both Sexes,35.7,3006.9
1908,Black,Both Sexes,34.9,3048.2
1907,Black,Both Sexes,32.5,3295.1
1906,Black,Both Sexes,32.9,3223.4
1905,Black,Both Sexes,31.3,3440.1
1904,Black,Both Sexes,30.8,3586.2
1903,Black,Both Sexes,33.1,3373.7
1902,Black,Both Sexes,34.6,3190.4
1901,Black,Both Sexes,33.7,3338.4
1900,Black,Both Sexes,33,3423.3
2014,Black,Female,78.5,713.3
2013,Black,Female,78.4,720.6
2012,Black,Female,78.4,723.9
2011,Black,Female,78.2,739.8
2010,Black,Female,78,752.5
2009,Black,Female,77.7,763.3
2008,Black,Female,77.3,792
2007,Black,Female,77,808.1
2006,Black,Female,76.7,828.4
2005,Black,Female,76.2,862.7
2004,Black,Female,76.1,869.8
2003,Black,Female,75.7,898.3
2002,Black,Female,75.4,913.5
2001,Black,Female,75.3,917.9
2000,Black,Female,75.1,927.6
1999,Black,Female,74.7,933.6
1998,Black,Female,74.8,921
1997,Black,Female,74.7,921.6
1996,Black,Female,74.2,939.6
1995,Black,Female,73.9,955.7
1994,Black,Female,73.9,954
1993,Black,Female,73.7,968.6
1992,Black,Female,73.9,941.4
1991,Black,Female,73.8,961.8
1990,Black,Female,73.6,973.6
1989,Black,Female,73.3,995.8
1988,Black,Female,73.2,1005.4
1987,Black,Female,73.4,988.4
1986,Black,Female,73.4,992.7
1985,Black,Female,73.4,992.2
1984,Black,Female,73.6,974.9
1983,Black,Female,73.5,980.2
1982,Black,Female,73.6,958.8
1981,Black,Female,73.2,985.7
1980,Black,Female,72.5,1031.8
1979,Black,Female,72.9,967.1
1978,Black,Female,72.4,995.1
1977,Black,Female,72,1012.2
1976,Black,Female,71.6,1031.2
1975,Black,Female,71.3,1042.4
1974,Black,Female,70.3,1109.7
1973,Black,Female,69.3,1179.7
1972,Black,Female,69.1,1181.2
1971,Black,Female,68.9,1196.8
1970,Black,Female,68.3,1228.7
1969,Black,Female,68.6,1274.9
1968,Black,Female,67.9,1325.6
1967,Black,Female,68.5,1209.7
1966,Black,Female,67.6,1274.6
1965,Black,Female,67.6,1266
1964,Black,Female,67.3,1284.1
1963,Black,Female,66.6,1347.8
1962,Black,Female,66.9,1324.5
1961,Black,Female,67.1,1295.9
1960,Black,Female,66.3,1340.5
1959,Black,Female,66.5,1305
1958,Black,Female,65.8,1354.6
1957,Black,Female,65.5,1374.6
1956,Black,Female,66.1,1331.9
1955,Black,Female,66.1,1326.7
1954,Black,Female,65.9,1326.3
1953,Black,Female,64.5,1434.3
1952,Black,Female,63.8,1465
1951,Black,Female,63.4,1508.3
1950,Black,Female,62.9,1574.1
1949,Black,Female,62.7,1572.2
1948,Black,Female,62.5,1580
1947,Black,Female,61.9,1586.1
1946,Black,Female,61,1556.8
1945,Black,Female,59.6,1634.8
1944,Black,Female,57.7,1733.6
1943,Black,Female,56.1,1837.6
1942,Black,Female,58.2,1803.7
1941,Black,Female,55.3,1945.9
1940,Black,Female,54.9,2057.5
1939,Black,Female,56,1992.4
1938,Black,Female,54.3,2057.1
1937,Black,Female,52.5,2158.5
1936,Black,Female,51.4,2278.7
1935,Black,Female,55.2,2136.5
1934,Black,Female,53.7,2213.4
1933,Black,Female,56,2174.1
1932,Black,Female,54.6,2256.1
1931,Black,Female,51.5,2362.8
1930,Black,Female,49.2,2530.1
1929,Black,Female,47.8,2664.8
1928,Black,Female,47,2703.1
1927,Black,Female,48.9,2565.5
1926,Black,Female,45.6,2778
1925,Black,Female,46.7,2741.9
1924,Black,Female,47.8,2693.2
1923,Black,Female,48.9,2657.8
1922,Black,Female,53,2476.1
1921,Black,Female,51.3,2475
1920,Black,Female,45.2,2756.2
1919,Black,Female,44.4,2663.2
1918,Black,Female,32.5,3304.3
1917,Black,Female,40.8,2970.6
1916,Black,Female,43.1,2853.6
1915,Black,Female,40.5,2948.8
1914,Black,Female,40.8,2810.1
1913,Black,Female,40.3,2802.7
1912,Black,Female,40,2807.7
1911,Black,Female,38.2,2899.8
1910,Black,Female,37.5,2875.3
1909,Black,Female,37.3,2875.6
1908,Black,Female,36,2963.6
1907,Black,Female,34,3179.3
1906,Black,Female,33.9,3115.4
1905,Black,Female,33.1,3247.5
1904,Black,Female,32.7,3362.4
1903,Black,Female,34.6,3210.9
1902,Black,Female,36.4,3003.4
1901,Black,Female,35.3,3167.2
1900,Black,Female,33.5,3308
2014,Black,Male,72.5,1034
2013,Black,Male,72.3,1052.8
2012,Black,Male,72.3,1058.6
2011,Black,Male,72.2,1067.1
2010,Black,Male,71.8,1104
2009,Black,Male,71.4,1123.1
2008,Black,Male,70.9,1168
2007,Black,Male,70.3,1204.8
2006,Black,Male,69.9,1239.5
2005,Black,Male,69.5,1281.3
2004,Black,Male,69.4,1296.9
2003,Black,Male,68.9,1343.5
2002,Black,Male,68.7,1364.8
2001,Black,Male,68.5,1380.5
2000,Black,Male,68.2,1403.5
1999,Black,Male,67.8,1432.6
1998,Black,Male,67.6,1429.8
1997,Black,Male,67.2,1458.2
1996,Black,Male,66.1,1523.2
1995,Black,Male,65.2,1585.2
1994,Black,Male,64.9,1591.9
1993,Black,Male,64.6,1631.1
1992,Black,Male,65,1586.2
1991,Black,Male,64.6,1624.1
1990,Black,Male,64.5,1642.4
1989,Black,Male,64.3,1666.1
1988,Black,Male,64.4,1673.1
1987,Black,Male,64.7,1646.3
1986,Black,Male,64.8,1648.4
1985,Black,Male,65,1632.9
1984,Black,Male,65.3,1597.1
1983,Black,Male,65.2,1600.5
1982,Black,Male,65.1,1580
1981,Black,Male,64.5,1626.6
1980,Black,Male,63.8,1695.5
1979,Black,Male,64,1601.5
1978,Black,Male,63.7,1626.9
1977,Black,Male,63.4,1647.9
1976,Black,Male,62.9,1676
1975,Black,Male,62.4,1697
1974,Black,Male,61.7,1769.5
1973,Black,Male,60.9,1849.5
1972,Black,Male,60.4,1871.8
1971,Black,Male,60.5,1836.1
1970,Black,Male,60,1873.9
1969,Black,Male,60.6,1934.4
1968,Black,Male,60.4,1976.8
1967,Black,Male,61.4,1767.2
1966,Black,Male,60.9,1832.4
1965,Black,Male,61.2,1791
1964,Black,Male,61.3,1768.1
1963,Black,Male,61,1859
1962,Black,Male,61.6,1775.4
1961,Black,Male,62,1713.3
1960,Black,Male,61.1,1777.6
1959,Black,Male,61.3,1724.7
1958,Black,Male,61,1779.2
1957,Black,Male,60.7,1797
1956,Black,Male,61.3,1724.1
1955,Black,Male,61.4,1707.5
1954,Black,Male,61.1,1726.6
1953,Black,Male,59.7,1863.1
1952,Black,Male,59.1,1894.1
1951,Black,Male,59.2,1903.4
1950,Black,Male,59.1,1949.5
1949,Black,Male,58.9,1915.4
1948,Black,Male,58.1,1954.3
1947,Black,Male,57.9,1922.8
1946,Black,Male,57.5,1878.6
1945,Black,Male,56.1,2002.7
1944,Black,Male,55.8,2084.9
1943,Black,Male,55.4,2189.9
1942,Black,Male,55.4,2187.8
1941,Black,Male,52.5,2351.1
1940,Black,Male,51.5,2458.9
1939,Black,Male,53.2,2328.1
1938,Black,Male,51.7,2384.3
1937,Black,Male,48.3,2596.1
1936,Black,Male,47,2722.4
1935,Black,Male,51.3,2502.9
1934,Black,Male,50.2,2567.5
1933,Black,Male,53.5,2452.1
1932,Black,Male,52.8,2550
1931,Black,Male,49.5,2680.3
1930,Black,Male,47.3,2845.5
1929,Black,Male,45.7,3012.6
1928,Black,Male,45.6,2980.3
1927,Black,Male,47.6,2801.1
1926,Black,Male,43.7,3054.7
1925,Black,Male,44.9,3000.7
1924,Black,Male,45.5,2947
1923,Black,Male,47.7,2803.9
1922,Black,Male,51.8,2560.4
1921,Black,Male,51.6,2461.2
1920,Black,Male,45.5,2748.4
1919,Black,Male,44.5,2650
1918,Black,Male,29.9,3532.5
1917,Black,Male,37,3172.8
1916,Black,Male,39.6,3035.1
1915,Black,Male,37.5,3104.1
1914,Black,Male,37.1,3017.4
1913,Black,Male,36.7,3011.9
1912,Black,Male,35.9,3114.2
1911,Black,Male,34.6,3094.2
1910,Black,Male,33.8,3087.5
1909,Black,Male,34.2,3149
1908,Black,Male,33.8,3140
1907,Black,Male,31.1,3408.1
1906,Black,Male,31.8,3341
1905,Black,Male,29.6,3654.7
1904,Black,Male,29.1,3845.7
1903,Black,Male,31.7,3546.5
1902,Black,Male,32.9,3399.8
1901,Black,Male,32.2,3524.8
1900,Black,Male,32.5,3576.5
2014,White,Both Sexes,79.1,725.4
2013,White,Both Sexes,79.1,731
2012,White,Both Sexes,79.1,730.9
2011,White,Both Sexes,79,738.8
2010,White,Both Sexes,78.9,741.8
2009,White,Both Sexes,78.8,742.8
2008,White,Both Sexes,78.5,767.2
2007,White,Both Sexes,78.5,764.3
2006,White,Both Sexes,78.3,779.3
2005,White,Both Sexes,78,801.1
2004,White,Both Sexes,78.1,798.5
2003,White,Both Sexes,77.7,827.1
2002,White,Both Sexes,77.5,839
2001,White,Both Sexes,77.5,840.7
2000,White,Both Sexes,77.3,849.8
1999,White,Both Sexes,77.3,854.6
1998,White,Both Sexes,77.3,848.9
1997,White,Both Sexes,77.1,855.4
1996,White,Both Sexes,76.8,868.7
1995,White,Both Sexes,76.5,882
1994,White,Both Sexes,76.5,885.3
1993,White,Both Sexes,76.3,896.8
1992,White,Both Sexes,76.5,877.5
1991,White,Both Sexes,76.3,893
1990,White,Both Sexes,76.1,909.2
1989,White,Both Sexes,75.9,919.8
1988,White,Both Sexes,75.6,947.2
1987,White,Both Sexes,75.6,943.2
1986,White,Both Sexes,75.4,952.8
1985,White,Both Sexes,75.3,963.4
1984,White,Both Sexes,75.3,959.4
1983,White,Both Sexes,75.2,967.4
