"","Gender","Age","Stay_In_Current_City_Years","Marital_Status","Purchase","Purchase_Level","Gender_Temp"
"96","M",1,3,0,4211,0,1
"97","M",1,3,0,1539,0,1
"98","M",2,0,0,3055,0,1
"99","M",2,5,0,12099,0,1
"100","M",2,5,0,8797,0,1
"101","M",2,5,0,10681,0,1
"102","M",2,5,0,7801,0,1
"103","M",2,5,0,15517,1,1
"104","M",2,5,0,12098,0,1
"105","M",2,5,0,6976,0,1
"106","M",2,5,0,5384,0,1
"107","M",2,5,0,6973,0,1
"108","M",2,5,0,5168,0,1
"109","M",2,5,0,3449,0,1
"110","M",2,5,0,7177,0,1
"111","M",2,5,0,4570,0,1
"112","M",2,5,0,9564,0,1
"113","M",4,3,1,15766,1,1
"114","M",4,3,1,8481,0,1
"115","M",4,3,1,6108,0,1
"116","M",4,3,1,15354,1,1
"117","M",4,3,1,12015,0,1
"118","M",4,3,1,15371,1,1
"119","M",4,3,1,19239,1,1
"120","M",4,3,1,16137,1,1
"121","M",4,3,1,11887,0,1
"122","M",4,3,1,5183,0,1
"123","M",4,3,1,584,0,1
"124","M",4,3,1,7601,0,1
"125","F",3,3,1,2230,0,0
"126","F",3,3,1,6940,0,0
"127","F",3,3,1,15774,1,0
"128","M",2,5,0,15361,1,1
"129","M",2,5,0,15770,1,1
"130","M",2,5,0,18974,1,1
"131","M",3,2,1,1848,0,1
"132","M",3,2,1,3624,0,1
"133","M",3,2,1,5275,0,1
"134","M",3,2,1,5356,0,1
"135","M",3,2,1,5411,0,1
"136","M",3,2,1,9734,0,1
"137","M",3,2,1,7814,0,1
"138","M",3,2,1,6098,0,1
"139","M",3,2,1,5195,0,1
"140","M",3,2,1,5220,0,1
"141","M",3,2,1,16093,1,1
"142","M",3,2,1,3702,0,1
"143","M",3,1,1,8696,0,1
"144","M",3,1,1,7730,0,1
"145","M",3,1,1,9836,0,1
"146","M",3,1,1,16500,1,1
"147","M",3,1,1,15903,1,1
"148","F",3,2,1,758,0,0
"149","F",3,2,1,6904,0,0
"150","F",3,2,1,8690,0,0
"151","F",3,2,1,8624,0,0
"152","F",3,2,1,3904,0,0
"153","M",4,1,0,19068,1,1
"154","M",4,1,0,7963,0,1
"155","M",4,1,0,15511,1,1
"156","M",4,1,0,11859,0,1
"157","F",4,3,0,9735,0,0
"158","F",4,3,0,4166,0,0
"159","F",4,3,0,6927,0,0
"160","M",7,2,0,8596,0,1
"161","M",7,2,0,5248,0,1
"162","M",7,2,0,10592,0,1
"163","M",7,2,0,3482,0,1
"164","F",3,3,1,7134,0,0
"165","M",5,1,1,7854,0,1
"166","M",5,1,1,17391,1,1
"167","M",5,1,1,6074,0,1
"168","M",5,1,1,6119,0,1
"169","M",5,1,1,15333,1,1
"170","M",5,1,1,6129,0,1
"171","M",5,1,1,5265,0,1
"172","M",5,1,1,7888,0,1
"173","M",5,1,1,4035,0,1
"174","M",5,1,1,5280,0,1
"175","M",5,1,1,7909,0,1
"176","M",5,1,1,811,0,1
"177","M",5,1,1,2846,0,1
"178","M",5,1,1,7994,0,1
"179","M",5,1,1,3897,0,1
"180","F",2,0,0,6996,0,0
"181","F",2,0,0,8593,0,0
"182","F",2,0,0,6917,0,0
"183","F",2,0,0,5329,0,0
"184","F",2,0,0,5942,0,0
"185","F",2,0,0,15895,1,0
"186","F",2,0,0,7165,0,0
"187","F",2,0,0,9846,0,0
"188","F",2,0,0,8701,0,0
"189","F",2,0,0,8757,0,0
"190","M",5,5,1,6109,0,1
"191","M",5,5,1,6139,0,1
"192","M",5,5,1,5897,0,1
"193","M",5,5,1,3990,0,1
"194","M",5,5,1,6153,0,1
"195","M",5,5,1,5319,0,1
"196","M",5,5,1,10767,0,1
"197","M",3,0,0,2832,0,1
"198","M",3,0,0,8066,0,1
"199","M",3,0,0,15812,1,1
"200","M",3,0,0,6967,0,1
"201","M",3,0,0,6922,0,1
"202","M",3,0,0,8621,0,1
"203","M",3,0,0,7030,0,1
"204","M",3,0,0,7172,0,1
"205","M",3,0,0,15769,1,1
"206","M",3,0,0,6871,0,1
"207","M",3,0,0,7171,0,1
"208","M",3,0,0,7139,0,1
"209","M",3,0,0,16280,1,1
"210","M",3,0,0,9894,0,1
"211","M",3,0,0,3664,0,1
"212","M",3,0,0,7869,0,1
"213","M",3,0,0,16866,1,1
"214","M",3,0,0,20442,1,1
"215","M",3,0,0,11518,0,1
"216","M",3,0,0,15285,1,1
"217","M",3,0,0,15524,1,1
"218","M",3,0,0,19278,1,1
"219","M",3,0,0,15445,1,1
"220","F",3,1,0,8034,0,0
"221","M",2,2,0,12464,0,1
"222","M",2,2,0,15319,1,1
"223","F",2,3,0,5915,0,0
"224","F",2,3,0,6025,0,0
"225","M",3,0,1,19433,1,1
"226","M",3,0,1,6027,0,1
"227","M",3,0,1,7040,0,1
"228","M",3,0,1,11965,0,1
"229","M",3,0,1,15469,1,1
"230","M",3,0,1,11925,0,1
"231","M",3,0,1,2826,0,1
"232","M",3,0,1,4013,0,1
"233","M",3,0,1,5914,0,1
"234","M",3,0,1,7176,0,1
"235","M",3,0,0,20961,1,1
"236","M",5,3,1,19072,1,1
"237","M",5,3,1,7179,0,1
"238","M",5,3,1,7995,0,1
"239","M",5,3,1,4124,0,1
"240","M",5,3,1,7772,0,1
"241","M",5,3,1,11799,0,1
"242","M",5,3,1,13251,0,1
"243","M",5,3,1,3524,0,1
"244","M",5,3,1,15853,1,1
"245","M",5,3,1,1728,0,1
"246","M",5,3,1,11693,0,1
"247","M",5,3,1,7852,0,1
"248","M",5,3,1,1582,0,1
"249","F",5,1,1,6950,0,0
"250","F",5,1,1,1414,0,0
"251","F",5,1,1,4325,0,0
"252","F",5,1,1,4028,0,0
"253","F",5,1,1,3432,0,0
"254","F",5,1,1,3715,0,0
"255","F",5,1,1,3540,0,0
"256","F",5,1,1,5352,0,0
"257","F",5,1,1,1828,0,0
"258","F",5,1,1,7159,0,0
"259","M",2,5,0,7614,0,1
"260","M",2,5,0,1784,0,1
"261","M",2,5,0,3978,0,1
"262","M",2,5,0,7478,0,1
"263","M",2,5,1,8043,0,1
"264","M",2,5,1,6912,0,1
"265","M",3,3,1,1447,0,1
"266","M",3,3,1,4338,0,1
"267","M",3,3,1,19352,1,1
"268","M",3,3,1,11420,0,1
"269","M",3,3,1,5897,0,1
"270","M",3,3,1,7048,0,1
"271","M",3,3,1,15783,1,1
"272","M",3,3,1,11396,0,1
"273","M",3,3,1,5180,0,1
"274","M",3,3,1,15549,1,1
"275","M",3,3,1,11935,0,1
"276","M",3,3,1,8091,0,1
"277","M",3,3,1,7001,0,1
"278","M",3,3,1,1747,0,1
"279","M",3,3,1,5252,0,1
"280","M",3,3,1,6407,0,1
"281","M",3,3,1,15466,1,1
"282","M",3,3,1,7781,0,1
"283","M",3,3,1,15849,1,1
"284","M",3,3,1,11430,0,1
"285","M",3,3,1,11404,0,1
"286","M",3,3,1,11853,0,1
"287","M",3,3,1,1446,0,1
"288","M",3,3,1,3101,0,1
"289","M",3,3,1,3694,0,1
"290","M",3,3,1,3696,0,1
"291","M",3,3,1,3580,0,1
"292","M",2,5,1,9879,0,1
"293","M",2,5,1,10783,0,1
"294","M",2,5,1,13353,0,1
"295","M",2,5,1,15715,1,1
"296","M",2,5,1,11463,0,1
"297","M",2,5,1,7763,0,1
"298","F",3,1,1,5878,0,0
"299","F",3,1,1,5845,0,0
"300","F",1,2,0,17271,1,0
"301","M",2,0,0,15244,1,1
"302","M",2,0,0,19060,1,1
"303","M",2,0,0,15772,1,1
"304","M",2,0,0,8159,0,1
"305","M",3,1,0,3794,0,1
"306","M",3,1,0,8637,0,1
"307","M",3,1,0,19251,1,1
"308","M",3,1,0,10021,0,1
"309","M",3,1,0,15734,1,1
"310","M",3,1,0,19662,1,1
"311","M",3,1,0,19416,1,1
"312","M",3,1,0,5996,0,1
"313","M",3,1,0,11937,0,1
"314","M",3,1,0,15859,1,1
"315","M",3,1,0,11723,0,1
"316","M",3,1,0,11793,0,1
"317","M",3,1,0,13689,0,1
"318","M",3,1,0,16306,1,1
"319","M",3,1,0,19171,1,1
"320","M",3,1,0,1629,0,1
"321","M",3,1,0,6931,0,1
"322","M",3,1,0,12004,0,1
"323","M",3,1,0,1752,0,1
"324","M",3,1,0,10766,0,1
"325","M",3,1,0,20529,1,1
"326","M",3,1,0,9856,0,1
"327","M",3,1,0,8000,0,1
"328","M",3,1,0,10038,0,1
"329","M",3,1,0,8685,0,1
"330","M",3,1,0,7796,0,1
"331","M",3,1,0,20474,1,1
"332","M",3,1,0,7820,0,1
"333","M",3,1,0,16477,1,1
"334","M",6,5,1,6198,0,1
"335","M",6,5,1,5185,0,1
"336","M",4,0,1,5980,0,1
"337","M",4,0,1,11370,0,1
"338","M",4,0,1,9834,0,1
"339","M",4,0,1,2012,0,1
"340","M",2,2,0,3581,0,1
"341","M",2,2,0,12131,0,1
"342","M",2,2,0,4290,0,1
"343","M",3,3,0,15824,1,1
"344","M",3,3,0,23603,1,1
"345","M",3,3,0,9940,0,1
"346","M",3,3,0,13557,0,1
"347","M",3,3,0,16420,1,1
"348","M",3,3,0,8842,0,1
"349","M",3,3,0,7959,0,1
"350","M",3,3,0,6987,0,1
"351","M",3,3,0,6855,0,1
"352","M",3,3,0,16579,1,1
"353","M",3,3,0,5851,0,1
"354","M",3,3,0,8147,0,1
"355","M",3,3,0,12850,0,1
"356","F",6,5,1,5899,0,0
"357","F",6,5,1,3993,0,0
"358","F",6,5,1,8084,0,0
"359","F",6,5,1,7159,0,0
"360","F",6,5,1,12014,0,0
"361","F",6,5,1,8007,0,0
"362","F",6,5,1,6141,0,0
"363","F",6,5,1,9695,0,0
"364","F",6,5,1,5900,0,0
"365","F",6,5,1,1384,0,0
"366","F",6,5,1,1432,0,0
"367","F",6,5,1,2074,0,0
"368","F",6,5,1,7864,0,0
"369","F",6,5,1,8784,0,0
"370","F",6,5,1,7988,0,0
"371","M",6,1,1,2048,0,1
"372","M",6,1,1,742,0,1
"373","M",3,1,0,15365,1,1
"374","F",4,1,0,5234,0,0
"375","F",4,1,0,11694,0,0
"376","F",4,1,0,23792,1,0
"377","F",4,1,0,15654,1,0
"378","F",4,1,0,9844,0,0
"379","F",4,1,0,16698,1,0
"380","F",4,1,0,15957,1,0
"381","F",4,1,0,8599,0,0
"382","F",4,1,0,8138,0,0
"383","F",4,1,0,12422,0,0
"384","F",4,1,0,7766,0,0
"385","F",4,1,0,15208,1,0
"386","F",4,1,0,5284,0,0
"387","F",4,1,0,7965,0,0
"388","F",4,1,0,11279,0,0
"389","M",2,2,0,5881,0,1
"390","M",2,2,0,8587,0,1
"391","M",2,2,0,7552,0,1
"392","M",2,2,0,2226,0,1
"393","M",2,1,1,19462,1,1
"394","M",4,2,1,13253,0,1
"395","M",4,2,1,19420,1,1
"396","M",4,2,1,19409,1,1
"397","M",4,2,1,9889,0,1
"398","M",4,2,1,15628,1,1
"399","M",4,2,1,7053,0,1
"400","M",3,2,0,8652,0,1
"401","F",6,5,1,8088,0,0
"402","F",6,5,1,9878,0,0
"403","F",6,5,1,7771,0,0
"404","M",2,0,0,9938,0,1
"405","M",2,0,0,7036,0,1
"406","M",2,0,0,11429,0,1
"407","F",3,1,0,11715,0,0
"408","F",3,1,0,7973,0,0
"409","M",2,2,0,7076,0,1
"410","M",2,2,0,2304,0,1
"411","M",3,0,1,11846,0,1
"412","M",3,0,1,7908,0,1
"413","M",3,0,1,5223,0,1
"414","M",3,0,1,6996,0,1
"415","F",5,1,1,7968,0,0
"416","F",5,1,1,15426,1,0
"417","M",2,5,0,15900,1,1
"418","M",2,5,0,11822,0,1
"419","M",2,5,0,7802,0,1
"420","M",2,5,0,15624,1,1
"421","M",2,5,0,15212,1,1
"422","M",4,2,1,15581,1,1
"423","M",4,2,1,12409,0,1
"424","F",1,5,0,13337,0,0
"425","F",1,5,0,13667,0,0
"426","F",1,5,0,12746,0,0
"427","F",1,5,0,5349,0,0
"428","F",1,5,0,16187,1,0
"429","F",1,5,0,16320,1,0
"430","F",1,5,0,2129,0,0
"431","F",1,5,0,11055,0,0
"432","F",1,5,0,11000,0,0
"433","F",1,5,0,10578,0,0
"434","M",4,2,1,7909,0,1
"435","M",4,2,1,7190,0,1
"436","M",4,2,1,15393,1,1
"437","M",4,2,1,11867,0,1
"438","M",4,2,1,5973,0,1
"439","M",2,2,0,6909,0,1
"440","M",2,2,0,6144,0,1
"441","M",2,2,0,5432,0,1
"442","F",5,0,1,1720,0,0
"443","F",5,0,1,6852,0,0
"444","F",5,0,1,7061,0,0
"445","F",5,0,1,6868,0,0
"446","F",5,0,1,8598,0,0
"447","F",5,0,1,3624,0,0
"448","F",5,0,1,6986,0,0
"449","F",5,0,1,6862,0,0
"450","F",5,1,0,7962,0,0
"451","F",5,1,0,15943,1,0
"452","M",7,3,1,9788,0,1
"453","M",7,3,1,9859,0,1
"454","M",7,3,1,8248,0,1
"455","F",3,1,1,10058,0,0
"456","M",3,2,1,8162,0,1
"457","M",3,2,1,8045,0,1
"458","F",3,1,0,15584,1,0
"459","F",3,1,0,8775,0,0
"460","F",3,1,0,7996,0,0
"461","F",3,1,0,6889,0,0
"462","F",3,1,0,11730,0,0
"463","M",2,1,0,5315,0,1
"464","M",2,1,0,3497,0,1
"465","M",2,1,0,11896,0,1
"466","M",2,1,0,20595,1,1
"467","M",2,1,0,5986,0,1
"468","F",1,3,0,19283,1,0
"469","F",1,3,0,19442,1,0
"470","M",3,2,0,4121,0,1
"471","M",3,2,0,3847,0,1
"472","M",3,2,0,4528,0,1
"473","F",5,1,1,10022,0,0
"474","F",5,1,1,7809,0,0
"475","F",5,1,1,7019,0,0
"476","F",7,1,1,8804,0,0
"477","F",7,1,1,1747,0,0
"478","M",7,1,0,6122,0,1
"479","M",7,1,0,7824,0,1
"480","M",7,1,0,8714,0,1
"481","M",7,1,0,7786,0,1
"482","M",7,1,0,6975,0,1
"483","M",7,1,0,15433,1,1
"484","M",7,1,0,3667,0,1
"485","M",7,1,0,5354,0,1
"486","M",7,1,0,11605,0,1
"487","M",7,1,0,6078,0,1
"488","M",7,1,0,1463,0,1
"489","M",7,1,0,2010,0,1
"490","M",7,1,0,10009,0,1
"491","M",7,1,0,7178,0,1
"492","M",4,3,1,6013,0,1
"493","M",4,3,1,8858,0,1
"494","M",4,3,1,5252,0,1
"495","M",4,3,1,8771,0,1
"496","F",2,1,0,7884,0,0
"497","F",2,1,0,13400,0,0
"498","F",2,1,0,2233,0,0
"499","F",2,1,0,3545,0,0
"500","F",2,1,0,1868,0,0
