Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,271,20.1,17.9
2010,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6,.,.
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,103,8.8,10.1
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,17,3,2.9
2011,All Other Causes,M,White Non-Hispanic,2165,162.3,139.5
2013,All Other Causes,F,Other Race/ Ethnicity,39,.,.
2007,Diabetes Mellitus (E10-E14),M,Hispanic,177,16.2,27.6
2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,8,.,.
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,13,.,.
2010,Diabetes Mellitus (E10-E14),F,Hispanic,219,18,21.5
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5,.,.
2010,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,171,20.1,23.9
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,.,.,.
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,63,11.4,12.8
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Other Race/ Ethnicity,.,.,.
2007,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,34,6.6,8.3
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,62,.,.
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,148,11,9.1
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,71,6.8,6.3
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,6,.,.
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,180,12.7,6.7
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2725,260.1,243.6
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8,.,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,87,8.3,8.1
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,186,16.8,20.6
2011,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3222,241.6,206.1
2011,Alzheimer's Disease (G30),F,White Non-Hispanic,231,16.3,7.2
2009,All Other Causes,F,White Non-Hispanic,1684,117.2,77.2
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,50,.,.
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,36,7.4,7.7
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,56,11.6,16.2
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,5,.,.
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,35,.,.
2007,All Other Causes,M,Other Race/ Ethnicity,24,.,.
2012,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15,.,.
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,10,.,.
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,177,13.3,12
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,172,15.6,16.3
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272,20.4,18.1
2007,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,47,9.7,13.6
2007,All Other Causes,F,Black Non-Hispanic,1230,116.8,113.4
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,124,11.2,18.8
2012,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,308,36,42.9
2007,All Other Causes,F,Hispanic,820,70.2,85.6
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,.,.,.
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53,10.6,12.2
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,219,15.3,7.7
2009,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,19,.,.
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,21,.,.
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,286,21.2,19.5
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279,26.5,25.3
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,.,.
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,54,10.4,13.7
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86,.,.
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,73,13.7,19.1
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,102,18.4,26.8
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,6.8
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,267,25.5,23.6
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,30,5.8,8.7
2013,All Other Causes,M,Asian and Pacific Islander,395,71.3,89.8
2012,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1912,182.9,159.1
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,.,.,.
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,13,.,.
2008,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,12,.,.
2010,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384,36.6,33
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,196,22.7,21.7
2014,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3142,234,195.1
2012,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1125,90.8,100.5
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,245,23.4,21.3
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,163,19.1,19
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Not Stated/Unknown,6,.,.
2012,All Other Causes,M,White Non-Hispanic,2316,172.9,145.7
2014,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1532,177.5,199.6
2008,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,60,.,.
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,39,6.7,8
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,154,18.1,22.8
2014,Alzheimer's Disease (G30),F,Black Non-Hispanic,123,11.7,9.2
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,43,.,.
2010,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1768,168.6,151.8
2012,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,622,115.1,138.4
2007,Aortic Aneurysm and Dissection (I71),F,Not Stated/Unknown,.,.,.
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10,.,.
2009,All Other Causes,F,Hispanic,775,64.7,75.3
2012,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,76,14.1,18
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.,.,.
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6297,438.3,226.2
2009,All Other Causes,M,Hispanic,1067,95,138.1
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,258,19.2,16.4
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,5,.,.
2008,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,529,39.4,32.7
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7,.,.
2013,Septicemia (A40-A41),F,Asian and Pacific Islander,16,2.7,2.9
2014,Alzheimer's Disease (G30),F,Not Stated/Unknown,.,.,.
2010,All Other Causes,F,Other Race/ Ethnicity,27,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,502,37.4,29.7
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1201,104.2,180.8
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5503,410,342.3
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.,.,.
2012,All Other Causes,M,Asian and Pacific Islander,333,61.6,79.7
2008,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,47,8.8,11.3
2012,All Other Causes,F,Asian and Pacific Islander,327,56,65
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,75,7.2,6.7
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,51,10,16.9
2012,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,461,78.9,83.8
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,14,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1557,183.4,228.8
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,9,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,204,16.3,18.5
2009,Alzheimer's Disease (G30),F,Hispanic,56,4.7,6.2
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,240,23,18.9
2007,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1800,171,161.7
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,275,26.2,23.6
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,38,.,.
2009,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,.,.,.
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,221,21.1,18.6
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,142,12,20
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,21,3.7,3.7
2007,All Other Causes,M,Hispanic,988,90.6,142.6
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,209,16.9,19.6
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,79,6.5,6.5
2010,Diabetes Mellitus (E10-E14),M,Hispanic,187,16.4,27.3
2013,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,17,.,.
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,26,4.9,4.5
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4507,318,161
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.,.,.
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,.,.,.
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,267,31.3,31.1
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,227,16.9,15.5
2014,All Other Causes,M,Not Stated/Unknown,96,.,.
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.,.,.
2007,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,22,.,.
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,10,.,.
2011,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1144,99.2,157.7
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,.,.,.
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,314,23.4,21.4
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,563,39.7,20.4
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,76,14.1,20.9
2007,All Other Causes,F,Asian and Pacific Islander,182,35.3,44.6
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,39,6.7,7.8
2014,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,399,29.7,24
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,274,31.9,40
2011,"Assault (Homicide: Y87.1, X85-Y09)",F,Not Stated/Unknown,.,.,.
2012,All Other Causes,F,White Non-Hispanic,2444,172.3,105.1
2013,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15,.,.
2012,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,.,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402,68.8,81.2
2013,All Other Causes,M,Not Stated/Unknown,139,.,.
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,184,21.5,27.3
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,90,8.6,7.1
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,281,26.8,23.6
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,95,7.8,9.5
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1348,110,131.8
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,143,16.7,21.3
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,189,16.5,18.4
2007,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,659,45.9,23.2
2014,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,71,12.4,14.2
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,.,.,.
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,122,10.3,11.3
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,10,.,.
2013,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,427,30,16.4
2008,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1756,167.6,156.3
2009,Diabetes Mellitus (E10-E14),F,Hispanic,215,18,22.2
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.,.,.
2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,150,13.1,17.6
2014,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,502,80.2,80.6
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,63,5,4.9
2010,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,707,49.4,24.8
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,189,17.3,36.7
2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380,36.3,34.3
2011,All Other Causes,M,Hispanic,1207,104.7,151.1
2010,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,5,.,.
2009,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,84,7,8.8
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,277,32.5,31.8
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,165,12.3,10.3
2013,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,467,77.8,79.6
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,531,95.8,123.7
2011,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,258,19.3,16.3
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,221,16.4,14.8
2013,All Other Causes,F,Not Stated/Unknown,79,.,.
2011,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,550,104.1,130.4
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5632,421,350.7
2010,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,245,18.3,15.6
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,318,30.4,28.6
2013,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,5,.,.
2009,Alzheimer's Disease (G30),F,Other Race/ Ethnicity,.,.,.
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,170,15.1,17.9
2014,Alzheimer's Disease (G30),F,Hispanic,142,11.2,12.5
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,131,15.4,19
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149,12.6,15.7
2011,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,510,36,21
2012,All Other Causes,F,Not Stated/Unknown,53,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5351,374.2,189.2
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113,9.6,9.6
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,6,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1180,105.1,172.2
2010,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,64,12.3,15.5
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Asian and Pacific Islander,19,3.6,4.2
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,8,.,.
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,6,.,.
2013,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,238,16.7,10.4
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,8,.,.
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,.,.,.
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,329,38.7,38.5
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1418,121.5,164.3
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,178,12.4,8.3
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5,.,.
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,197,22.8,26.4
2011,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,27,.,.
2009,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,229,15.9,9.5
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,206,14.5,7.5
2012,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,240,16.9,10.3
2007,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Not Stated/Unknown,.,.,.
2010,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3408,254.1,216.6
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,56,10.4,12
