"age","job","marital","education","default","balance","housing","loan","now","previous","poutcome","deposit"
53,"unemployed","married","secondary","no",4487,"no","no",2,0,"unknown",1
40,"blue-collar","divorced","primary","no",21,"yes","no",1,0,"unknown",1
30,"student","single","tertiary","no",699,"no","no",1,0,"unknown",1
34,"blue-collar","married","secondary","no",2447,"yes","no",2,0,"unknown",1
38,"technician","married","tertiary","no",-267,"no","no",1,0,"unknown",1
35,"technician","single","secondary","no",1467,"yes","yes",1,0,"unknown",1
84,"retired","married","primary","no",1702,"no","no",1,0,"unknown",1
18,"student","single","primary","no",608,"no","no",1,0,"unknown",2
60,"retired","married","secondary","no",4820,"no","no",1,0,"unknown",1
51,"management","married","tertiary","no",401,"no","no",6,0,"unknown",1
43,"self-employed","divorced","secondary","no",484,"yes","no",2,6,"failure",1
36,"technician","married","secondary","no",474,"yes","no",1,0,"unknown",1
33,"admin.","single","secondary","no",3160,"no","no",13,0,"unknown",1
41,"management","single","secondary","no",800,"no","no",2,0,"unknown",1
43,"blue-collar","married","primary","no",255,"yes","no",1,0,"unknown",1
32,"technician","single","secondary","yes",-92,"yes","no",1,1,"other",1
29,"admin.","married","secondary","no",544,"no","yes",2,0,"unknown",1
31,"blue-collar","single","secondary","no",17,"yes","no",1,0,"unknown",1
31,"self-employed","married","tertiary","no",81,"no","no",2,0,"unknown",1
33,"services","married","secondary","no",227,"yes","yes",2,0,"unknown",2
33,"technician","single","tertiary","no",0,"no","no",1,0,"unknown",1
30,"technician","married","secondary","no",239,"yes","no",8,0,"unknown",1
40,"admin.","married","secondary","no",3087,"yes","yes",1,0,"unknown",1
32,"management","single","tertiary","no",623,"no","no",1,1,"failure",1
52,"blue-collar","married","unknown","no",0,"yes","no",1,0,"unknown",2
50,"management","married","tertiary","no",0,"yes","no",7,0,"unknown",1
53,"blue-collar","married","primary","no",880,"no","no",4,0,"unknown",1
52,"management","married","tertiary","no",271,"yes","no",1,0,"unknown",1
40,"management","single","tertiary","no",0,"no","yes",1,0,"unknown",1
44,"self-employed","single","tertiary","no",18558,"yes","no",1,4,"other",1
27,"unemployed","single","secondary","no",1301,"no","no",5,0,"unknown",1
31,"management","married","tertiary","no",69,"no","no",2,0,"unknown",1
33,"blue-collar","married","secondary","no",23,"yes","no",1,0,"unknown",1
60,"retired","married","secondary","no",819,"yes","no",2,0,"unknown",1
51,"technician","married","tertiary","no",1533,"no","no",2,0,"unknown",1
55,"management","married","tertiary","no",16786,"no","no",1,0,"unknown",1
31,"management","married","tertiary","no",3154,"no","no",2,0,"unknown",1
32,"technician","married","secondary","no",2693,"yes","no",1,0,"unknown",1
27,"services","single","secondary","no",3791,"yes","no",1,0,"unknown",1
36,"blue-collar","married","secondary","no",346,"yes","no",1,0,"unknown",1
45,"blue-collar","married","secondary","no",554,"yes","no",2,0,"unknown",1
36,"services","married","secondary","no",52,"yes","no",1,6,"success",2
19,"student","single","primary","no",103,"no","no",2,0,"unknown",2
54,"blue-collar","married","secondary","no",1291,"yes","no",1,0,"unknown",1
34,"technician","divorced","secondary","no",259,"no","no",2,0,"unknown",1
27,"admin.","single","tertiary","no",73,"no","no",1,0,"unknown",1
39,"admin.","divorced","secondary","no",952,"yes","no",1,0,"unknown",1
47,"blue-collar","married","primary","no",683,"yes","no",12,0,"unknown",1
26,"student","single","tertiary","no",10086,"no","no",2,0,"unknown",2
36,"technician","single","secondary","no",129,"yes","no",7,0,"unknown",1
34,"technician","single","tertiary","no",651,"no","no",3,0,"unknown",1
36,"management","married","tertiary","no",8277,"yes","no",1,0,"unknown",1
33,"technician","divorced","secondary","no",250,"yes","yes",1,0,"unknown",1
31,"technician","single","tertiary","no",696,"no","yes",2,0,"unknown",1
46,"admin.","single","secondary","no",596,"yes","no",3,0,"unknown",1
31,"services","married","secondary","no",1,"yes","no",1,0,"unknown",1
31,"blue-collar","married","secondary","no",326,"no","yes",1,0,"unknown",1
32,"management","single","tertiary","no",0,"no","no",1,0,"unknown",1
37,"admin.","married","secondary","no",1026,"yes","no",2,0,"unknown",1
28,"services","single","secondary","no",168,"no","no",1,1,"other",2
59,"retired","divorced","secondary","no",679,"no","no",4,0,"unknown",2
45,"blue-collar","married","primary","no",644,"yes","no",2,0,"unknown",1
48,"management","married","tertiary","no",567,"no","no",34,0,"unknown",1
33,"blue-collar","married","secondary","no",0,"yes","yes",1,0,"unknown",1
50,"services","married","secondary","no",60,"no","yes",8,0,"unknown",1
25,"admin.","single","secondary","no",0,"no","yes",1,0,"unknown",1
50,"unemployed","single","secondary","no",588,"no","no",3,0,"unknown",1
28,"technician","married","secondary","no",7102,"yes","no",3,9,"failure",1
29,"blue-collar","married","primary","no",97,"yes","no",2,0,"unknown",1
34,"blue-collar","single","secondary","no",-72,"yes","no",5,0,"unknown",1
34,"blue-collar","married","primary","no",17946,"yes","no",9,0,"unknown",1
58,"self-employed","married","tertiary","no",0,"no","no",28,0,"unknown",1
32,"blue-collar","married","primary","no",9750,"yes","no",2,0,"unknown",1
43,"management","married","tertiary","no",1781,"no","no",2,0,"unknown",1
35,"services","divorced","secondary","no",532,"yes","no",1,0,"unknown",1
76,"retired","married","unknown","no",8919,"no","no",1,0,"unknown",1
38,"services","single","secondary","no",322,"yes","no",1,0,"unknown",1
44,"admin.","married","secondary","no",1497,"no","no",1,0,"unknown",1
46,"blue-collar","married","secondary","no",1147,"yes","no",1,0,"unknown",2
26,"student","single","secondary","no",47,"yes","no",4,0,"unknown",1
50,"technician","married","secondary","no",2972,"no","no",5,0,"unknown",1
41,"blue-collar","married","primary","no",1,"no","no",1,0,"unknown",1
55,"admin.","married","secondary","no",8304,"no","no",1,0,"unknown",2
45,"unemployed","married","secondary","no",2468,"yes","no",2,0,"unknown",1
43,"technician","married","secondary","no",1650,"no","no",1,0,"unknown",1
51,"management","divorced","tertiary","no",45,"no","no",4,0,"unknown",1
55,"housemaid","married","tertiary","no",4235,"no","no",4,0,"unknown",1
42,"blue-collar","single","secondary","no",583,"no","no",3,0,"unknown",1
26,"admin.","single","secondary","no",96,"no","no",1,3,"failure",2
32,"blue-collar","single","primary","no",1918,"yes","no",1,0,"unknown",1
47,"technician","married","secondary","no",3466,"yes","no",2,0,"unknown",2
27,"admin.","single","secondary","no",3638,"no","no",5,0,"unknown",1
51,"entrepreneur","divorced","tertiary","no",58,"yes","no",1,1,"other",1
60,"management","married","tertiary","no",70,"no","no",1,0,"unknown",1
48,"management","divorced","secondary","no",122,"yes","no",1,0,"unknown",1
30,"management","married","tertiary","no",1942,"yes","yes",2,3,"other",2
37,"housemaid","married","primary","no",166,"yes","no",1,0,"unknown",1
32,"technician","married","secondary","no",4,"no","no",2,4,"failure",1
61,"admin.","married","secondary","no",1541,"no","no",1,3,"failure",1
27,"admin.","single","secondary","no",276,"yes","no",2,0,"unknown",1
38,"entrepreneur","single","tertiary","no",-274,"yes","yes",1,2,"failure",1
52,"housemaid","married","tertiary","no",554,"no","no",5,0,"unknown",1
63,"admin.","married","secondary","no",0,"yes","no",5,0,"unknown",2
51,"entrepreneur","divorced","tertiary","no",2109,"no","no",1,2,"success",1
32,"blue-collar","married","primary","no",289,"yes","no",4,0,"unknown",1
34,"blue-collar","married","secondary","no",205,"yes","yes",1,0,"unknown",1
55,"technician","single","secondary","no",149,"yes","no",15,0,"unknown",1
32,"technician","single","secondary","no",17,"no","no",15,0,"unknown",1
38,"blue-collar","single","primary","no",1351,"no","no",1,0,"unknown",1
55,"services","single","secondary","no",1126,"yes","no",1,0,"unknown",1
59,"blue-collar","married","secondary","no",-139,"no","no",1,0,"unknown",1
28,"unemployed","married","secondary","no",858,"yes","no",1,0,"unknown",1
41,"services","married","secondary","no",366,"yes","yes",2,0,"unknown",1
45,"blue-collar","married","primary","no",2128,"yes","no",4,0,"unknown",1
44,"management","married","tertiary","no",0,"yes","no",5,0,"unknown",1
60,"retired","married","tertiary","no",846,"no","no",1,0,"unknown",2
47,"technician","divorced","secondary","no",1194,"yes","yes",3,0,"unknown",1
31,"management","divorced","tertiary","no",1742,"yes","no",1,0,"unknown",1
46,"management","divorced","tertiary","no",233,"yes","yes",4,0,"unknown",1
30,"blue-collar","single","secondary","no",3532,"yes","no",5,0,"unknown",1
35,"blue-collar","single","primary","no",398,"yes","no",1,0,"unknown",1
22,"student","single","primary","no",3472,"no","no",1,3,"failure",2
46,"self-employed","married","tertiary","no",137,"yes","yes",1,0,"unknown",1
40,"technician","married","secondary","no",8536,"yes","yes",2,0,"unknown",1
38,"blue-collar","married","secondary","yes",-10,"no","no",1,0,"unknown",1
37,"management","married","tertiary","no",6771,"no","no",1,0,"unknown",2
31,"management","married","tertiary","no",-181,"yes","no",1,2,"failure",1
31,"blue-collar","married","secondary","no",3298,"yes","no",2,0,"unknown",1
41,"technician","married","secondary","no",0,"no","no",3,0,"unknown",1
39,"services","married","secondary","no",3165,"yes","no",1,2,"failure",1
36,"unemployed","divorced","primary","no",0,"no","no",3,0,"unknown",1
31,"entrepreneur","single","tertiary","no",1454,"no","no",1,0,"unknown",1
30,"blue-collar","married","primary","no",-199,"yes","yes",10,0,"unknown",1
38,"services","married","secondary","no",507,"yes","no",1,0,"unknown",1
45,"blue-collar","married","primary","no",446,"yes","no",1,0,"unknown",1
32,"management","married","tertiary","no",944,"yes","yes",1,0,"unknown",1
45,"admin.","married","secondary","no",1206,"no","no",1,3,"failure",2
48,"blue-collar","married","secondary","no",2345,"yes","yes",2,0,"unknown",1
33,"self-employed","married","tertiary","no",263,"no","no",4,3,"failure",1
58,"self-employed","married","unknown","no",1187,"yes","no",2,0,"unknown",1
57,"services","married","secondary","no",2745,"yes","no",2,0,"unknown",1
47,"management","married","secondary","no",651,"yes","no",3,0,"unknown",1
51,"blue-collar","married","primary","no",21,"no","no",1,0,"unknown",1
35,"technician","single","tertiary","no",2650,"no","no",8,0,"unknown",1
37,"management","married","tertiary","no",489,"yes","no",2,6,"failure",1
25,"blue-collar","single","secondary","no",0,"yes","no",2,0,"unknown",1
56,"blue-collar","married","secondary","no",300,"no","no",3,0,"unknown",1
39,"admin.","divorced","secondary","no",223,"yes","yes",2,0,"unknown",1
57,"blue-collar","married","secondary","no",221,"yes","no",2,0,"unknown",1
25,"management","married","tertiary","no",103,"no","no",9,0,"unknown",1
57,"management","married","secondary","no",0,"yes","no",1,0,"unknown",1
29,"technician","single","tertiary","no",2489,"yes","no",1,5,"failure",2
35,"management","married","tertiary","no",0,"no","no",1,0,"unknown",1
50,"blue-collar","married","secondary","no",3436,"yes","yes",4,0,"unknown",1
22,"student","single","secondary","no",3982,"no","no",1,0,"unknown",2
75,"retired","married","primary","no",358,"no","no",11,0,"unknown",2
31,"student","single","tertiary","no",2030,"yes","no",2,2,"failure",1
53,"housemaid","divorced","secondary","no",120,"no","no",2,0,"unknown",1
23,"services","married","secondary","no",2673,"yes","no",2,0,"unknown",1
42,"management","married","tertiary","no",-1485,"yes","no",2,0,"unknown",1
47,"management","divorced","tertiary","no",1149,"no","yes",2,0,"unknown",1
49,"blue-collar","married","tertiary","no",1769,"yes","no",2,0,"unknown",1
60,"admin.","married","secondary","no",12980,"no","no",1,0,"unknown",2
30,"management","single","secondary","no",222,"yes","no",3,0,"unknown",1
57,"technician","married","primary","no",0,"no","no",1,0,"unknown",1
38,"services","single","tertiary","no",1418,"no","no",1,0,"unknown",1
41,"technician","married","secondary","no",0,"yes","no",1,0,"unknown",1
31,"admin.","married","secondary","no",0,"yes","no",4,0,"unknown",1
26,"blue-collar","single","secondary","no",179,"no","no",3,0,"unknown",1
28,"management","single","tertiary","no",78,"no","no",2,0,"unknown",1
49,"technician","married","tertiary","no",196,"no","no",7,24,"other",1
52,"retired","married","secondary","no",411,"yes","no",3,10,"other",1
53,"management","married","tertiary","no",1945,"no","no",7,0,"unknown",1
55,"management","married","tertiary","no",540,"no","no",2,0,"unknown",1
34,"management","single","tertiary","no",171,"yes","no",1,1,"failure",1
22,"blue-collar","single","secondary","no",0,"yes","no",1,0,"unknown",1
59,"management","married","tertiary","no",202,"yes","no",6,0,"unknown",1
36,"entrepreneur","married","tertiary","no",1722,"yes","no",2,0,"unknown",1
58,"blue-collar","married","primary","no",96,"no","no",3,0,"unknown",1
28,"entrepreneur","single","unknown","no",1306,"yes","no",3,0,"unknown",1
36,"management","divorced","tertiary","no",210,"yes","no",2,0,"unknown",1
31,"technician","single","tertiary","no",252,"no","no",3,0,"unknown",2
28,"housemaid","married","secondary","no",15,"yes","no",7,0,"unknown",1
42,"blue-collar","married","unknown","no",0,"no","no",2,0,"unknown",1
30,"management","divorced","secondary","no",37,"no","no",2,0,"unknown",1
40,"blue-collar","married","secondary","no",4795,"yes","no",1,0,"unknown",1
26,"management","single","tertiary","no",2786,"no","no",1,0,"unknown",2
30,"management","single","tertiary","no",492,"yes","no",1,0,"unknown",1
31,"self-employed","married","tertiary","no",414,"no","no",5,0,"unknown",1
41,"blue-collar","married","secondary","no",1011,"yes","no",1,4,"other",1
30,"admin.","single","unknown","yes",1,"no","no",1,0,"unknown",1
47,"retired","divorced","secondary","no",47,"no","no",1,0,"unknown",1
29,"housemaid","married","secondary","no",243,"yes","no",1,0,"unknown",1
32,"admin.","married","secondary","no",3052,"yes","yes",3,4,"failure",1
40,"technician","married","secondary","no",77,"no","no",1,0,"unknown",1
69,"retired","divorced","secondary","no",344,"no","no",2,0,"unknown",1
53,"housemaid","married","primary","no",1869,"no","no",4,0,"unknown",1
57,"blue-collar","married","primary","no",1075,"no","no",6,0,"unknown",1
38,"admin.","divorced","secondary","no",1533,"yes","no",1,4,"success",1
35,"technician","single","tertiary","no",470,"yes","no",13,0,"unknown",2
38,"self-employed","married","secondary","no",-10,"no","no",7,0,"unknown",1
38,"management","married","tertiary","no",6999,"no","no",2,0,"unknown",1
54,"housemaid","divorced","tertiary","no",1241,"no","no",5,0,"unknown",1
42,"services","married","secondary","no",0,"yes","no",4,0,"unknown",1
55,"housemaid","married","primary","no",1870,"no","no",1,0,"unknown",1
48,"technician","married","secondary","no",32,"yes","yes",2,0,"unknown",1
54,"management","married","tertiary","no",67,"yes","no",3,1,"other",1
38,"blue-collar","married","primary","no",1428,"yes","no",5,0,"unknown",1
36,"blue-collar","married","secondary","no",1409,"no","no",2,0,"unknown",1
49,"management","married","primary","no",267,"yes","no",5,0,"unknown",1
60,"management","married","tertiary","no",474,"no","no",5,3,"other",2
51,"retired","married","secondary","no",509,"yes","no",4,0,"unknown",1
38,"self-employed","single","secondary","no",4056,"no","no",2,0,"unknown",1
37,"services","married","secondary","no",4151,"yes","yes",4,0,"unknown",2
35,"blue-collar","married","primary","no",147,"yes","no",1,3,"failure",1
27,"unknown","single","secondary","no",1187,"no","no",1,1,"failure",2
37,"entrepreneur","married","secondary","no",0,"yes","yes",2,0,"unknown",1
73,"retired","divorced","tertiary","no",3203,"no","no",1,0,"unknown",2
36,"blue-collar","married","secondary","no",138,"yes","no",3,0,"unknown",1
28,"blue-collar","single","secondary","no",39,"no","no",7,0,"unknown",1
29,"blue-collar","single","secondary","no",992,"yes","yes",2,0,"unknown",1
32,"services","single","secondary","no",2478,"no","yes",1,0,"unknown",1
58,"blue-collar","married","secondary","no",343,"yes","no",4,0,"unknown",1
48,"management","divorced","tertiary","no",851,"no","yes",3,0,"unknown",1
40,"services","married","secondary","no",0,"yes","no",1,0,"unknown",1
57,"unemployed","married","secondary","no",1350,"no","no",1,1,"failure",1
46,"management","single","secondary","yes",177,"no","no",1,0,"unknown",1
42,"admin.","married","secondary","no",947,"no","no",2,0,"unknown",1
51,"admin.","single","secondary","no",726,"yes","no",8,0,"unknown",2
45,"management","divorced","tertiary","no",2096,"no","no",2,0,"unknown",1
40,"technician","single","secondary","no",-239,"no","no",2,0,"unknown",1
57,"technician","married","primary","no",19,"yes","no",1,0,"unknown",1
53,"management","single","secondary","no",5558,"yes","no",3,0,"unknown",1
43,"services","married","secondary","no",-456,"yes","no",4,0,"unknown",1
47,"technician","married","tertiary","no",2408,"no","no",1,0,"unknown",2
50,"admin.","divorced","secondary","no",-458,"yes","no",2,0,"unknown",1
41,"self-employed","divorced","tertiary","no",-319,"no","no",3,0,"unknown",1
40,"services","single","secondary","no",23,"yes","no",5,0,"unknown",1
32,"management","single","tertiary","no",0,"yes","yes",2,0,"unknown",1
28,"unemployed","single","tertiary","no",497,"yes","no",6,0,"unknown",2
72,"retired","married","primary","no",4657,"no","no",1,8,"success",2
48,"technician","married","unknown","no",2106,"yes","no",2,1,"failure",1
46,"technician","married","secondary","no",1167,"yes","no",2,0,"unknown",2
42,"management","married","primary","no",860,"yes","no",3,0,"unknown",1
36,"management","married","tertiary","no",222,"yes","no",1,2,"failure",1
26,"entrepreneur","single","tertiary","no",255,"yes","no",1,0,"unknown",1
33,"technician","single","tertiary","no",2164,"yes","no",11,0,"unknown",1
58,"admin.","married","secondary","no",0,"yes","no",2,0,"unknown",1
41,"blue-collar","single","primary","no",156,"yes","no",5,0,"unknown",1
36,"entrepreneur","married","tertiary","no",99,"yes","yes",3,0,"unknown",1
43,"services","married","secondary","no",978,"yes","yes",2,0,"unknown",1
48,"technician","divorced","tertiary","no",574,"yes","no",2,0,"unknown",1
51,"technician","married","secondary","no",317,"no","no",4,0,"unknown",1
49,"services","married","secondary","yes",-249,"no","no",5,0,"unknown",1
49,"management","single","tertiary","no",1350,"yes","yes",1,0,"unknown",1
30,"technician","married","tertiary","no",0,"no","no",9,0,"unknown",1
36,"admin.","single","secondary","no",47,"no","yes",6,0,"unknown",1
45,"blue-collar","married","primary","no",137,"yes","yes",19,0,"unknown",1
32,"blue-collar","married","secondary","no",17332,"yes","yes",1,0,"unknown",1
49,"blue-collar","married","secondary","no",5058,"no","no",2,4,"failure",1
36,"blue-collar","married","secondary","yes",-347,"yes","yes",3,0,"unknown",1
43,"management","married","tertiary","no",13015,"yes","no",1,0,"unknown",1
39,"services","divorced","secondary","no",-152,"yes","no",3,0,"unknown",1
34,"technician","single","secondary","no",4367,"no","no",2,0,"unknown",1
47,"blue-collar","married","primary","no",-301,"yes","no",1,0,"unknown",1
33,"housemaid","married","tertiary","no",0,"no","no",1,0,"unknown",1
35,"technician","single","secondary","no",966,"no","no",2,0,"unknown",1
48,"blue-collar","married","secondary","no",2214,"no","no",7,0,"unknown",1
34,"admin.","married","secondary","no",1406,"yes","no",1,0,"unknown",2
45,"services","married","primary","no",-79,"yes","no",4,2,"failure",1
40,"blue-collar","married","primary","no",137,"no","yes",1,0,"unknown",1
32,"technician","married","secondary","no",524,"no","no",1,1,"failure",1
58,"management","married","secondary","no",37,"no","no",11,0,"unknown",1
29,"student","single","tertiary","no",3054,"no","no",1,7,"success",1
57,"technician","married","secondary","no",7554,"no","no",1,0,"unknown",2
50,"housemaid","married","tertiary","no",1005,"no","no",3,0,"unknown",1
40,"admin.","single","tertiary","no",1005,"yes","no",1,0,"unknown",1
41,"services","divorced","secondary","no",727,"yes","no",1,0,"unknown",1
28,"blue-collar","single","secondary","no",0,"yes","no",3,0,"unknown",1
58,"retired","divorced","secondary","no",63,"no","no",1,0,"unknown",1
46,"management","divorced","tertiary","no",1297,"no","no",3,0,"unknown",2
63,"blue-collar","married","secondary","no",180,"no","no",2,5,"success",2
31,"blue-collar","married","primary","no",2,"yes","yes",1,0,"unknown",1
33,"technician","single","secondary","no",0,"no","no",4,0,"unknown",1
23,"student","single","tertiary","no",113,"no","no",1,0,"unknown",2
40,"blue-collar","married","secondary","no",755,"no","no",1,1,"failure",1
32,"technician","divorced","secondary","no",273,"yes","no",1,0,"unknown",1
34,"technician","married","secondary","no",0,"yes","no",1,0,"unknown",1
61,"retired","married","tertiary","no",5267,"no","no",7,3,"success",1
35,"blue-collar","married","secondary","no",527,"yes","yes",1,0,"unknown",1
48,"blue-collar","married","primary","no",418,"yes","no",3,0,"unknown",1
35,"admin.","married","primary","no",136,"yes","no",1,0,"unknown",1
34,"management","single","tertiary","no",340,"yes","no",28,0,"unknown",1
36,"technician","married","tertiary","no",4388,"no","no",3,0,"unknown",1
35,"admin.","single","primary","no",8,"yes","no",18,0,"unknown",1
57,"unknown","married","unknown","no",19268,"no","no",1,0,"unknown",2
32,"blue-collar","single","secondary","no",8859,"yes","no",1,0,"unknown",1
56,"entrepreneur","divorced","tertiary","no",22946,"no","no",3,0,"unknown",1
44,"technician","married","primary","no",177,"yes","no",4,0,"unknown",1
37,"entrepreneur","married","secondary","no",209,"yes","no",1,0,"unknown",1
49,"technician","married","secondary","no",133,"no","no",5,0,"unknown",1
26,"student","single","secondary","no",611,"no","no",2,3,"failure",1
29,"services","married","secondary","no",340,"yes","yes",1,0,"unknown",1
71,"retired","married","tertiary","no",4388,"no","no",1,3,"other",1
59,"retired","married","secondary","no",11,"no","no",2,0,"unknown",1
41,"services","married","unknown","no",4,"no","no",2,0,"unknown",1
37,"blue-collar","married","primary","no",0,"no","no",2,1,"failure",1
52,"management","married","tertiary","no",-1224,"yes","no",4,0,"unknown",1
58,"management","married","tertiary","no",1394,"no","no",1,1,"other",1
36,"blue-collar","married","primary","no",828,"no","no",1,8,"failure",2
57,"blue-collar","single","primary","no",3495,"no","yes",3,0,"unknown",1
39,"technician","divorced","secondary","no",0,"yes","yes",1,0,"unknown",1
32,"management","single","tertiary","no",1131,"yes","no",2,0,"unknown",1
37,"management","divorced","tertiary","no",1170,"yes","yes",1,0,"unknown",1
60,"housemaid","married","secondary","no",681,"no","yes",1,0,"unknown",1
42,"entrepreneur","married","tertiary","no",42045,"no","no",2,0,"unknown",1
48,"admin.","married","secondary","no",476,"no","no",3,0,"unknown",1
29,"technician","married","tertiary","no",676,"no","no",4,0,"unknown",1
51,"management","divorced","tertiary","no",-79,"yes","no",1,0,"unknown",1
49,"blue-collar","married","secondary","no",1039,"yes","no",2,1,"failure",1
41,"technician","married","secondary","no",1602,"yes","no",1,0,"unknown",1
44,"blue-collar","married","primary","no",2791,"no","no",1,0,"unknown",1
51,"technician","divorced","secondary","no",5964,"yes","no",4,0,"unknown",1
59,"services","married","secondary","no",0,"yes","no",3,0,"unknown",1
27,"unemployed","single","primary","no",9,"no","yes",2,0,"unknown",2
59,"retired","married","primary","yes",-488,"no","yes",1,0,"unknown",1
58,"blue-collar","divorced","primary","no",2716,"no","no",2,0,"unknown",1
53,"technician","divorced","secondary","no",173,"no","yes",1,0,"unknown",1
46,"technician","married","secondary","no",0,"yes","no",2,0,"unknown",1
38,"admin.","married","secondary","no",505,"yes","yes",2,0,"unknown",1
44,"technician","single","secondary","no",7138,"no","no",2,0,"unknown",2
37,"technician","married","primary","no",1653,"yes","yes",2,10,"failure",1
32,"blue-collar","married","primary","no",-94,"yes","yes",1,0,"unknown",1
60,"retired","married","primary","no",0,"no","no",3,0,"unknown",1
74,"retired","married","primary","no",1413,"no","no",2,0,"unknown",2
49,"technician","married","tertiary","no",523,"yes","no",1,2,"success",1
40,"entrepreneur","divorced","tertiary","no",992,"yes","no",2,0,"unknown",1
34,"technician","married","secondary","no",0,"yes","no",2,3,"success",2
45,"blue-collar","married","secondary","yes",-605,"yes","no",5,0,"unknown",1
36,"blue-collar","married","secondary","no",722,"yes","no",7,0,"unknown",1
38,"admin.","married","secondary","no",326,"yes","no",2,0,"unknown",1
47,"admin.","married","unknown","no",66,"no","no",1,0,"unknown",2
46,"services","married","secondary","no",375,"no","no",6,0,"unknown",1
33,"blue-collar","single","primary","no",557,"yes","no",2,2,"failure",1
32,"technician","married","secondary","no",1389,"yes","no",2,0,"unknown",1
33,"technician","single","secondary","no",9,"no","yes",8,0,"unknown",1
40,"admin.","married","tertiary","no",0,"yes","no",2,0,"unknown",1
34,"blue-collar","married","primary","no",571,"yes","no",2,0,"unknown",1
34,"blue-collar","married","secondary","no",7216,"yes","no",2,0,"unknown",1
27,"management","single","tertiary","no",592,"no","no",1,3,"failure",1
24,"technician","single","secondary","no",81,"yes","no",1,0,"unknown",1
43,"blue-collar","married","primary","no",0,"yes","no",1,0,"unknown",1
54,"blue-collar","married","primary","no",836,"yes","no",1,3,"other",1
51,"admin.","divorced","secondary","no",2717,"no","no",2,0,"unknown",1
49,"entrepreneur","married","primary","no",10772,"no","no",2,0,"unknown",1
53,"blue-collar","divorced","primary","no",1815,"yes","no",1,0,"unknown",1
33,"technician","single","secondary","no",287,"yes","no",1,8,"failure",1
34,"blue-collar","married","secondary","no",-100,"yes","no",9,0,"unknown",1
