"","App","Category","Rating","Reviews","Installs","Type","Price","Content.Rating","log_Installs","paid"
"3010","Yahoo Fantasy Sports - #1 Rated Fantasy App","SPORTS",4.2,2638,"5000000","Free",0,"Mature 17+",15.4249484703984,0
"3011","ESPN","SPORTS",4.2,4320,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3012","NFL","SPORTS",4.1,3984,"50000000","Free",0,"Everyone",17.7275335633924,0
"3013","Bleacher Report: sports news, scores, & highlights","SPORTS",4.4,515,"5000000","Free",0,"Everyone 10+",15.4249484703984,0
"3014","ESPN Fantasy Sports","SPORTS",4,1443,"5000000","Free",0,"Everyone",15.4249484703984,0
"3015","theScore: Live Sports Scores, News, Stats & Videos","SPORTS",4.4,742,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3016","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5774,"5000000","Free",0,"Everyone",15.4249484703984,0
"3017","WatchESPN","SPORTS",4.1,2735,"10000000","Free",0,"Everyone",16.1180956509583,0
"3018","CBS Sports Fantasy","SPORTS",4,3846,"1000000","Free",0,"Everyone",13.8155105579643,0
"3019","ESPN","SPORTS",4.2,4320,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3020","MLB At Bat","SPORTS",4.2,5544,"5000000","Free",0,"Everyone",15.4249484703984,0
"3021","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5774,"5000000","Free",0,"Everyone",15.4249484703984,0
"3022","NBC Sports","SPORTS",3.1,5396,"5000000","Free",0,"Everyone",15.4249484703984,0
"3023","WatchESPN","SPORTS",4.1,2735,"10000000","Free",0,"Everyone",16.1180956509583,0
"3024","NBC Sports Gold","SPORTS",2.9,2869,"100000","Free",0,"Everyone",11.5129254649702,0
"3025","UFC","SPORTS",4,2933,"1000000","Free",0,"Teen",13.8155105579643,0
"3026","Telemundo Deportes - Live","SPORTS",4.5,3350,"1000000","Free",0,"Everyone",13.8155105579643,0
"3027","SwingAid - Level up Golf","SPORTS",4.3,5277,"100000","Free",0,"Everyone",11.5129254649702,0
"3028","Golf Channel","SPORTS",4.1,1662,"1000000","Free",0,"Everyone",13.8155105579643,0
"3029","The Rules of Golf","SPORTS",4.3,5814,"100000","Free",0,"Everyone",11.5129254649702,0
"3030","GolfNow: Tee Time Deals at Golf Courses, Golf GPS","SPORTS",4.5,2473,"1000000","Free",0,"Everyone",13.8155105579643,0
"3031","Golf GPS by SwingxSwing","SPORTS",4.6,3420,"1000000","Free",0,"Everyone",13.8155105579643,0
"3032","Zepp Golf Swing Analyzer","SPORTS",4.4,1772,"100000","Free",0,"Everyone",11.5129254649702,0
"3033","Live Golf Scores - US & European Golf","SPORTS",4.2,5437,"50000","Free",0,"Everyone 10+",10.8197782844103,0
"3034","Golfshot: Golf GPS + Tee Times","SPORTS",4.3,5282,"500000","Free",0,"Everyone",13.1223633774043,0
"3035","PGA TOUR LIVE","SPORTS",3.4,1540,"100000","Free",0,"Everyone",11.5129254649702,0
"3036","Golf GPS Rangefinder: Golf Pad","SPORTS",4.6,688,"1000000","Free",0,"Everyone",13.8155105579643,0
"3037","Mobitee GPS Golf Free","SPORTS",4.2,1635,"100000","Free",0,"Everyone",11.5129254649702,0
"3038","Hole19: Golf GPS App, Rangefinder & Scorecard","SPORTS",4.4,4732,"100000","Free",0,"Everyone",11.5129254649702,0
"3039","GolfLogix GPS + Putt Breaks","SPORTS",4,275,"1000000","Free",0,"Everyone",13.8155105579643,0
"3040","Golfshot Plus: Golf GPS","SPORTS",4.1,3174,"50000","Paid",29.99,"Everyone",10.8197782844103,1
"3041","PGA TOUR","SPORTS",4,293,"1000000","Free",0,"Everyone",13.8155105579643,0
"3042","FanDuel: Daily Fantasy Sports","SPORTS",4.6,2821,"1000000","Free",0,"Mature 17+",13.8155105579643,0
"3043","Yahoo Fantasy Sports - #1 Rated Fantasy App","SPORTS",4.2,2640,"5000000","Free",0,"Mature 17+",15.4249484703984,0
"3044","DraftKings - Daily Fantasy Sports","SPORTS",4.5,4210,"1000000","Free",0,"Adults only 18+",13.8155105579643,0
"3045","Fantasy Football Manager (FPL)","SPORTS",4.4,4850,"1000000","Free",0,"Everyone",13.8155105579643,0
"3046","ESPN Fantasy Sports","SPORTS",4,1444,"5000000","Free",0,"Everyone",15.4249484703984,0
"3047","Fantasy Football","SPORTS",3.5,4219,"1000000","Free",0,"Everyone",13.8155105579643,0
"3048","CBS Sports Fantasy","SPORTS",4,3846,"1000000","Free",0,"Everyone",13.8155105579643,0
"3049","ESPN","SPORTS",4.2,4321,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3050","US Open Tennis Championships 2018","SPORTS",4,5999,"1000000","Free",0,"Everyone",13.8155105579643,0
"3051","Bleacher Report: sports news, scores, & highlights","SPORTS",4.4,516,"5000000","Free",0,"Everyone 10+",15.4249484703984,0
"3052","Live Tennis Rankings / LTR","SPORTS",4.8,1295,"10000","Free",0,"Everyone",9.21034037197618,0
"3053","Tennis Livescore Widget","SPORTS",4.1,3339,"50000","Free",0,"Everyone",10.8197782844103,0
"3054","Tennis Temple - Live Scores","SPORTS",4.6,4366,"100000","Free",0,"Everyone",11.5129254649702,0
"3055","The Championships, Wimbledon 2018","SPORTS",4.3,2237,"1000000","Free",0,"Everyone",13.8155105579643,0
"3056","theScore: Live Sports Scores, News, Stats & Videos","SPORTS",4.4,743,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3057","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5775,"5000000","Free",0,"Everyone",15.4249484703984,0
"3058","Tennis 24 - tennis live scores","SPORTS",4.6,5978,"100000","Free",0,"Everyone",11.5129254649702,0
"3059","Yahoo Sports - scores, stats, news, & highlights","SPORTS",4.5,3047,"1000000","Free",0,"Everyone",13.8155105579643,0
"3060","Tennis News and Scores","SPORTS",4.3,32,"10000","Free",0,"Everyone",9.21034037197618,0
"3061","ESPN","SPORTS",4.2,4321,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3062","Bleacher Report: sports news, scores, & highlights","SPORTS",4.4,516,"5000000","Free",0,"Everyone 10+",15.4249484703984,0
"3063","MLB At Bat","SPORTS",4.2,5545,"5000000","Free",0,"Everyone",15.4249484703984,0
"3064","theScore: Live Sports Scores, News, Stats & Videos","SPORTS",4.4,743,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3065","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5775,"5000000","Free",0,"Everyone",15.4249484703984,0
"3066","MSN Sports - Scores & Schedule","SPORTS",4.5,3290,"500000","Free",0,"Everyone",13.1223633774043,0
"3067","Yahoo Sports - scores, stats, news, & highlights","SPORTS",4.5,3047,"1000000","Free",0,"Everyone",13.8155105579643,0
"3068","WatchESPN","SPORTS",4.1,2735,"10000000","Free",0,"Everyone",16.1180956509583,0
"3069","FOX Sports: Live Streaming, Scores & News","SPORTS",4,2739,"5000000","Free",0,"Teen",15.4249484703984,0
"3070","FotMob - Live Soccer Scores","SPORTS",4.7,3672,"10000000","Free",0,"Everyone",16.1180956509583,0
"3071","Sports Alerts - NFL edition","SPORTS",4.6,389,"100000","Free",0,"Everyone",11.5129254649702,0
"3072","Yahoo Fantasy Sports - #1 Rated Fantasy App","SPORTS",4.2,2640,"5000000","Free",0,"Mature 17+",15.4249484703984,0
"3073","ESPN","SPORTS",4.2,4321,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3074","NCAA March Madness Live","SPORTS",4.1,3192,"5000000","Free",0,"Everyone",15.4249484703984,0
"3075","NFL","SPORTS",4.1,3985,"50000000","Free",0,"Everyone",17.7275335633924,0
"3076","SportsManias Fantasy Team News","SPORTS",3.5,3631,"500000","Free",0,"Everyone",13.1223633774043,0
"3077","Thuuz Sports","SPORTS",4.5,4469,"500000","Free",0,"Everyone",13.1223633774043,0
"3078","NCAA Sports","SPORTS",3.9,3790,"500000","Free",0,"Everyone",13.1223633774043,0
"3079","850 Sports News Digest","SPORTS",4.6,4403,"10000","Free",0,"Everyone",9.21034037197618,0
"3080","US Open Tennis Championships 2018","SPORTS",4,5999,"1000000","Free",0,"Everyone",13.8155105579643,0
"3081","Bleacher Report: sports news, scores, & highlights","SPORTS",4.4,516,"5000000","Free",0,"Everyone 10+",15.4249484703984,0
"3082","MLB At Bat","SPORTS",4.2,5545,"5000000","Free",0,"Everyone",15.4249484703984,0
"3083","FIFA - Tournaments, Soccer News & Live Scores","SPORTS",4.2,3207,"10000000","Free",0,"Everyone",16.1180956509583,0
"3084","365Scores - Live Scores","SPORTS",4.6,4962,"10000000","Free",0,"Everyone",16.1180956509583,0
"3085","Cricbuzz - Live Cricket Scores & News","SPORTS",4.5,5570,"50000000","Free",0,"Everyone",17.7275335633924,0
"3086","theScore: Live Sports Scores, News, Stats & Videos","SPORTS",4.4,743,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"3087","Fantasy Football & NFL News","SPORTS",4.5,2792,"100000","Free",0,"Everyone",11.5129254649702,0
"3088","NBA","SPORTS",4.4,225,"10000000","Free",0,"Everyone",16.1180956509583,0
"3089","Golfshot: Golf GPS + Tee Times","SPORTS",4.3,5282,"500000","Free",0,"Everyone",13.1223633774043,0
"3090","BBC Sport","SPORTS",4.2,1581,"1000000","Free",0,"Everyone",13.8155105579643,0
"3091","CBS Sports App - Scores, News, Stats & Watch Live","SPORTS",4.3,5775,"5000000","Free",0,"Everyone",15.4249484703984,0
"3092","Yahoo Sports - scores, stats, news, & highlights","SPORTS",4.5,3047,"1000000","Free",0,"Everyone",13.8155105579643,0
"3093","NHL","SPORTS",4,5048,"5000000","Free",0,"Everyone",15.4249484703984,0
"3094","NASCAR MOBILE","SPORTS",4.2,5472,"1000000","Free",0,"Everyone",13.8155105579643,0
"3095","WatchESPN","SPORTS",4.1,2735,"10000000","Free",0,"Everyone",16.1180956509583,0
"3096","MLB Ballpark","SPORTS",3.9,4467,"1000000","Free",0,"Everyone",13.8155105579643,0
"3097","Univision Deportes: Liga MX, MLS, Fútbol Live","SPORTS",4.2,5283,"5000000","Free",0,"Everyone",15.4249484703984,0
"3098","FOX Sports: Live Streaming, Scores & News","SPORTS",4,2739,"5000000","Free",0,"Teen",15.4249484703984,0
"3099","Fantasy Football","SPORTS",3.5,4219,"1000000","Free",0,"Everyone",13.8155105579643,0
"3100","PGA TOUR","SPORTS",4,293,"1000000","Free",0,"Everyone",13.8155105579643,0
"3101","UFC","SPORTS",4,2933,"1000000","Free",0,"Teen",13.8155105579643,0
"3102","Real Basketball","SPORTS",4.5,1208,"10000000","Free",0,"Everyone",16.1180956509583,0
"3915","Basketball Stars","SPORTS",4.4,5663,"10000000","Free",0,"Everyone",16.1180956509583,0
"3940","Be A Legend: Soccer","SPORTS",3.8,5630,"1000000","Free",0,"Everyone",13.8155105579643,0
"3954","8 Ball Pool","SPORTS",4.5,877,"100000000","Free",0,"Everyone",18.4206807439524,0
"4055","3D Bowling","SPORTS",4.1,205,"100000000","Free",0,"Everyone",18.4206807439524,0
"4057","Dream League Soccer 2018","SPORTS",4.6,5962,"100000000","Free",0,"Everyone",18.4206807439524,0
"4070","ESPN","SPORTS",4.2,4318,"10000000","Free",0,"Everyone 10+",16.1180956509583,0
"4092","theScore esports","SPORTS",4.5,1244,"500000","Free",0,"Everyone 10+",13.1223633774043,0
"4160","Wrestling Revolution 3D","SPORTS",4.3,5973,"50000000","Free",0,"Teen",17.7275335633924,0
"4167","G-Force Driving Assistant","SPORTS",4.6,3,"100","Paid",3.88,"Everyone",4.60517018598809,1
"4237","I'm Ping Pong King :)","SPORTS",4.4,2843,"1000000","Free",0,"Everyone",13.8155105579643,0
"4257","The J-Notes: Jazz News","SPORTS",NA,5095,"1000","Free",0,"Everyone 10+",6.90775527898214,0
"4434","O'Route Orienteering","SPORTS",4.2,4686,"100","Paid",3.02,"Everyone",4.60517018598809,1
"4701","Mike V: Skateboard Party PRO","SPORTS",4.2,2352,"50000","Paid",3.99,"Everyone",10.8197782844103,1
"4999","AE Basketball","SPORTS",4,5479,"1000000","Free",0,"Everyone",13.8155105579643,0
"5010","AE Archer","SPORTS",3.9,5652,"500000","Free",0,"Everyone",13.1223633774043,0
"5031","AE Air Hockey","SPORTS",3.8,5814,"50000","Free",0,"Everyone",10.8197782844103,0
"5076","All Football - Latest News & Videos","SPORTS",4.6,1074,"10000000","Free",0,"Everyone",16.1180956509583,0
"5087","Apps for SportsBєtting.ag - Bitcoin Welcome here!","SPORTS",NA,1,"1000","Free",0,"Everyone",6.90775527898214,0
"5168","Ah! Bird","SPORTS",3.5,1331,"100000","Free",0,"Everyone",11.5129254649702,0
"5316","Alabama Gameday Live","SPORTS",4.7,1627,"1000","Free",0,"Everyone",6.90775527898214,0
"5317","AL.com: Alabama Football News","SPORTS",4.5,3978,"10000","Free",0,"Everyone 10+",9.21034037197618,0
"5387","League of Gamers - Be an E-Sports Legend!","SPORTS",4.5,5024,"5000000","Free",0,"Everyone",15.4249484703984,0
"5416","365Scores - Live Scores","SPORTS",4.6,4961,"10000000","Free",0,"Everyone",16.1180956509583,0
"5417","PES 2018 PRO EVOLUTION SOCCER","SPORTS",4.4,1383,"10000000","Free",0,"Everyone",16.1180956509583,0
"5421","Tennis Champion 3D - Online Sports Game","SPORTS",4,1365,"5000000","Free",0,"Everyone",15.4249484703984,0
"5425","SofaScore Live Score","SPORTS",4.8,2020,"10000000","Free",0,"Everyone",16.1180956509583,0
"5428","Ultimate Tennis","SPORTS",4.3,1522,"10000000","Free",0,"Everyone",16.1180956509583,0
"5430","Soccer Star 2018 Top Leagues · MLS Soccer Games","SPORTS",4.6,4913,"10000000","Free",0,"Teen",16.1180956509583,0
"5433","Range Master: Sniper Academy","SPORTS",4.1,5797,"10000000","Free",0,"Everyone",16.1180956509583,0
"5435","FC Barcelona Official App","SPORTS",4.6,5813,"5000000","Free",0,"Everyone",15.4249484703984,0
"5439","3D Tennis","SPORTS",4.2,25,"50000000","Free",0,"Everyone",17.7275335633924,0
"5443","WGT Golf Game by Topgolf","SPORTS",4.3,980,"10000000","Free",0,"Everyone",16.1180956509583,0
"5491","True Skate","SPORTS",4.4,649,"1000000","Paid",1.99,"Everyone",13.8155105579643,1
"5511","AQ Coach","SPORTS",NA,1,"5","Free",0,"Everyone",1.6094379124341,0
"5574","AS - News and sports results.","SPORTS",3.7,1862,"1000000","Free",0,"Everyone",13.8155105579643,0
"5575","MARCA - Diario Líder Deportivo","SPORTS",3.9,5317,"5000000","Free",0,"Everyone",15.4249484703984,0
"5578","AS Guía de las Ligas 2017-2018","SPORTS",4.1,3855,"100000","Free",0,"Everyone",11.5129254649702,0
"5621","MLB At Bat","SPORTS",4.2,5543,"5000000","Free",0,"Everyone",15.4249484703984,0
"5663","Rugby AU","SPORTS",2.7,1349,"1000","Free",0,"Everyone",6.90775527898214,0
"5670","Top #5 Bσσkie in AU","SPORTS",NA,1,"100","Free",0,"Everyone",4.60517018598809,0
"5687","Predator Calls for Hunting AU","SPORTS",4.4,2561,"10000","Free",0,"Everyone",9.21034037197618,0
"5821","Ax 3 Domaines","SPORTS",4.5,467,"1000","Free",0,"Everyone",6.90775527898214,0
"5949","PBA® Bowling Challenge","SPORTS",4.3,2255,"10000000","Free",0,"Everyone",16.1180956509583,0
"5956","Hunt Buddy BC","SPORTS",4.4,1380,"5000","Paid",2.99,"Everyone",8.51719319141624,1
"5958","iHunter BC","SPORTS",4.4,4460,"1000","Paid",4.49,"Everyone",6.90775527898214,1
"5960","iFish BC","SPORTS",3.6,2344,"1000","Paid",3.99,"Everyone",6.90775527898214,1
"5987","BC Hockey","SPORTS",3.7,1746,"1000","Free",0,"Everyone",6.90775527898214,0
"6026","BD CRICKET LIVE","SPORTS",4.6,542,"100000","Free",0,"Everyone",11.5129254649702,0
"6034","BANGLA TV 3G/4G","SPORTS",4.1,882,"100000","Free",0,"Everyone",11.5129254649702,0
"6061","Be the Manager 2018 - Football Strategy","SPORTS",4.3,5285,"100000","Free",0,"Everyone",11.5129254649702,0
"6068","Top Eleven 2018 - Be a Soccer Manager","SPORTS",4.4,3228,"50000000","Free",0,"Everyone",17.7275335633924,0
"6070","Be the Manager 2016 (football)","SPORTS",4.2,3835,"100000","Free",0,"Everyone",11.5129254649702,0
"6128","BG Score","SPORTS",2.6,4870,"10000","Free",0,"Everyone",9.21034037197618,0
"6163","BG Torneos","SPORTS",NA,5095,"100","Free",0,"Everyone",4.60517018598809,0
"6171","BG Cricket","SPORTS",NA,4686,"500","Free",0,"Everyone",6.21460809842219,0
"6224","BH Bikes Premium","SPORTS",3,2463,"1000","Free",0,"Everyone",6.90775527898214,0
"6226","BH Bikes GPS Locator","SPORTS",NA,1,"10","Free",0,"Everyone",2.30258509299405,0
"6285","Pool Billiards Classic - bi a","SPORTS",3.9,4526,"1000000","Free",0,"Everyone",13.8155105579643,0
"6349","BJJ Roadmap by Stephan Kesting","SPORTS",4.6,5925,"10000","Free",0,"Everyone",9.21034037197618,0
"6453","B.M.Snowboard Free","SPORTS",3.9,5938,"1000000","Free",0,"Everyone",13.8155105579643,0
"6458","Basket Manager 2018 Pro","SPORTS",3.7,5575,"1000","Paid",2.99,"Everyone",6.90775527898214,1
"6464","Basket Manager 2018 Free","SPORTS",3.4,1062,"50000","Free",0,"Everyone",10.8197782844103,0
"6466","Basket Manager 2017 Free","SPORTS",4.5,2569,"100000","Free",0,"Everyone",11.5129254649702,0
"6477","Basket Manager 2016 Free","SPORTS",4.3,1597,"100000","Free",0,"Everyone",11.5129254649702,0
"6483","BM Tahmin: Ücretsiz İddaa Tahminleri","SPORTS",NA,5095,"500","Free",0,"Everyone",6.21460809842219,0
"6490","Bet Master Pro Soccer Predictions","SPORTS",4.4,3086,"10000","Free",0,"Everyone",9.21034037197618,0
"6492","Basket Manager 2016 Pro","SPORTS",4.5,424,"1000","Paid",0.99,"Everyone",6.90775527898214,1
"6497","Basket Manager 2017 Pro","SPORTS",4.7,1251,"1000","Paid",0.99,"Everyone",6.90775527898214,1
"6514","[BN] Blitz","SPORTS",3.2,3589,"100","Free",0,"Everyone",4.60517018598809,0
"6639","BQ Llicència","SPORTS",NA,1484,"5000","Free",0,"Everyone",8.51719319141624,0
"6674","Bleacher Report: sports news, scores, & highlights","SPORTS",4.4,514,"5000000","Free",0,"Everyone 10+",15.4249484703984,0
"6679","Bleacher Report Live","SPORTS",4,2152,"50000","Free",0,"Everyone",10.8197782844103,0
"6809","BT Speed","SPORTS",NA,2855,"10","Paid",4.8,"Everyone",2.30258509299405,1
"6834","BU Bison Nation","SPORTS",3.5,3589,"100","Free",0,"Everyone",4.60517018598809,0
"6867","BV Bombers","SPORTS",NA,1,"100","Free",0,"Everyone",4.60517018598809,0
"6880","BV Frankfurt inside","SPORTS",NA,2855,"50","Free",0,"Everyone",3.91202300542815,0
"6938","BW Fuhlenbrock","SPORTS",NA,3589,"100","Free",0,"Everyone",4.60517018598809,0
"6978","Fists For Fighting (Fx3)","SPORTS",3.9,832,"10000000","Free",0,"Teen",16.1180956509583,0
"7107","Cricbuzz - Live Cricket Scores & News","SPORTS",4.5,5568,"50000000","Free",0,"Everyone",17.7275335633924,0
"7141","Cádiz CB Gades","SPORTS",NA,2,"10","Free",0,"Everyone",2.30258509299405,0
"7172","CD JUANITO","SPORTS",NA,4686,"500","Free",0,"Everyone",6.21460809842219,0
"7189","CD Padel Mora","SPORTS",NA,2,"50","Free",0,"Everyone",3.91202300542815,0
"7206","Ultra CE calculator","SPORTS",4.2,2655,"1000","Free",0,"Everyone",6.90775527898214,0
"7270","Cacique CF","SPORTS",NA,1627,"100","Free",0,"Everyone",4.60517018598809,0
"7276","Cluster CF","SPORTS",NA,3,"100","Free",0,"Everyone",4.60517018598809,0
"7278","Imperium CF","SPORTS",NA,5743,"500","Free",0,"Everyone",6.21460809842219,0
"7279","Azulones Getafe CF Fans","SPORTS",NA,3589,"100","Free",0,"Teen",4.60517018598809,0
"7297","CG Smart","SPORTS",NA,1745,"100","Free",0,"Everyone",4.60517018598809,0
"7316","Betting Tips / Sports Tips by CG Tipster","SPORTS",4.1,2976,"10000","Free",0,"Everyone",9.21034037197618,0
"7336","Dive-Store.ch","SPORTS",NA,1,"5","Paid",1.99,"Everyone",1.6094379124341,1
"7517","Cl-app!","SPORTS",NA,3666,"10000","Free",0,"Everyone",9.21034037197618,0
"7714","Sporting CP Keyboard Theme","SPORTS",NA,3924,"5000","Free",0,"Everyone",8.51719319141624,0
"7755","CricQuick","SPORTS",5,1349,"50","Free",0,"Everyone",3.91202300542815,0
"7793","Jetting for Honda CR dirt bike","SPORTS",4.1,5095,"100","Paid",3.49,"Everyone",4.60517018598809,1
"8053","CX_WiFiUFO","SPORTS",3.7,5510,"100000","Free",0,"Everyone",11.5129254649702,0
"8075","Absolute RC Heli Simulator","SPORTS",3.9,4915,"10000","Paid",4.99,"Everyone",9.21034037197618,1
"8167","TeeTime.cz","SPORTS",4.6,1266,"10000","Free",0,"Everyone",9.21034037197618,0
"8171","Da Fit","SPORTS",3.5,382,"10000","Free",0,"Everyone",9.21034037197618,0
"8184","Soccer FC","SPORTS",3.9,4817,"1000000","Free",0,"Everyone",13.8155105579643,0
"8326","DF Coaching","SPORTS",4,2,"100","Free",0,"Everyone",4.60517018598809,0
"8333","Guia Bike DF","SPORTS",NA,2747,"100","Free",0,"Everyone",4.60517018598809,0
"8424","Bike Unchained","SPORTS",4.3,5561,"5000000","Free",0,"Everyone",15.4249484703984,0
"8427","Bike 3D Configurator","SPORTS",4.3,3186,"1000000","Free",0,"Everyone",13.8155105579643,0
"8446","FIFA Soccer","SPORTS",4.2,3543,"100000000","Free",0,"Everyone",18.4206807439524,0
"8478","DK Live - Sports Play by Play","SPORTS",3.9,2405,"100000","Free",0,"Everyone",11.5129254649702,0
"8480","DK Pittsburgh Sports","SPORTS",4.1,4487,"10000","Free",0,"Everyone",9.21034037197618,0
"8481","LineStar For DK","SPORTS",4.3,831,"50000","Free",0,"Everyone",10.8197782844103,0
"8483","Fodbold DK Pro","SPORTS",4.6,2976,"1000","Paid",2.99,"Everyone",6.90775527898214,1
