App,Category,Rating
"Tagged - Meet, Chat & Dating",SOCIAL,4.1
"ooVoo Video Calls, Messaging & Stories",SOCIAL,4.3
"SayHi Chat, Meet New People",SOCIAL,4.2
Whisper,SOCIAL,4.1
"Tapatalk - 100,000+ Forums",SOCIAL,4.1
Tumblr,SOCIAL,4.4
Blogger,SOCIAL,3.7
Bloglovin',SOCIAL,3.9
Blogaway for Android (Blogger),SOCIAL,3.7
Snapchat,SOCIAL,4
Instagram,SOCIAL,4.5
TwitCasting Live,SOCIAL,3.6
Stream - Live Video Community,SOCIAL,4.1
YouNow: Live Stream Video Chat,SOCIAL,4.1
Periscope - Live Video,SOCIAL,4
Mirrativ: Live Stream Any App,SOCIAL,4.1
Snapchat,SOCIAL,4
Instagram,SOCIAL,4.5
Pinterest,SOCIAL,4.6
Nextdoor - Local neighborhood news & classifieds,SOCIAL,4.3
"SKOUT - Meet, Chat, Go Live",SOCIAL,4.3
Banjo,SOCIAL,4.2
We Heart It,SOCIAL,4.5
MeetMe: Chat & Meet New People,SOCIAL,4.2
"ooVoo Video Calls, Messaging & Stories",SOCIAL,4.3
Timehop,SOCIAL,4.1
Frontback - Social Photos,SOCIAL,3.8
LinkedIn,SOCIAL,4.2
Path,SOCIAL,4.4
Tango - Live Video Broadcast,SOCIAL,4.3
"SayHi Chat, Meet New People",SOCIAL,4.2
"Tapatalk - 100,000+ Forums",SOCIAL,4.1
Couple - Relationship App,SOCIAL,4
Badoo - Free Chat & Dating App,SOCIAL,4.3
Nextdoor - Local neighborhood news & classifieds,SOCIAL,4.3
POF Free Dating App,SOCIAL,4.2
MeetMe: Chat & Meet New People,SOCIAL,4.2
LOVOO,SOCIAL,4
"Jaumo Dating, Flirt & Live Video",SOCIAL,4.4
Patook - make platonic friends,SOCIAL,4
Meetup,SOCIAL,4.2
Text Free: WiFi Calling App,SOCIAL,4.2
Zello PTT Walkie Talkie,SOCIAL,4.4
textPlus: Free Text & Calls,SOCIAL,4.1
magicApp Calling & Messaging,SOCIAL,4.1
"Dating App, Flirt & Chat : W-Match",SOCIAL,4.3
uCiC- Videos and Photos on demand,SOCIAL,4
Meetup,SOCIAL,4.2
POF Free Dating App,SOCIAL,4.2
MeetMe: Chat & Meet New People,SOCIAL,4.2
"Tagged - Meet, Chat & Dating",SOCIAL,4.1
LOVOO,SOCIAL,4
"SKOUT - Meet, Chat, Go Live",SOCIAL,4.3
Badoo - Free Chat & Dating App,SOCIAL,4.3
"Jaumo Dating, Flirt & Live Video",SOCIAL,4.4
"Mico- Stranger Chat Random video Chat, Live, Meet",SOCIAL,4.4
"SayHi Chat, Meet New People",SOCIAL,4.2
"Waplog - Free Chat, Dating App, Meet Singles",SOCIAL,4.2
Couple - Relationship App,SOCIAL,4
Meetup,SOCIAL,4.2
Amazon for Tablets,SHOPPING,4
Wish - Shopping Made Fun,SHOPPING,4.5
OfferUp - Buy. Sell. Offer Up,SHOPPING,4.6
Shopee - No. 1 Online Shopping,SHOPPING,4.3
Shopee: No.1 Online Shopping,SHOPPING,4.2
Kroger,SHOPPING,4.3
"AliExpress - Smarter Shopping, Better Living",SHOPPING,4.6
Walmart,SHOPPING,4.4
eBay: Buy & Sell this Summer - Discover Deals Now!,SHOPPING,4.4
"letgo: Buy & Sell Used Stuff, Cars & Real Estate",SHOPPING,4.5
Amazon Shopping,SHOPPING,4.3
Lazada - Online Shopping & Deals,SHOPPING,4.2
OLX - Buy and Sell,SHOPPING,4.2
The wall,SHOPPING,4.4
Flipp - Weekly Shopping,SHOPPING,4.6
"Shrimp skin shopping: spend less, buy better",SHOPPING,4.2
Lotte Home Shopping LOTTE Homeshopping,SHOPPING,3.6
"Horn, free country requirements",SHOPPING,4.5
Jiji.ng,SHOPPING,4.4
GS SHOP,SHOPPING,3.8
The birth,SHOPPING,4.7
CJmall,SHOPPING,3.6
Home & Shopping - Only in apps. 10% off + 10% off,SHOPPING,4.2
EHS Dongsen Shopping,SHOPPING,3.6
bigbasket - online grocery,SHOPPING,4.3
Bukalapak - Buy and Sell Online,SHOPPING,4.4
Life market,SHOPPING,4.5
Jabong Online Shopping App,SHOPPING,4.1
Family Dollar,SHOPPING,4.3
Jumia online shopping,SHOPPING,4.3
Mercado Libre: Find your favorite brands,SHOPPING,4.7
"Carousell: Snap-Sell, Chat-Buy",SHOPPING,4.3
Blibli.com Online Shopping,SHOPPING,4.2
"Club Factory Everything, Unbeaten Price",SHOPPING,4.2
"Real Estate, Car, Shopping and Others",SHOPPING,4.3
ZALORA Fashion Shopping,SHOPPING,4.2
Magazine Luiza Online Shopping,SHOPPING,4.3
ROMWE - Women's Fashion,SHOPPING,4.6
Buscap√© - Offers and discounts,SHOPPING,4.4
Myntra Online Shopping App,SHOPPING,4.3
11st,SHOPPING,3.8
Coupang,SHOPPING,4.6
Wemep - Special price representative (special / shopping / shopping app / coupon / shipping),SHOPPING,4.5
Target - now with Cartwheel,SHOPPING,4.1
Flipkart Online Shopping App,SHOPPING,4.4
Sam's Club: Wholesale Shopping & Instant Savings,SHOPPING,4.3
Chilindo,SHOPPING,3.8
Rossmann PL,SHOPPING,4
"Jingdong - pick good things, go to Jingdong",SHOPPING,3.3
CheckPoints  Rewards App,SHOPPING,4.1
Extreme Coupon Finder,SHOPPING,4.1
SnipSnap Coupon App,SHOPPING,4.2
Checkout 51: Grocery coupons,SHOPPING,4.1
Coupon Sherpa,SHOPPING,4.4
Gyft - Mobile Gift Card Wallet,SHOPPING,4.1
SavingStar - Grocery Coupons,SHOPPING,4.2
The Coupons App,SHOPPING,4.5
"Shopkick: Free Gift Cards, Shop Rewards & Deals",SHOPPING,4.3
Wish - Shopping Made Fun,SHOPPING,4.5
Key Ring: Cards Coupon & Sales,SHOPPING,4.1
"Ibotta: Cash Back Savings, Rewards & Coupons App",SHOPPING,4.5
"RetailMeNot - Coupons, Deals & Discount Shopping",SHOPPING,4.4
"Groupon - Shop Deals, Discounts & Coupons",SHOPPING,4.6
"Kohl's: Scan, Shop, Pay & Save",SHOPPING,4.5
Stocard - Rewards Cards Wallet,SHOPPING,4.6
Nike,SHOPPING,4.7
Poshmark - Buy & Sell Fashion,SHOPPING,4.3
Mercari: The Selling App,SHOPPING,4.4
Blidz - Hunt Free Deals On Trending Items!,SHOPPING,4.4
SnipSnap Coupon App,SHOPPING,4.2
Extreme Coupon Finder,SHOPPING,4.1
Checkout 51: Grocery coupons,SHOPPING,4.1
The Coupons App,SHOPPING,4.5
"Shopular: Coupons, Weekly Ads & Shopping Deals",SHOPPING,4.7
LivingSocial - Local Deals,SHOPPING,4.1
Coupons.com ®π Grocery Coupons & Cash Back Savings,SHOPPING,4.2
"Ebates: Cash Back, Coupons, Rewards & Savings",SHOPPING,4.5
"RetailMeNot - Coupons, Deals & Discount Shopping",SHOPPING,4.4
"Groupon - Shop Deals, Discounts & Coupons",SHOPPING,4.6
FidMe Loyalty Cards & Deals at Grocery Supermarket,SHOPPING,4.2
Stocard - Rewards Cards Wallet,SHOPPING,4.6
Ratings by Consumer Reports,SHOPPING,4.3
HauteLook,SHOPPING,4.1
Extreme Coupon Finder,SHOPPING,4.1
eBay: Buy & Sell this Summer - Discover Deals Now!,SHOPPING,4.4
Checkout 51: Grocery coupons,SHOPPING,4.1
Nordstrom,SHOPPING,4.6
Modcloth ®π Unique Indie Women's Fashion & Style,SHOPPING,4.2
Fancy,SHOPPING,4.2
Gyft - Mobile Gift Card Wallet,SHOPPING,4.1
"Twice: Buy, Sell Clothing",SHOPPING,4.2
"Shopkick: Free Gift Cards, Shop Rewards & Deals",SHOPPING,4.3
Slice: Package Tracker,SHOPPING,4.2
The Coupons App,SHOPPING,4.5
"Shopular: Coupons, Weekly Ads & Shopping Deals",SHOPPING,4.7
Wish - Shopping Made Fun,SHOPPING,4.5
"Carousell: Snap-Sell, Chat-Buy",SHOPPING,4.3
LightInTheBox Online Shopping,SHOPPING,4
Walmart,SHOPPING,4.4
Best Buy,SHOPPING,4.4
JackThreads: Men's Shopping,SHOPPING,4
"Ibotta: Cash Back Savings, Rewards & Coupons App",SHOPPING,4.5
"AliExpress - Smarter Shopping, Better Living",SHOPPING,4.6
LivingSocial - Local Deals,SHOPPING,4.1
zulily - Shop Daily Deals in Fashion and Home,SHOPPING,4.5
MiniInTheBox Online Shopping,SHOPPING,3.9
Zappos ®π Shoe shopping made simple,SHOPPING,4.5
Urban Outfitters,SHOPPING,4.2
Tophatter - 90 Second Auctions,SHOPPING,4.3
Amazon Shopping,SHOPPING,4.3
Shopfully - Weekly Ads & Deals,SHOPPING,4.4
Slickdeals: Coupons & Shopping,SHOPPING,4.5
Wanelo Shopping,SHOPPING,4.6
"RetailMeNot - Coupons, Deals & Discount Shopping",SHOPPING,4.4
Etsy: Handmade & Vintage Goods,SHOPPING,4.3
Poshmark - Buy & Sell Fashion,SHOPPING,4.3
Target - now with Cartwheel,SHOPPING,4.1
ASOS,SHOPPING,4.7
"Overstock ®π Home Decor, Furniture Shopping",SHOPPING,4.4
ZALORA Fashion Shopping,SHOPPING,4.2
eBay: Buy & Sell this Summer - Discover Deals Now!,SHOPPING,4.4
Fancy,SHOPPING,4.2
Modcloth ®π Unique Indie Women's Fashion & Style,SHOPPING,4.2
Gyft - Mobile Gift Card Wallet,SHOPPING,4.1
JackThreads: Men's Shopping,SHOPPING,4
LivingSocial - Local Deals,SHOPPING,4.1
Zappos ®π Shoe shopping made simple,SHOPPING,4.5
Wanelo Shopping,SHOPPING,4.6
Etsy: Handmade & Vintage Goods,SHOPPING,4.3
"Groupon - Shop Deals, Discounts & Coupons",SHOPPING,4.6
eBay: Buy & Sell this Summer - Discover Deals Now!,SHOPPING,4.4
Find&Save - Local Shopping,SHOPPING,4
Receipt Hog - Receipts to Cash,SHOPPING,4.5
ShopSavvy Barcode & QR Scanner,SHOPPING,4.1
"Savory - Deals,Freebies,Sales",SHOPPING,4.4
JackThreads: Men's Shopping,SHOPPING,4
"AliExpress - Smarter Shopping, Better Living",SHOPPING,4.6
Newegg Mobile,SHOPPING,4.5
REI ®π Shop Outdoor Gear,SHOPPING,4.4
Slickdeals: Coupons & Shopping,SHOPPING,4.5
Target - now with Cartwheel,SHOPPING,4.1
The Home Depot,SHOPPING,4.3
Wish - Shopping Made Fun,SHOPPING,4.5
Fancy,SHOPPING,4.2
Boxed Wholesale,SHOPPING,3.8
La La-Shop Designer Brands Street,SHOPPING,4.5
ASOS,SHOPPING,4.7
