Serial No.,GRE ,TOEFL,URating,CGPA,Chance of Admit 
84,322,115,5,9.36,0.92
85,340,115,5,9.45,0.94
86,319,103,4,8.66,0.76
87,315,106,3,8.42,0.72
88,317,107,2,8.28,0.66
89,314,108,3,8.14,0.64
90,316,109,4,8.76,0.74
91,318,106,2,7.92,0.64
94,301,97,2,7.88,0.44
97,306,100,2,8,0.48
98,331,120,3,8.96,0.86
99,332,119,4,9.24,0.9
100,323,113,3,8.88,0.79
101,322,107,3,8.46,0.71
102,312,105,2,8.12,0.64
103,314,106,2,8.25,0.62
104,317,104,2,8.47,0.57
105,326,112,3,9.05,0.74
106,316,110,3,8.78,0.69
107,329,111,4,9.18,0.87
108,338,117,4,9.46,0.91
109,331,116,5,9.38,0.93
110,304,103,5,8.64,0.68
112,321,109,4,8.68,0.69
113,301,107,3,8.34,0.62
114,320,110,2,8.56,0.72
115,311,105,3,8.45,0.59
119,296,99,2,7.28,0.47
121,335,117,5,9.56,0.94
122,334,119,5,9.48,0.94
123,310,106,4,8.36,0.57
124,308,108,3,8.22,0.61
126,300,100,3,8.66,0.64
127,323,113,3,9.32,0.85
128,319,112,3,8.71,0.78
129,326,112,3,9.1,0.84
130,333,118,5,9.35,0.92
131,339,114,5,9.76,0.96
132,303,105,5,8.65,0.77
133,309,105,5,8.56,0.71
134,323,112,5,8.78,0.79
135,333,113,5,9.28,0.89
136,314,109,4,8.77,0.82
137,312,103,3,8.45,0.76
138,316,100,2,8.16,0.71
139,326,116,2,9.08,0.8
140,318,109,1,9.12,0.78
141,329,110,2,9.15,0.84
142,332,118,2,9.36,0.9
143,331,115,5,9.44,0.92
144,340,120,4,9.92,0.97
145,325,112,2,8.96,0.8
146,320,113,2,8.64,0.81
147,315,105,3,8.48,0.75
148,326,114,3,9.11,0.83
149,339,116,4,9.8,0.96
150,311,106,2,8.26,0.79
151,334,114,4,9.43,0.93
152,332,116,5,9.28,0.94
153,321,112,5,9.06,0.86
154,324,105,3,8.75,0.79
155,326,108,3,8.89,0.8
156,312,109,3,8.69,0.77
157,315,105,3,8.34,0.7
158,309,104,2,8.26,0.65
159,306,106,2,8.14,0.61
160,297,100,1,7.9,0.52
161,315,103,1,7.86,0.57
162,298,99,1,7.46,0.53
163,318,109,3,8.5,0.67
164,317,105,3,8.56,0.68
165,329,111,4,9.01,0.81
166,322,110,5,8.97,0.78
167,302,102,3,8.33,0.65
168,313,102,3,8.27,0.64
170,311,99,2,7.98,0.65
171,312,101,2,8.04,0.68
172,334,117,5,9.07,0.89
173,322,110,4,9.13,0.86
174,323,113,4,9.23,0.89
175,321,111,4,8.97,0.87
176,320,111,4,8.87,0.85
177,329,119,4,9.16,0.9
178,319,110,3,9.04,0.82
179,309,108,3,8.12,0.72
180,307,102,3,8.27,0.73
181,300,104,3,8.16,0.71
182,305,107,2,8.42,0.71
183,299,100,2,7.88,0.68
184,314,110,3,8.8,0.75
185,316,106,2,8.32,0.72
186,327,113,4,9.11,0.89
187,317,107,3,8.68,0.84
188,335,118,5,9.44,0.93
189,331,115,5,9.36,0.93
190,324,112,5,9.08,0.88
191,324,111,5,9.16,0.9
192,323,110,5,8.98,0.87
193,322,114,5,8.94,0.86
194,336,118,5,9.53,0.94
195,316,109,3,8.76,0.77
196,307,107,2,8.52,0.78
197,306,105,2,8.26,0.73
198,310,106,2,8.33,0.73
199,311,104,3,8.43,0.7
200,313,107,3,8.69,0.72
201,317,103,3,8.54,0.73
202,315,110,2,8.46,0.72
203,340,120,5,9.91,0.97
204,334,120,5,9.87,0.97
205,298,105,3,8.54,0.69
206,295,99,2,7.65,0.57
207,315,99,2,7.89,0.63
208,310,102,3,8.02,0.66
209,305,106,2,8.16,0.64
210,301,104,3,8.12,0.68
211,325,108,4,9.06,0.79
212,328,110,4,9.14,0.82
213,338,120,4,9.66,0.95
214,333,119,5,9.78,0.96
215,331,117,4,9.42,0.94
216,330,116,5,9.36,0.93
217,322,112,4,9.26,0.91
218,321,109,4,9.13,0.85
219,324,110,4,8.97,0.84
220,312,104,3,8.42,0.74
221,313,103,3,8.75,0.76
222,316,110,3,8.56,0.75
223,324,113,4,8.79,0.76
224,308,109,2,8.45,0.71
225,305,105,2,8.23,0.67
226,296,99,2,8.03,0.61
227,306,110,2,8.45,0.63
228,312,110,2,8.53,0.64
229,318,112,3,8.67,0.71
230,324,111,4,9.01,0.82
231,313,104,3,8.65,0.73
232,319,106,3,8.33,0.74
233,312,107,2,8.27,0.69
234,304,100,2,8.07,0.64
235,330,113,5,9.31,0.91
236,326,111,5,9.23,0.88
237,325,112,4,9.17,0.85
238,329,114,5,9.19,0.86
239,310,104,3,8.37,0.7
240,299,100,1,7.89,0.59
241,296,101,1,7.68,0.6
242,317,103,2,8.15,0.65
243,324,115,3,8.76,0.7
244,325,114,3,9.04,0.76
245,314,107,2,8.56,0.63
246,328,110,4,9.02,0.81
247,316,105,3,8.73,0.72
248,311,104,2,8.48,0.71
249,324,110,3,8.87,0.8
250,321,111,3,8.83,0.77
251,320,104,3,8.57,0.74
252,316,99,2,9,0.7
253,318,100,2,8.54,0.71
254,335,115,4,9.68,0.93
255,321,114,4,9.12,0.85
257,309,99,3,8.56,0.76
258,324,100,3,8.64,0.78
259,326,102,4,8.76,0.77
260,331,119,4,9.34,0.9
261,327,108,5,9.13,0.87
262,312,104,3,8.09,0.71
263,308,103,2,8.36,0.7
264,324,111,3,8.79,0.7
265,325,110,2,8.76,0.75
266,313,102,3,8.68,0.71
267,312,105,2,8.45,0.72
268,314,107,3,8.17,0.73
269,327,113,4,9.14,0.83
270,308,108,4,8.34,0.77
271,306,105,2,8.22,0.72
272,299,96,2,7.86,0.54
273,294,95,1,7.64,0.49
274,312,99,1,8.01,0.52
275,315,100,1,7.95,0.58
276,322,110,3,8.96,0.78
277,329,113,5,9.45,0.89
278,320,101,2,8.62,0.7
279,308,103,2,8.49,0.66
280,304,102,2,8.73,0.67
281,311,102,3,8.64,0.68
282,317,110,3,9.11,0.8
283,312,106,3,8.79,0.81
284,321,111,3,8.9,0.8
285,340,112,4,9.66,0.94
286,331,116,5,9.26,0.93
287,336,118,5,9.19,0.92
288,324,114,5,9.08,0.89
289,314,104,4,9.02,0.82
290,313,109,3,9,0.79
291,307,105,2,7.65,0.58
292,300,102,2,7.87,0.56
293,302,99,2,7.97,0.56
294,312,98,1,8.18,0.64
295,316,101,2,8.32,0.61
296,317,100,2,8.57,0.68
297,310,107,3,8.67,0.76
298,320,120,3,9.11,0.86
299,330,114,3,9.24,0.9
300,305,112,3,8.65,0.71
301,309,106,2,8,0.62
302,319,108,2,8.76,0.66
303,322,105,2,8.45,0.65
304,323,107,3,8.55,0.73
305,313,106,2,8.43,0.62
306,321,109,3,8.8,0.74
307,323,110,3,9.1,0.79
308,325,112,4,9,0.8
309,312,108,3,8.53,0.69
310,308,110,4,8.6,0.7
311,320,104,3,8.74,0.76
312,328,108,4,9.18,0.84
313,311,107,4,9,0.78
314,301,100,3,8.04,0.67
315,305,105,2,8.13,0.66
316,308,104,2,8.07,0.65
317,298,101,2,7.86,0.54
318,300,99,1,8.01,0.58
319,324,111,3,8.8,0.79
320,327,113,4,8.69,0.8
321,317,106,3,8.5,0.75
322,323,104,3,8.44,0.73
323,314,107,2,8.27,0.72
324,305,102,2,8.18,0.62
325,315,104,3,8.33,0.67
326,326,116,3,9.14,0.81
327,299,100,3,8.02,0.63
329,324,112,4,8.77,0.8
330,297,96,2,7.89,0.43
331,327,113,3,8.66,0.8
332,311,105,2,8.12,0.73
333,308,106,3,8.21,0.75
334,319,108,3,8.54,0.71
335,312,107,4,8.65,0.73
336,325,111,4,9.11,0.83
337,319,110,3,8.79,0.72
338,332,118,5,9.47,0.94
339,323,108,5,8.74,0.81
340,324,107,5,8.66,0.81
341,312,107,3,8.46,0.75
342,326,110,3,8.76,0.79
343,308,106,3,8.24,0.58
344,305,103,2,8.13,0.59
345,295,96,2,7.34,0.47
346,316,98,1,7.43,0.49
347,304,97,2,7.64,0.47
348,299,94,1,7.34,0.42
350,313,101,3,8.04,0.62
351,318,107,3,8.27,0.74
352,325,110,4,8.67,0.73
353,303,100,2,8.06,0.64
354,300,102,3,8.17,0.63
355,297,98,2,7.67,0.59
356,317,106,2,8.12,0.73
357,327,109,3,8.77,0.79
358,301,104,2,7.89,0.68
360,321,107,2,8.44,0.81
361,322,110,3,8.64,0.85
362,334,116,4,9.54,0.93
363,338,115,5,9.23,0.91
364,306,103,2,8.36,0.69
365,313,102,3,8.9,0.77
366,330,114,4,9.17,0.86
367,320,104,3,8.34,0.74
368,311,98,1,7.46,0.57
369,298,92,1,7.88,0.51
370,301,98,1,8.03,0.67
371,310,103,2,8.24,0.72
372,324,110,3,9.22,0.89
373,336,119,4,9.62,0.95
374,321,109,3,8.54,0.79
378,290,100,1,7.56,0.47
379,303,98,1,7.65,0.56
380,311,99,1,8.43,0.71
381,322,104,3,8.84,0.78
382,319,105,3,8.67,0.73
383,324,110,4,9.15,0.82
384,300,100,3,8.26,0.62
385,340,113,4,9.74,0.96
386,335,117,5,9.82,0.96
387,302,101,2,7.96,0.46
388,307,105,2,8.1,0.53
389,296,97,2,7.8,0.49
390,320,108,3,8.44,0.76
391,314,102,2,8.24,0.64
392,318,106,3,8.65,0.71
393,326,112,4,9.12,0.84
394,317,104,2,8.76,0.77
395,329,111,4,9.23,0.89
396,324,110,3,9.04,0.82
397,325,107,3,9.11,0.84
398,330,116,4,9.45,0.91
399,312,103,3,8.78,0.67
400,333,117,4,9.66,0.95
401,304,100,2,8.22,0.63
402,315,105,2,8.34,0.66
403,324,109,3,8.94,0.78
404,330,116,4,9.23,0.91
405,311,101,3,7.64,0.62
406,302,99,3,7.45,0.52
407,322,103,4,8.02,0.61
408,298,100,3,7.95,0.58
409,297,101,3,7.67,0.57
410,300,98,1,8.02,0.61
411,301,96,1,7.56,0.54
412,313,94,2,8.13,0.56
413,314,102,4,7.88,0.59
415,321,110,4,8.35,0.72
416,327,106,4,8.75,0.76
417,315,104,3,8.1,0.65
418,316,103,3,7.68,0.52
419,309,111,2,8.03,0.6
420,308,102,2,7.98,0.58
421,299,100,3,7.42,0.42
422,321,112,3,8.95,0.77
423,322,112,4,9.02,0.73
424,334,119,5,9.54,0.94
425,325,114,5,9.46,0.91
426,323,111,5,9.86,0.92
427,312,106,3,8.57,0.71
428,310,101,3,8.65,0.71
429,316,103,2,8.74,0.69
430,340,115,5,9.06,0.95
431,311,104,3,8.13,0.74
432,320,112,2,8.78,0.73
433,324,112,4,9.22,0.86
434,316,111,4,8.54,0.71
435,306,103,3,8.21,0.64
436,309,105,2,7.68,0.55
438,317,106,1,7.65,0.61
439,318,110,1,8.54,0.67
440,312,105,2,8.46,0.66
441,305,104,2,7.79,0.53
442,332,112,1,8.66,0.79
443,331,116,4,9.44,0.92
444,321,114,5,9.16,0.87
445,324,113,5,9.25,0.92
446,328,116,5,9.08,0.91
447,327,118,4,9.67,0.93
448,320,108,3,8.97,0.84
449,312,109,2,9.02,0.8
450,315,101,3,9.13,0.79
451,320,112,4,8.86,0.82
452,324,113,4,9.25,0.89
453,328,116,4,9.6,0.93
454,319,103,3,8.76,0.73
455,310,105,2,8.01,0.71
456,305,102,2,7.64,0.59
457,299,100,2,7.88,0.51
459,312,100,1,8.53,0.69
460,329,113,4,9.36,0.89
461,319,105,4,8.66,0.77
462,301,102,3,8.13,0.68
463,307,105,4,7.94,0.62
464,304,107,3,7.86,0.57
465,298,97,2,7.21,0.45
467,314,99,4,8.73,0.71
468,318,101,5,8.78,0.78
469,323,110,4,8.88,0.81
470,326,114,4,9.16,0.86
471,320,110,5,9.27,0.87
472,311,103,3,8.09,0.64
473,327,116,4,9.48,0.9
474,316,102,2,8.15,0.67
475,308,105,4,7.95,0.67
476,300,101,3,7.88,0.59
477,304,104,3,8.12,0.62
478,309,105,4,8.18,0.65
479,318,103,3,8.49,0.71
480,325,110,4,8.96,0.79
481,321,102,3,9.01,0.8
482,323,107,4,8.48,0.78
483,328,113,4,8.77,0.83
485,317,106,3,7.89,0.73
486,311,101,2,8.34,0.7
487,319,102,3,8.37,0.68
488,327,115,4,9.14,0.79
489,322,112,3,8.62,0.76
490,302,110,3,8.5,0.65
491,307,105,2,8.12,0.67
492,297,99,4,7.81,0.54
493,298,101,4,7.69,0.53
494,300,95,2,8.22,0.62
495,301,99,3,8.45,0.68
496,332,108,5,9.02,0.87
497,337,117,5,9.87,0.96
498,330,120,5,9.56,0.93
499,312,103,4,8.43,0.73
500,327,113,4,9.04,0.84
