"","Condition","KMs.Driven","Price","Year"
"23272","Used",19600,1450000,2017
"7854","Used",16000,2530000,2018
"24751","Used",53000,1000000,2017
"19368","Used",25000,2325000,2017
"14776","Used",40000,1630000,2018
"880","Used",32000,1900000,2017
"583","Used",22,195000,2018
"3702","Used",9000,1295000,2017
"18899","Used",8657,300000,2018
"9691","Used",2000,360000,2017
"16420","Used",1900,2225000,2017
"18470","Used",60000,1250000,2018
"7788","Used",1,1080000,2017
"21297","Used",3000,298000,2018
"9437","Used",53000,600000,2017
"2629","Used",19000,2287650,2018
"11705","Used",88000,1680000,2017
"18631","Used",12345,230000,2017
"9239","Used",7000,700000,2017
"15479","Used",1000,200000,2017
"19218","Used",9000,1425000,2017
"12239","Used",26113,1150000,2017
"21147","Used",57000,2050000,2017
"21121","Used",30130,2100000,2017
"12319","Used",95000,900000,2018
"23903","Used",12345,1900000,2017
"1196","Used",70,1299987,2017
"18796","Used",2547,250000,2018
"19889","Used",22000,815000,2018
"6594","Used",100,775000,2017
"4316","Used",4600,1800000,2017
"22887","Used",24320,1275000,2017
"17425","Used",13500,675000,2017
"18873","Used",800,140000,2018
"1539","Used",700,320000,2018
"7298","Used",8000,1550000,2017
"4515","Used",15800,1100000,2017
"10999","Used",6600,2280000,2018
"4831","Used",92000,1000000,2018
"14603","Used",11800,1275000,2017
"21514","Used",110,100000,2018
"20717","Used",2222,222222,2017
"6741","Used",35000,650000,2017
"17779","Used",46176,730000,2017
"14872","Used",6000,1100000,2017
"18671","Used",60200,1170000,2017
"12541","Used",21000,2110000,2017
"17088","Used",23000,4050000,2017
"4085","Used",20500,1895000,2017
"22803","Used",76761,1090000,2017
"15990","Used",48000,1250000,2017
"21135","Used",11500,2250000,2018
"22545","Used",35000,300000,2018
"16998","Used",8000,1500000,2017
"24875","Used",23000,415000,2018
"22884","Used",19000,800000,2017
"20423","Used",37000,1150000,2017
"18686","Used",670,235000,2018
"8118","Used",1500,300000,2018
"19348","Used",9500,1275000,2018
"4305","Used",2500,1700000,2017
"23666","Used",25000,795000,2017
"9253","Used",57000,2000000,2017
"17934","Used",7600,1675000,2017
